Metric,Value,Unit
case,me_sop,-
gamma,1.0,-
beta,0.95,-
expected_social_welfare,4.2544234790866425e10,EUR
social_CVaR,-4.165519903389059e10,EUR
alpha_social,-4.165519903389059e10,EUR
social_CVaR_recomputed,-4.165519903389059e10,EUR
sum_private_CVaR,5.043059395074189e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,287.5167541503906,EUR
SP_social_CVaR_benchmark,-4.165519932140734e10,EUR
