Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,1.2671593174509048e9,1.1540651304591365e9
Gen_VRES_Wind,VRES,5.1926361433639896e8,3.282694119863162e8
GreenH2_Coalition,GreenH2Coalition,2.3619525875460106e8,1.9984879873524895e8
