iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_GreenH2_Coalition,cap_dual_GreenH2_Coalition
1,22321.635878485016,Inf,0.0,Inf,934.3669547287861,Inf,1.4927610389142605,Inf,95147.62559233537,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
2,33435.80594628143,42146.33921428809,0.0,0.0,5751.3860018873,3038.6062983797187,47182.82317976156,35167.35762956536,408.71291103511606,198385.23251483595,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
3,69738.21584531116,30817.853101141118,0.0,0.0,26596.19206900459,4768.082251867238,37116.99405774571,7879.252657685426,3750.161342934149,8231.618889301948,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
4,134948.58671482053,59452.16748326316,0.0,0.0,14852.455385461366,3531.065707426406,35880.09892720523,1062.601591634493,3746.4587846399095,1519.8205064227066,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
5,155224.67428911867,81891.4622514672,0.0,0.0,44091.326945605586,4406.169333152597,30086.160472254003,5020.968028315675,11243.294380747388,18684.365662548807,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
6,108900.61447939844,70965.77128083936,0.0,0.0,14447.806140540637,6122.369131790777,32812.81277970897,2486.8966083642777,7686.174295781986,8869.616795707969,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
7,91947.52042857069,57011.999147027476,0.0,0.0,35614.43353388771,4033.111736483944,28226.631023417587,4363.299566862533,13646.096965479981,14613.00168114868,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
8,95061.07194015206,56243.89524664484,0.0,0.0,16158.825786403104,4761.634994831375,29719.242934387643,1552.8172424913942,11710.45467936007,5706.221849907241,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
9,69075.47779407473,49299.76399212263,0.0,0.0,34126.62207021651,3571.9632437655087,25412.01804298948,3130.9561927920267,14853.717763397066,14244.705138744708,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
10,53203.968253228326,36598.91755879833,0.0,0.0,18174.64566573499,4313.25111976461,18180.24404134626,9863.54877166371,2311.6680479811894,35085.201569812656,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
