iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_GreenH2_Coalition
1,1.0,492.933799572419,-415.933799572419,0.5,128.0,0.0,0.3,8.184951541449923,-17.28317180483308,1.0,25.016059548820735,-0.016059548820723853,3.0,5418.913966662425,-1772.9713222208081,0.1,0.1,0.1
2,1.0,-127.62105955824207,620.554859130661,0.5,128.0,0.0,0.3,38.71913761888475,-101.78062025811609,1.0,904.2160595513177,-879.2000000024971,3.0,5396.068844540528,7.615040707299291,0.1,0.1,0.1
3,0.9523809523809523,912.0808803956561,-1284.337690531286,0.5,128.0,0.0,0.315,171.37458792974368,-495.4451925709017,1.05,1630.4241497808098,-691.6267525995173,2.9702970297029703,5188.93902991604,69.73370425691108,0.1,0.1,0.1
4,1.0,-873.8230516944528,2471.8393523738537,0.5,128.0,0.0,0.33075000000000004,243.23183983087281,-248.15018357247212,1.1025,2367.528556848636,-668.57542591186,2.9408881482207625,4984.80882754762,69.41107314534186,0.1,0.1,0.1
5,1.05,975.821048457212,-2868.415729156528,0.5,128.0,0.0,0.3472875000000001,455.2347551824344,-820.3092430273559,1.1576250000000001,3016.4807714009735,-560.589322580574,2.9702970297029703,4457.329275999879,208.92327335812482,0.1,0.1,0.1
6,1.1025,-427.7158523882413,2012.5711151440573,0.5,128.0,0.0,0.3646518750000001,504.2416697634358,-175.33418898734524,1.2155062500000002,3648.198222665067,-611.4300123814016,2.9408881482207625,4088.8268787212396,143.12175726782417,0.1,0.1,0.1
7,1.1576250000000001,823.4132315335663,-1658.83425932331,0.5,128.0,0.0,0.38288446875000015,669.3021495212447,-661.6740864809875,1.2762815625000004,4235.9108805996875,-525.9717257070248,2.9408881482207625,3532.5552307061134,254.17529843573163,0.1,0.1,0.1
8,1.2155062500000002,-278.94972887456055,1637.635574182284,0.5,128.0,0.0,0.4020286921875002,733.5374783454528,-238.09399998829426,1.3400956406250004,4788.127324334156,-553.7305238560622,2.9408881482207625,3042.32609760811,217.47448383014122,0.1,0.1,0.1
9,1.2762815625000004,507.8590032874599,-1080.775021435131,0.5,128.0,0.0,0.4221301267968752,884.8071930419369,-628.2294085014381,1.4071004226562505,5298.395541898558,-473.1089071161986,2.9702970297029703,2509.2182651655967,275.4761189265764,0.1,0.1,0.1
10,1.3400956406250004,-42.12903067340822,698.5425168000786,0.5,128.0,0.0,0.443236633136719,963.505368849047,-302.2069283892857,1.477455443789063,5692.369606447584,-337.75649944953904,2.9702970297029703,2543.5782498365593,-20.888291917728147,0.1,0.1,0.1
11,1.4071004226562505,420.9102043393811,-543.7895682450486,0.5,128.0,0.0,0.465398464793555,1079.9001461511687,-500.80080693473155,1.5513282159785162,5881.743660062163,-150.117054235259,2.9408881482207625,2842.6591015307527,-216.04341003697166,0.1,0.1,0.1
12,1.477455443789063,-19.32761798105275,478.05064432606275,0.5,128.0,0.0,0.48866838803323276,1166.5519228077844,-344.73269468000024,1.5513282159785162,5956.580525119866,-57.5954160574191,2.9117704437829333,3324.66951116941,-341.42316302551245,0.1,0.1,0.1
13,1.5513282159785162,392.8209976592168,-501.4552436201419,0.5,128.0,0.0,0.5131018074348944,1282.1774090739982,-515.4070442220902,1.477455443789063,5985.930734444572,-23.026907200940908,2.9117704437829333,3698.3976248182757,-257.0130101087923,0.1,0.1,0.1
14,1.628894626777442,61.35962189237618,372.8934341214161,0.5,128.0,0.0,0.5387568978066392,1370.1952739917458,-362.7781179761177,1.4071004226562505,6063.128493333119,-74.81685939214104,2.9408881482207625,3859.0636686316834,-128.70136102920273,0.1,0.1,0.1
15,1.628894626777442,302.5078736540664,-263.38964738578505,0.5,128.0,0.0,0.5656947426969712,1471.0965796817495,-465.97092099038906,1.4071004226562505,6157.867376475789,-108.01998584512464,2.9117704437829333,3819.533019885424,31.05111005598413,0.1,0.1,0.1
16,1.628894626777442,90.1630543652366,225.17440719917673,0.5,128.0,0.0,0.5939794798318198,1553.2495128712067,-350.799188033617,1.477455443789063,6260.604002393956,-131.2480709983554,2.8829410334484487,3702.6023289953855,90.06495858085408,0.1,0.1,0.1
17,1.628894626777442,256.8706979081279,-207.9763467965915,0.5,128.0,0.0,0.6236784538234108,1632.256883160437,-378.00268735215667,1.5513282159785162,6350.301309199336,-105.95476930956542,2.854397062820246,3573.5530239066366,97.46914517944982,0.1,0.1,0.1
18,1.5513282159785162,166.8515209882548,114.48419763706414,0.5,128.0,0.0,0.6548623765145813,1693.7120081347873,-271.8684824399688,1.628894626777442,6409.592541828299,-64.75973489803138,2.854397062820246,3536.9713064090724,32.50548518674432,0.1,0.1,0.1
19,1.477455443789063,215.943381095289,-65.55552413971526,0.5,128.0,0.0,0.6876054953403105,1757.6884342721178,-261.6942671628383,1.7103393581163142,6421.134175960709,-11.656156302662662,2.8261357057626197,3557.5088427623773,-21.684197516118058,0.1,0.1,0.1
20,1.4071004226562505,214.18998391863246,2.3868887821097164,0.5,128.0,0.0,0.721985770107326,1811.4478129318663,-203.330229031123,1.79585632602213,6393.23126079992,26.056202103760505,2.7981541641214056,3616.8424710313784,-61.429936273506264,0.1,0.1,0.1
21,1.3400956406250004,234.35144684148554,-27.978601091555827,0.5,128.0,0.0,0.7580850586126924,1858.6780337391651,-165.17380043121335,1.8856491423232367,6341.337618853813,44.80734000694056,2.770449667446936,3679.5127333118153,-63.62456407010861,0.1,0.1,0.1
22,1.2762815625000004,240.97317205545434,-9.367575105641102,0.5,128.0,0.0,0.7959893115433271,1895.409545026233,-118.77730280625025,1.9799315994393987,6283.864893374876,45.884951899664166,2.770449667446936,3718.6372899950184,-38.56341733850488,0.1,0.1,0.1
23,1.2155062500000002,248.81618605241619,-11.310741934005417,0.5,128.0,0.0,0.8357887771204935,1921.2131115772386,-77.15212208509737,2.0789281794113688,6233.290096815946,37.33499596048398,2.770449667446936,3717.759451008108,1.0179396290164875,0.1,0.1,0.1
24,1.1576250000000001,262.6753752503636,-20.375018018685317,0.5,128.0,0.0,0.8775782159765182,1933.701606345671,-34.5264328117533,2.1828745883819374,6192.632989949464,27.751848227651745,2.743019472719739,3684.7918229910492,37.48685509232259,0.1,0.1,0.1
25,1.1025,279.77694410434157,-25.629976357719606,0.5,128.0,0.0,0.9214571267753442,1931.2682251787485,6.220499118856444,2.2920183178010345,6154.832288407469,23.857711174197053,2.743019472719739,3639.78468503247,60.2079412354031,0.1,0.1,0.1
