AgentID,Slot,Role,Unit,Existing_MW,Capacity_MW,Investment_MW
GreenH2_Coalition,H2,Electrolyzer,MW_H2,533.3333333333334,998.8737813510883,465.5404480177549
GreenH2_Coalition,EP,EP plant,MW_EP,400.0,749.1553360134316,349.15533601343157
