case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
green_h2_social_planner,1,0.06666666666666667,4.321254969159302e10,-4.321254969159302e10,5.483958533452557e10,-1.1627035642932547e10
green_h2_social_planner,2,0.06666666666666667,4.016997358345413e10,-4.016997358345413e10,5.4836804163043465e10,-1.4666830579589325e10
green_h2_social_planner,3,0.06666666666666667,3.725406219849253e10,-3.725406219849253e10,5.483468323179782e10,-1.7580621033305286e10
green_h2_social_planner,4,0.06666666666666667,4.325594806940327e10,-4.325594806940327e10,5.5752383257711945e10,-1.2496435188308674e10
green_h2_social_planner,5,0.06666666666666667,3.963211970835702e10,-3.963211970835702e10,5.5755872897213234e10,-1.6123753188856218e10
green_h2_social_planner,6,0.06666666666666667,3.612453481951004e10,-3.612453481951004e10,5.575015879015062e10,-1.9625623970640583e10
green_h2_social_planner,7,0.06666666666666667,4.294316059636694e10,-4.294316059636694e10,5.496946811980336e10,-1.2026307523436417e10
green_h2_social_planner,8,0.06666666666666667,3.960671678468663e10,-3.960671678468663e10,5.496998614533234e10,-1.5363269360645712e10
green_h2_social_planner,9,0.06666666666666667,3.63909463462662e10,-3.63909463462662e10,5.496450506033821e10,-1.857355871407201e10
green_h2_social_planner,10,0.06666666666666667,4.297465748393613e10,-4.297465748393613e10,5.478458682978146e10,-1.1809929345845335e10
green_h2_social_planner,11,0.06666666666666667,3.976499186300982e10,-3.976499186300982e10,5.478176675689808e10,-1.5016774893888254e10
green_h2_social_planner,12,0.06666666666666667,3.669499324920169e10,-3.669499324920169e10,5.478358590967439e10,-1.808859266047271e10
green_h2_social_planner,13,0.06666666666666667,4.3295171228105064e10,-4.3295171228105064e10,5.490973557647042e10,-1.1614564348365355e10
green_h2_social_planner,14,0.06666666666666667,4.0134394762154686e10,-4.0134394762154686e10,5.490289572076425e10,-1.476850095860957e10
green_h2_social_planner,15,0.06666666666666667,3.717220478556938e10,-3.717220478556938e10,5.4906102858459785e10,-1.77338980728904e10
