iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_GreenH2_Coalition
1,1.0,104.75753822217641,-0.1372890541378569,0.5,85.05542209378417,0.0,0.3,6.9430694984761745,-0.1736744731599781,1.0,119.9979738271654,-0.09570061672015441,3.0,211.99430604692478,-0.13152418266167598,0.1,0.1,0.1
2,1.0,104.65900642593563,0.09853179624073541,0.5,85.05542209378417,0.0,0.3,6.983218506931664,-0.13383002818496076,1.0,120.23727262494972,-0.2392987977843312,3.0,212.38508569768044,-0.13025988358522764,0.1,0.1,0.1
3,1.0,104.23116417854199,0.5033438204631135,0.5,85.05542209378417,0.0,0.3,6.985514757716473,-0.009004905038459458,1.05,120.59245328299886,-0.3979615216236668,2.9702970297029703,212.53869376328197,-0.06084084166961306,0.1,0.10500000000000001,0.10500000000000001
4,0.9523809523809523,103.70771962934708,0.6277747306164018,0.5,85.05542209378417,0.0,0.3,6.986660364463157,-0.005285382914345596,1.1025,121.00674716049309,-0.5201062417050846,2.9408881482207625,212.62214064800938,-0.03240973428918355,0.10500000000000001,0.11025000000000001,0.11025000000000001
5,0.9523809523809523,103.27142984444451,0.5080084879627169,0.5,85.05542209378417,0.0,0.315,7.0046539666221435,-0.07675956130811644,1.1576250000000001,121.43207768583478,-0.5982764088635426,2.9117704437829333,212.78956902208495,-0.06376444019540675,0.11025000000000001,0.11576250000000002,0.11576250000000002
6,0.9523809523809523,103.01264209873092,0.29255155221675144,0.5,85.05542209378417,0.0,0.315,7.034507936828651,-0.12364576344505956,1.2155062500000002,121.84706977132336,-0.6540439233256659,2.8829410334484487,213.11422136323554,-0.12124174533060304,0.11576250000000002,0.12155062500000002,0.12155062500000002
7,0.9523809523809523,102.87194914623102,0.1544165403889939,0.5,85.05542209378417,0.0,0.315,7.056189139647217,-0.10564321069469348,1.2762815625000004,122.25178299304193,-0.7146711797196016,2.854397062820246,213.5099223979296,-0.14925270134957797,0.12155062500000002,0.12762815625000004,0.12762815625000004
8,0.9523809523809523,102.78271981041905,0.11521531435455337,0.5,85.05542209378417,0.0,0.3,7.063272449234125,-0.03623962895581875,1.3400956406250004,122.64954421186623,-0.7869970220691442,2.8261357057626197,213.80098112268408,-0.13044819813672423,0.12762815625000004,0.13400956406250006,0.13400956406250006
9,0.9070294784580498,102.7102714016266,0.1155584674484856,0.5,85.05542209378417,0.0,0.3,7.064808396213678,-0.007858212033773411,1.4071004226562505,123.03396105032874,-0.8522064741046974,2.7981541641214056,214.04496782392727,-0.11044472839317447,0.13400956406250006,0.14071004226562506,0.14071004226562506
10,0.863837598531476,102.66933990666358,0.06655529357497854,0.5,85.05542209378417,0.0,0.2857142857142857,7.063024095908079,0.009585279202988359,1.477455443789063,123.39874020878995,-0.9060751483335777,2.770449667446936,214.27669100817474,-0.1028566731255607,0.14071004226562506,0.14774554437890633,0.14774554437890633
11,0.8227024747918819,102.69797342068293,-0.047462621352460065,0.5,85.05542209378417,0.0,0.27210884353741494,7.059911806398459,0.01755521310366848,1.5513282159785162,123.74053676228601,-0.9512477798004341,2.743019472719739,214.5178899377574,-0.10813336927983054,0.14774554437890633,0.15513282159785166,0.15513282159785166
12,0.7835261664684589,102.80552041465764,-0.18173033253958187,0.5,85.05542209378417,0.0,0.2591512795594428,7.055733985993269,0.024743730832256557,1.628894626777442,124.05887589946141,-0.9926766056112147,2.7158608640789494,214.73847583692535,-0.11750722062268754,0.15513282159785166,0.16288946267774426,0.16288946267774426
13,0.7835261664684589,102.96585702584841,-0.2709329623552781,0.5,85.05542209378417,0.0,0.24681074243756454,7.046265789115973,0.05726271675790499,1.7103393581163142,124.35321158163327,-1.0283772060987357,2.6889711525534152,214.9441429427742,-0.1301829449964955,0.16288946267774426,0.17103393581163148,0.17103393581163148
14,0.7835261664684589,103.10785987133625,-0.28229765238468524,0.5,85.05542209378417,0.0,0.23505784994053763,7.034103335403222,0.079822012204525,1.79585632602213,124.63810589056018,-1.0575987429091782,2.6623476757954605,215.16746682288104,-0.1427729042191184,0.17103393581163148,0.17958563260221305,0.17958563260221305
15,0.7462153966366274,103.20617484652988,-0.24143502133929004,0.5,85.05542209378417,0.0,0.22386461899098822,7.0281741066421395,0.041723634529054046,1.8856491423232367,124.94449658135025,-1.0832368330994206,2.6359877978172874,215.39430640223023,-0.1464707266200299,0.17958563260221305,0.18856491423232372,0.18856491423232372
