AgentID,Slot,Role,Unit,Existing_MW,Capacity_MW,Investment_MW
GreenH2_Coalition,H2,Electrolyzer,MW_H2,533.3333333333334,998.8585615033594,465.525228170026
GreenH2_Coalition,EP,EP plant,MW_EP,400.0,749.1439211290673,349.1439211290673
