iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_GreenH2_Coalition,cap_dual_GreenH2_Coalition
1,22321.635879041427,Inf,0.0,Inf,934.3669632420052,Inf,1.49276096455094,Inf,95147.6255921358,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
2,33435.805934018186,42146.33921639552,0.0,0.0,5751.386013659789,3038.606295245575,47182.823179830106,35167.357629538725,408.7129112711909,198385.23251480504,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
3,69741.19758839771,30816.65603661142,0.0,0.0,26597.882371541604,4768.064506204934,37116.99405816519,7879.252657355983,3750.161342401586,8231.618887412487,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
4,135058.66116737216,59406.07763918748,0.0,0.0,14778.540300190423,3538.0102671866694,35877.89036211858,1048.7809369860502,3746.210944105356,1347.651564841641,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
5,155108.05864003577,81831.29438768708,0.0,0.0,44087.25698504912,4398.739854555367,30081.167189637214,5009.917260841097,11244.419807623453,18640.975735971995,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
6,108477.20579021754,70749.23701511072,0.0,0.0,14449.08635917049,6104.863549778811,32804.73581952771,2473.9111119700624,7699.340747695934,8827.00080103462,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
7,91508.95122705342,56790.19756353938,0.0,0.0,35474.85571150231,4007.951876601167,28230.55832708005,4352.209993396351,13638.933032663901,14571.098838802378,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
8,94678.51307317204,55913.26461975889,0.0,0.0,16001.831654553349,4739.271506022358,29700.009938961863,1483.0335956671563,11727.597601997815,5462.310259098475,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
9,68877.18365141923,49112.75310139623,0.0,0.0,33871.636120261355,3560.7753066865816,25321.96929402798,3020.722960330292,14700.685721044374,14351.728998220422,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
10,53072.24177676284,36523.236759054045,0.0,0.0,18082.401774473845,4289.445842367755,18150.70964016767,9780.812150583633,2303.611712793948,34845.276106289384,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
11,47245.85527844189,35854.881407382796,0.0,0.0,27196.621286740647,2801.9200698901395,8218.95638714365,6760.113866340248,11561.974988972865,37426.29001125603,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
12,45618.16294835197,34693.30962934988,0.0,0.0,20111.204028009837,4154.666835902348,3410.0335932588737,4506.59832673015,18215.94988338111,19865.60343485898,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
13,48533.4575180374,37750.67559964243,0.0,0.0,28169.95785761948,3367.660803720766,1802.7308328952672,3560.5061017536555,13893.456068433112,8391.614952765616,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
14,35296.65863677953,32752.41583499175,0.0,0.0,21393.814113349617,4535.093765060397,4141.327781561148,4319.225450581383,7213.639665953329,14491.614195076303,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
15,25695.662074817712,28755.97422290873,0.0,0.0,25747.506920639044,2981.629634351048,5836.357692597386,5488.051457663095,2345.996175756113,13767.286142340494,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
16,21537.72640087097,23426.075291462817,0.0,0.0,20630.363530783336,3636.437289211639,7077.61149769519,2112.301063758591,4986.239596164503,6856.194673678607,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
17,19443.038068632206,25167.842092464336,0.0,0.0,21502.170980462706,2583.685261238876,5917.286080642718,841.1527062856364,5442.047256333699,4934.487084592126,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
18,11801.348181800606,19844.73492670594,0.0,0.0,16913.57133728199,3571.762747220075,4148.035211555125,2217.6170672146022,2129.228536851157,9185.520831094842,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
