Metric,Value,Unit
gamma,0.5,-
beta,0.4,-
expected_social_welfare,3.992372111224273e10,EUR
resource_cost,1.5131484266506659e10,EUR/year
elec_cwap,111.16158949894704,EUR/MWh
ep_cwap,229.53103955119667,EUR/MWh
h2_cwap,NaN,EUR/MWh
blended_cwap,125.45035514031574,EUR/MWh
elec_exp,1.2576072796042791e10,EUR
ep_exp,3.5649733848396544e9,EUR
h2_exp,0.0,EUR
total_exp,1.6141046180882448e10,EUR
elec_qty,1.1313325810406765e8,MWh
ep_qty,1.5531552472424936e7,MWh
h2_qty,0.0,MWh
total_qty,1.286648105764926e8,MWh
