Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,9.98859924373255e8,6.022363964834906e8
Gen_VRES_Wind,VRES,1.6740289224241722e8,-4.9158834258386195e8
GreenH2_Coalition,GreenH2Coalition,1.138822350087646e8,-1.0874201116431269e8
