Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-5.27590421101423,-2.6821393655215164,5.275783979309466,83.72561172151454,132.60125567800011,0.0,13631.213723401077,0.0,0.0,0.0,12112.386,9448.423548443217,1013.586180828932,572.0199701409555,0.0,0.0,1.6389040639624,0.0,0.0,0.0,-5.936709420036584e6,-22318.21701013107,369.38000404654304,0.0
2,2,1,1,15.96931644253334,83.33036836491836,53.74040913575217,5.27578439947419,83.7256117215146,132.6012561214596,0.0,13866.70826680642,3.2438387542630496,0.0,0.0,12351.1245,9448.42354843967,1013.5861808289901,572.0202838459379,0.0,0.0,-1.2286756710279146e6,0.00028158951784007513,0.0,0.0,-4.955650650175907e6,-22318.21304023679,369.40581970097264,0.0
3,3,1,1,15.96931644253334,83.33036836491472,53.74027273731627,5.275784399473645,83.7256117215146,132.6012561214596,0.0,13866.70826680642,363.01883875427256,0.0,0.0,12710.8995,9448.423548439681,1013.5861808289901,572.020010794227,0.0,0.0,-1.2286756710278566e6,0.03151275750860805,0.0,0.0,-5.094287104791714e6,-22318.213040241943,369.38295827945694,0.0
4,4,1,1,15.96931644253334,83.33036836491523,53.740272737748334,5.275784399473645,83.7256117215146,132.60125612146064,0.0,13866.70826680642,854.7893387542731,0.0,0.0,13202.67,9448.423548439685,1013.5861808289905,572.020186427329,0.0,0.0,-1.2286756710278639e6,0.07420212429133244,0.0,0.0,-5.28326352658846e6,-22318.213040241957,369.39766326730023,0.0
5,5,1,1,15.96931644253334,83.33036836491526,53.7402727379221,5.275784399472962,83.72561172151462,132.6012561214608,0.0,13866.70826680642,1444.4303387542734,0.0,0.0,13792.311,9448.423548439698,1013.5861808289903,572.0200855763463,0.0,0.0,-1.2286756710278546e6,0.12538738451257814,0.0,0.0,-5.509052340365626e6,-22318.213040248396,369.3892194569635,0.0
6,6,1,1,15.96931644253334,83.330368364913,53.74027274976401,5.275784399473645,83.72561172151445,132.6012561214596,0.0,13866.70826680642,2181.2378387542735,0.0,0.0,14529.1185,9448.4235484397,1013.58618082899,572.019831995579,0.0,0.0,-1.228675671027833e6,0.18934780539711937,0.0,0.0,-5.789973347893724e6,-22318.21304024195,369.367988253216,0.0
7,7,1,1,15.96931644253334,83.330368364913,53.74027274957294,5.275784399473645,83.72561172151443,132.60125612146098,0.0,13866.70826680642,2843.2043387542717,0.0,0.0,15191.085,9448.4235484397,1013.5861808289902,572.0201198559647,0.0,0.0,-1.228675671027833e6,0.24681146288639866,0.0,0.0,-6.041202461740765e6,-22318.21304024195,369.39208953868365,0.0
8,8,1,1,15.96931644253334,83.33036836491482,53.74027274979582,5.275784399473235,83.72561172151462,132.6012561214596,0.0,13866.70826680642,3297.573838754274,0.0,0.0,15645.4545,9448.423548439703,1013.5861808289901,572.0199949702311,0.0,0.0,-1.2286756710278522e6,0.286254137638025,0.0,0.0,-6.213010455139022e6,-22318.21304024582,369.3816334057483,0.0
9,9,1,1,15.96931644253334,83.33036836491482,53.74027274979888,5.275784399473645,83.72561172151448,132.6012561214596,0.0,13866.70826680642,3463.1483387542753,0.0,0.0,15811.029,9448.423548439703,1013.5861808289901,572.0199761081778,0.0,0.0,-1.228675671027858e6,0.3006272458587773,0.0,0.0,-6.275489831653098e6,-22318.213040241943,369.3800541686942,0.0
10,10,1,1,15.96931644253334,83.33036836491482,53.740272749562344,5.275784399473235,83.72561172151448,132.60125612146098,0.0,13866.70826680642,3280.1408387542724,0.0,0.0,15628.021499999999,9448.423548439703,1013.5861808289902,572.0201087598947,0.0,0.0,-1.2286756710278522e6,0.2847408225061372,0.0,0.0,-6.206428141584612e6,-22318.21304024582,369.391160513449,0.0
11,11,1,1,15.96931644253334,83.33036836599666,53.74027274970393,5.275784399769821,83.72561172151445,132.6012561214608,190.3288739988109,13866.70826680642,2688.248464755603,0.0,0.0,15226.458,9448.423548438363,1013.5861808289903,572.0199935386804,0.0,-16864.30928527496,-1.2286756710469665e6,0.23335721759940498,0.0,0.0,-6.054596366918418e6,-22318.21303744355,369.38151354697766,0.0
12,12,1,1,15.96931644253334,83.33036836521806,53.740272737858675,5.275784399556588,83.72561172151445,132.6012561214596,1788.9982439989953,13866.70826680642,535.3305947553182,0.0,0.0,14672.2095,9448.423548439328,1013.5861808289901,572.0199376246026,0.0,-158516.25170368858,-1.2286756710332131e6,0.046470547720673494,0.0,0.0,-5.844371963118485e6,-22318.213039458264,369.3768321078096,0.0
13,13,1,1,15.96931644253334,83.33036657307791,53.74027274962559,5.275783861791065,83.72561172151448,132.60125612146098,4567.685927999394,8965.72823052738,2110.023954221864,0.0,0.0,14124.610499999999,9448.423548433526,1013.5861808289902,572.0201302300185,0.0,-404725.06647554843,-794418.6643522606,0.18694672104902565,0.0,0.0,-5.635915502112166e6,-22318.21812049469,369.3929581127013,0.0
