case,group,is_demand,scenario_year,probability,welfare
green_h2_social_planner,conventional,false,1,0.06666666666666667,-5.265314387874386e9
green_h2_social_planner,conventional,false,2,0.06666666666666667,-7.64101732616577e9
green_h2_social_planner,conventional,false,3,0.06666666666666667,-9.910957336812529e9
green_h2_social_planner,conventional,false,4,0.06666666666666667,-6.237873390504939e9
green_h2_social_planner,conventional,false,5,0.06666666666666667,-9.200171330579935e9
green_h2_social_planner,conventional,false,6,0.06666666666666667,-1.2050384307621698e10
green_h2_social_planner,conventional,false,7,0.06666666666666667,-5.729085328804267e9
green_h2_social_planner,conventional,false,8,0.06666666666666667,-8.407325817797346e9
green_h2_social_planner,conventional,false,9,0.06666666666666667,-1.0975482427688675e10
green_h2_social_planner,conventional,false,10,0.06666666666666667,-5.4996567925443125e9
green_h2_social_planner,conventional,false,11,0.06666666666666667,-8.042029192118289e9
green_h2_social_planner,conventional,false,12,0.06666666666666667,-1.0478854557264349e10
green_h2_social_planner,conventional,false,13,0.06666666666666667,-5.305777636003712e9
green_h2_social_planner,conventional,false,14,0.06666666666666667,-7.760314032691026e9
green_h2_social_planner,conventional,false,15,0.06666666666666667,-1.0113244360611965e10
green_h2_social_planner,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,10,0.06666666666666667,5.4443638382950836e10
green_h2_social_planner,elec_demand,true,11,0.06666666666666667,5.444363838294895e10
green_h2_social_planner,elec_demand,true,12,0.06666666666666667,5.444363838294895e10
green_h2_social_planner,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,gc_demand,true,1,0.06666666666666667,3.938053430804058e8
green_h2_social_planner,gc_demand,true,2,0.06666666666666667,3.938053430838524e8
green_h2_social_planner,gc_demand,true,3,0.06666666666666667,3.9380534308462155e8
green_h2_social_planner,gc_demand,true,4,0.06666666666666667,3.309612216671728e8
green_h2_social_planner,gc_demand,true,5,0.06666666666666667,3.3096122163616735e8
green_h2_social_planner,gc_demand,true,6,0.06666666666666667,3.3096122163632035e8
green_h2_social_planner,gc_demand,true,7,0.06666666666666667,3.580837175909372e8
green_h2_social_planner,gc_demand,true,8,0.06666666666666667,3.580837175990008e8
green_h2_social_planner,gc_demand,true,9,0.06666666666666667,3.5808371759981805e8
green_h2_social_planner,gc_demand,true,10,0.06666666666666667,3.7518143622109336e8
green_h2_social_planner,gc_demand,true,11,0.06666666666666667,3.7518143622914e8
green_h2_social_planner,gc_demand,true,12,0.06666666666666667,3.751814362299337e8
green_h2_social_planner,gc_demand,true,13,0.06666666666666667,3.8933118083120275e8
green_h2_social_planner,gc_demand,true,14,0.06666666666666667,3.893311808345372e8
