Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,3.7473112191254463e9,0.0
Gen_VRES_Wind,VRES,1.3169656595443814e9,0.0
GreenH2_Coalition,GreenH2Coalition,4.375855323631642e8,0.0
