period,time_step,SOLAR,LOAD_E,WIND
19,1,0.0,0.604682,0.043559
19,2,0.0,0.617331,0.023649
19,3,0.0,0.636352,0.016811
19,4,0.0,0.657276,0.020036
19,5,0.0,0.688063,0.044716
19,6,0.0,0.721181,0.061659
19,7,0.0,0.743937,0.082418
19,8,0.0,0.771828,0.101227
19,9,0.0,0.7805,0.115967
19,10,0.0,0.771576,0.13449
19,11,0.002,0.751831,0.13941
19,12,0.044,0.719512,0.099229
19,13,0.124,0.68904,0.093394
19,14,0.18,0.674351,0.067622
19,15,0.22,0.686393,0.103251
19,16,0.221,0.723345,0.13449
19,17,0.174,0.790484,0.115967
19,18,0.111,0.864477,0.13941
19,19,0.028,0.931848,0.105303
19,20,0.0,0.962375,0.144448
19,21,0.0,0.94257,0.113779
19,22,0.0,0.879935,0.13449
19,23,0.0,0.805739,0.144448
19,24,0.0,0.727556,0.171468
25,1,0.0,0.561665,0.376715
25,2,0.0,0.575476,0.437694
25,3,0.0,0.593253,0.487512
25,4,0.0,0.617514,0.53485
25,5,0.0,0.647944,0.49327
25,6,0.0,0.68229,0.510816
25,7,0.0,0.712483,0.510816
25,8,0.0,0.732699,0.362411
25,9,0.0,0.74268,0.238755
25,10,0.0,0.736651,0.224783
25,11,0.003,0.716975,0.245954
25,12,0.04,0.687467,0.195361
25,13,0.081,0.660339,0.144448
25,14,0.097,0.649096,0.105303
25,15,0.134,0.66066,0.231699
25,16,0.142,0.694501,0.141914
25,17,0.11,0.752045,0.077268
25,18,0.057,0.825525,0.054712
25,19,0.016,0.885189,0.049546
25,20,0.0,0.910422,0.063115
25,21,0.0,0.889842,0.082418
25,22,0.0,0.835464,0.063115
25,23,0.0,0.764396,0.050805
25,24,0.0,0.694894,0.056057
160,1,0.0,0.321738,0.039133
160,2,0.0,0.330268,0.041307
160,3,0.0,0.340073,0.057424
160,4,0.0,0.354492,0.036018
160,5,0.0,0.373998,0.032127
160,6,0.0,0.39352,0.013423
160,7,0.006,0.40893,0.003252
160,8,0.055,0.417274,0.008843
160,9,0.156,0.41711,0.007007
160,10,0.251,0.4089,0.007007
160,11,0.443,0.390492,0.005737
160,12,0.565,0.370376,0.000517
160,13,0.616,0.354213,0.000406
160,14,0.7,0.345009,0.00012
160,15,0.642,0.346093,0.001057
160,16,0.676,0.365442,0.004377
160,17,0.672,0.399514,0.009659
160,18,0.481,0.438679,0.037037
160,19,0.403,0.471069,0.050805
160,20,0.281,0.488463,0.072338
160,21,0.148,0.484902,0.087791
160,22,0.081,0.458729,0.095313
160,23,0.014,0.421799,0.095313
160,24,0.0,0.385257,0.113779
267,1,0.0,0.405616,0.118183
267,2,0.0,0.414629,0.118183
267,3,0.0,0.426938,0.109486
267,4,0.0,0.445978,0.129687
267,5,0.0,0.466319,0.136935
267,6,0.0,0.487613,0.120427
267,7,0.0,0.509215,0.087791
267,8,0.0,0.523663,0.107381
267,9,0.006,0.526474,0.103251
267,10,0.089,0.510494,0.07896
267,11,0.188,0.48781,0.047089
267,12,0.283,0.465179,0.093394
267,13,0.41,0.448227,0.214669
267,14,0.454,0.437708,0.19226
267,15,0.507,0.448289,0.174341
267,16,0.469,0.472838,0.214669
267,17,0.38,0.515172,0.268413
267,18,0.298,0.563688,0.242337
267,19,0.192,0.605465,0.168626
267,20,0.086,0.626037,0.168626
