Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
1,0.0,0.513819,0.8,0.9,0.070251
2,0.0,0.525021,0.8,0.9,0.049019
3,0.0,0.530326,0.8,0.9,0.146728
4,0.0,0.550355,0.8,0.9,0.126749
5,0.0,0.575506,0.8,0.9,0.113648
6,0.0,0.600177,0.8,0.9,0.146728
7,0.002941,0.623597,0.8,0.9,0.207498
8,0.050005,0.639923,0.8,0.9,0.19277
9,0.123541,0.64613,0.8,0.9,0.113648
10,0.129424,0.64033,0.8,0.9,0.126749
11,0.208844,0.624424,0.8,0.9,0.584291
12,0.233846,0.603282,0.8,0.9,0.505383
13,0.245612,0.583847,0.8,0.9,0.200043
14,0.413275,0.573833,0.8,0.9,0.630602
15,0.279439,0.579988,0.8,0.9,0.256142
16,0.260319,0.605635,0.8,0.9,0.283084
17,0.432395,0.647878,0.8,0.9,0.380729
18,0.383861,0.696209,0.8,0.9,0.364016
19,0.250024,0.734846,0.8,0.9,0.292467
20,0.423571,0.749115,0.8,0.9,0.364016
21,0.272085,0.732692,0.8,0.9,0.230967
22,0.138249,0.690755,0.8,0.9,0.111141
23,0.035298,0.636703,0.8,0.9,0.137927
24,0.0,0.584944,0.8,0.9,0.185675
25,0.0,0.501409,0.8,0.9,0.019487
26,0.0,0.510837,0.8,0.9,0.020277
27,0.0,0.52567,0.8,0.9,0.063173
28,0.0,0.545086,0.8,0.9,0.005108
29,0.0,0.56943,0.8,0.9,0.006127
30,0.0,0.595618,0.8,0.9,0.030417
31,0.0,0.619478,0.8,0.9,0.009977
32,0.038239,0.636332,0.8,0.9,0.000909
33,0.176488,0.644046,0.8,0.9,3.0e-6
34,0.370624,0.647434,0.8,0.9,0.0
35,0.577997,0.639797,0.8,0.9,0.0
36,0.754485,0.625333,0.8,0.9,0.0
37,0.928031,0.61169,0.8,0.9,4.6e-5
38,1.0,0.60622,0.8,0.9,8.0e-5
39,1.0,0.608108,0.8,0.9,3.0e-6
40,0.805961,0.636926,0.8,0.9,0.002155
41,0.858907,0.682897,0.8,0.9,0.013893
42,0.775075,0.733288,0.8,0.9,0.051959
43,0.733895,0.775151,0.8,0.9,0.02938
44,0.532405,0.787222,0.8,0.9,0.02192
45,0.304441,0.764136,0.8,0.9,0.024548
46,0.111776,0.713805,0.8,0.9,0.043475
47,0.011766,0.653898,0.8,0.9,0.099159
48,0.0,0.596088,0.8,0.9,0.113648
49,0.0,0.558053,0.8,0.9,0.001247
50,0.0,0.57602,0.8,0.9,0.000639
51,0.0,0.596663,0.8,0.9,0.0
52,0.0,0.626603,0.8,0.9,1.6e-5
53,0.0,0.652802,0.8,0.9,0.000127
