Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
1,0.0,0.604682,0.8,0.9,0.043559
2,0.0,0.617331,0.8,0.9,0.023649
3,0.0,0.636352,0.8,0.9,0.016811
4,0.0,0.657276,0.8,0.9,0.020036
5,0.0,0.688063,0.8,0.9,0.044716
6,0.0,0.721181,0.8,0.9,0.061659
7,0.0,0.743937,0.8,0.9,0.082418
8,0.0,0.771828,0.8,0.9,0.101227
9,0.0,0.7805,0.8,0.9,0.115967
10,0.0,0.771576,0.8,0.9,0.13449
11,0.002,0.751831,0.8,0.9,0.13941
12,0.044,0.719512,0.8,0.9,0.099229
13,0.124,0.68904,0.8,0.9,0.093394
14,0.18,0.674351,0.8,0.9,0.067622
15,0.22,0.686393,0.8,0.9,0.103251
16,0.221,0.723345,0.8,0.9,0.13449
17,0.174,0.790484,0.8,0.9,0.115967
18,0.111,0.864477,0.8,0.9,0.13941
19,0.028,0.931848,0.8,0.9,0.105303
20,0.0,0.962375,0.8,0.9,0.144448
21,0.0,0.94257,0.8,0.9,0.113779
22,0.0,0.879935,0.8,0.9,0.13449
23,0.0,0.805739,0.8,0.9,0.144448
24,0.0,0.727556,0.8,0.9,0.171468
25,0.0,0.561665,0.8,0.9,0.376715
26,0.0,0.575476,0.8,0.9,0.437694
27,0.0,0.593253,0.8,0.9,0.487512
28,0.0,0.617514,0.8,0.9,0.53485
29,0.0,0.647944,0.8,0.9,0.49327
30,0.0,0.68229,0.8,0.9,0.510816
31,0.0,0.712483,0.8,0.9,0.510816
32,0.0,0.732699,0.8,0.9,0.362411
33,0.0,0.74268,0.8,0.9,0.238755
34,0.0,0.736651,0.8,0.9,0.224783
35,0.003,0.716975,0.8,0.9,0.245954
36,0.04,0.687467,0.8,0.9,0.195361
37,0.081,0.660339,0.8,0.9,0.144448
38,0.097,0.649096,0.8,0.9,0.105303
39,0.134,0.66066,0.8,0.9,0.231699
40,0.142,0.694501,0.8,0.9,0.141914
41,0.11,0.752045,0.8,0.9,0.077268
42,0.057,0.825525,0.8,0.9,0.054712
43,0.016,0.885189,0.8,0.9,0.049546
44,0.0,0.910422,0.8,0.9,0.063115
45,0.0,0.889842,0.8,0.9,0.082418
46,0.0,0.835464,0.8,0.9,0.063115
47,0.0,0.764396,0.8,0.9,0.050805
48,0.0,0.694894,0.8,0.9,0.056057
49,0.0,0.321738,0.8,0.9,0.039133
50,0.0,0.330268,0.8,0.9,0.041307
51,0.0,0.340073,0.8,0.9,0.057424
52,0.0,0.354492,0.8,0.9,0.036018
53,0.0,0.373998,0.8,0.9,0.032127
54,0.0,0.39352,0.8,0.9,0.013423
55,0.006,0.40893,0.8,0.9,0.003252
56,0.055,0.417274,0.8,0.9,0.008843
57,0.156,0.41711,0.8,0.9,0.007007
58,0.251,0.4089,0.8,0.9,0.007007
59,0.443,0.390492,0.8,0.9,0.005737
60,0.565,0.370376,0.8,0.9,0.000517
61,0.616,0.354213,0.8,0.9,0.000406
62,0.7,0.345009,0.8,0.9,0.00012
63,0.642,0.346093,0.8,0.9,0.001057
64,0.676,0.365442,0.8,0.9,0.004377
65,0.672,0.399514,0.8,0.9,0.009659
66,0.481,0.438679,0.8,0.9,0.037037
67,0.403,0.471069,0.8,0.9,0.050805
68,0.281,0.488463,0.8,0.9,0.072338
69,0.148,0.484902,0.8,0.9,0.087791
70,0.081,0.458729,0.8,0.9,0.095313
71,0.014,0.421799,0.8,0.9,0.095313
72,0.0,0.385257,0.8,0.9,0.113779
73,0.0,0.405616,0.8,0.9,0.118183
74,0.0,0.414629,0.8,0.9,0.118183
75,0.0,0.426938,0.8,0.9,0.109486
76,0.0,0.445978,0.8,0.9,0.129687
77,0.0,0.466319,0.8,0.9,0.136935
78,0.0,0.487613,0.8,0.9,0.120427
79,0.0,0.509215,0.8,0.9,0.087791
80,0.0,0.523663,0.8,0.9,0.107381
81,0.006,0.526474,0.8,0.9,0.103251
82,0.089,0.510494,0.8,0.9,0.07896
83,0.188,0.48781,0.8,0.9,0.047089
84,0.283,0.465179,0.8,0.9,0.093394
85,0.41,0.448227,0.8,0.9,0.214669
86,0.454,0.437708,0.8,0.9,0.19226
87,0.507,0.448289,0.8,0.9,0.174341
88,0.469,0.472838,0.8,0.9,0.214669
89,0.38,0.515172,0.8,0.9,0.268413
90,0.298,0.563688,0.8,0.9,0.242337
91,0.192,0.605465,0.8,0.9,0.168626
92,0.086,0.626037,0.8,0.9,0.168626
93,0.006,0.620217,0.8,0.9,0.066097
94,0.0,0.582439,0.8,0.9,0.035017
95,0.0,0.534309,0.8,0.9,0.018056
96,0.0,0.486399,0.8,0.9,0.010523
97,0.0,0.431077,0.8,0.9,0.000794
98,0.0,0.446912,0.8,0.9,0.000406
99,0.0,0.464474,0.8,0.9,0.0
100,0.0,0.490161,0.8,0.9,1.0e-5
101,0.0,0.511367,0.8,0.9,8.1e-5
102,0.0,0.532307,0.8,0.9,0.000459
103,0.0,0.553304,0.8,0.9,0.002862
104,0.0,0.568347,0.8,0.9,0.005445
105,0.0,0.572776,0.8,0.9,0.014496
106,0.048,0.556312,0.8,0.9,0.038075
107,0.167,0.526722,0.8,0.9,0.030292
108,0.284,0.496818,0.8,0.9,0.007352
109,0.392,0.473339,0.8,0.9,0.010085
110,0.46,0.461014,0.8,0.9,0.011438
111,0.47,0.466772,0.8,0.9,0.010523
112,0.384,0.492306,0.8,0.9,0.009659
113,0.393,0.532978,0.8,0.9,0.012906
114,0.267,0.583254,0.8,0.9,0.015053
115,0.132,0.629035,0.8,0.9,0.018056
116,0.035,0.662033,0.8,0.9,0.018701
117,0.0,0.655145,0.8,0.9,0.022894
118,0.0,0.61526,0.8,0.9,0.047089
119,0.0,0.561739,0.8,0.9,0.027672
120,0.0,0.508952,0.8,0.9,0.038075
121,0.0,0.498595,0.8,0.9,0.177247
122,0.0,0.509072,0.8,0.9,0.189192
123,0.0,0.522945,0.8,0.9,0.272284
124,0.0,0.543697,0.8,0.9,0.343908
125,0.0,0.569163,0.8,0.9,0.406442
126,0.0,0.597266,0.8,0.9,0.476131
127,0.0,0.62152,0.8,0.9,0.481799
128,0.0,0.639913,0.8,0.9,0.53485
129,0.0,0.646392,0.8,0.9,0.673473
130,0.0,0.641166,0.8,0.9,0.7625
131,0.029,0.620324,0.8,0.9,0.901567
132,0.098,0.593219,0.8,0.9,0.875891
133,0.173,0.569631,0.8,0.9,0.464928
134,0.23,0.557129,0.8,0.9,0.732004
135,0.23,0.562163,0.8,0.9,0.817886
136,0.203,0.594446,0.8,0.9,0.709673
137,0.17,0.646818,0.8,0.9,0.673473
138,0.099,0.709393,0.8,0.9,0.371906
139,0.019,0.765511,0.8,0.9,0.300431
140,0.0,0.788443,0.8,0.9,0.264579
141,0.0,0.773447,0.8,0.9,0.23521
142,0.0,0.726285,0.8,0.9,0.25702
143,0.0,0.661488,0.8,0.9,0.276193
144,0.0,0.600022,0.8,0.9,0.249606
145,0.0,0.508795,0.8,0.9,0.638525
146,0.0,0.518232,0.8,0.9,0.680612
147,0.0,0.533618,0.8,0.9,0.850707
148,0.0,0.556844,0.8,0.9,0.73955
149,0.0,0.584358,0.8,0.9,0.884395
150,0.0,0.613235,0.8,0.9,0.901567
151,0.0,0.639676,0.8,0.9,1.0
152,0.0,0.657022,0.8,0.9,0.892953
153,0.0,0.670171,0.8,0.9,0.817886
154,0.0,0.667184,0.8,0.9,0.842421
155,0.005,0.652462,0.8,0.9,0.709673
156,0.069,0.624659,0.8,0.9,0.598209
157,0.136,0.599784,0.8,0.9,0.624891
158,0.088,0.589476,0.8,0.9,0.717066
159,0.123,0.597735,0.8,0.9,0.553363
160,0.139,0.632061,0.8,0.9,0.432378
161,0.056,0.685205,0.8,0.9,0.416688
162,0.031,0.753342,0.8,0.9,0.801797
163,0.001,0.802141,0.8,0.9,0.645415
164,0.0,0.825241,0.8,0.9,0.49327
165,0.0,0.809609,0.8,0.9,0.448456
166,0.0,0.755723,0.8,0.9,0.284121
167,0.0,0.693301,0.8,0.9,0.504922
168,0.0,0.638672,0.8,0.9,0.165815
169,0.0,0.576975,0.8,0.9,0.218006
170,0.0,0.585766,0.8,0.9,0.238755
171,0.0,0.599766,0.8,0.9,0.165815
172,0.0,0.624976,0.8,0.9,0.214669
173,0.0,0.656464,0.8,0.9,0.183155
174,0.0,0.690383,0.8,0.9,0.19226
