iter,AgentID,Slot,jy,x_cap,z_cap,lambda_cap,rho_cap,primal_local,dual_local
1,Green_Coalition,VRES_solar,1,25881.000000000004,25880.99999999,0.0,0.1,9.894243794402948,Inf
1,Green_Coalition,VRES_wind,2,16390.64487803154,16399.85352224575,0.0,0.1,9.894243794402948,Inf
1,Green_Coalition,H2,3,1756.6434401235956,1759.5386148138334,0.0,0.1,9.894243794402948,Inf
1,Green_Coalition,EP,4,1317.482580092902,1319.6539611078751,0.0,0.1,9.894243794402948,Inf
2,Green_Coalition,VRES_solar,1,25881.0,25881.0,1.000444171950221e-9,0.1,6.9285499262191275,1.000080374069512e-9
2,Green_Coalition,VRES_wind,2,16384.1673520979,16390.644878031446,-0.9208644214209927,0.1,6.9285499262191275,1.000080374069512e-9
2,Green_Coalition,H2,3,1754.6762757714696,1756.6434401245717,-0.2895174690237809,0.1,6.9285499262191275,1.000080374069512e-9
2,Green_Coalition,EP,4,1316.00720682871,1317.4825800927404,-0.21713810149731216,0.1,6.9285499262191275,1.000080374069512e-9
3,Green_Coalition,VRES_solar,1,25881.00000000001,25881.0,1.000444171950221e-9,0.10500000000000001,7.4021397636039135,0.0
3,Green_Coalition,VRES_wind,2,16377.164980260648,16384.167352097847,-1.5686170147757368,0.10500000000000001,7.4021397636039135,0.0
3,Green_Coalition,H2,3,1752.7565321658722,1754.6762757714619,-0.4862339043339944,0.10500000000000001,7.4021397636039135,0.0
3,Green_Coalition,EP,4,1314.5673991253525,1316.007206828596,-0.3646754279003517,0.10500000000000001,7.4021397636039135,0.0
4,Green_Coalition,VRES_solar,1,25881.000000000004,25881.0,1.001590135274455e-9,0.11025000000000001,8.762240899432944,0.0
4,Green_Coalition,VRES_wind,2,16368.809689151403,16377.16498026018,-2.3038660576816805,0.11025000000000001,8.762240899432944,0.0
4,Green_Coalition,H2,3,1750.6450813179613,1752.756532165957,-0.687806982920913,0.11025000000000001,8.762240899432944,0.0
4,Green_Coalition,EP,4,1312.9838109886962,1314.5673991244757,-0.5158552367409255,0.11025000000000001,8.762240899432944,0.0
5,Green_Coalition,VRES_solar,1,25881.0,25881.0,1.0019912224379368e-9,0.11576250000000002,8.465170700194308,0.0
5,Green_Coalition,VRES_wind,2,16360.715484905488,16368.80968915129,-3.225036902424371,0.11576250000000002,8.465170700194308,0.0
5,Green_Coalition,H2,3,1748.6622796458296,1750.6450813179438,-0.9205944389124372,0.11576250000000002,8.465170700194308,0.0
5,Green_Coalition,EP,4,1311.496709734431,1312.9838109884545,-0.6904458287106224,0.11576250000000002,8.465170700194308,0.0
6,Green_Coalition,VRES_solar,1,25881.00000000002,25881.0,1.0019912224379368e-9,0.12155062500000002,7.587189340318046,0.0
6,Green_Coalition,VRES_wind,2,16353.402558046771,16360.715484905459,-4.162042221429113,0.12155062500000002,7.587189340318046,0.0
6,Green_Coalition,H2,3,1747.045063697582,1748.6622796458319,-1.1501285174805564,0.12155062500000002,7.587189340318046,0.0
6,Green_Coalition,EP,4,1310.2837977746453,1311.4967097343742,-0.8625963876295064,0.12155062500000002,7.587189340318046,0.0
7,Green_Coalition,VRES_solar,1,25881.0,25881.0,1.0042022154266305e-9,0.12762815625000004,7.104166702864201,0.0
7,Green_Coalition,VRES_wind,2,16346.484365148335,16353.402558046078,-5.050933051681829,0.12762815625000004,7.104166702864201,0.0
7,Green_Coalition,H2,3,1745.7531710525723,1747.0450636975113,-1.3467021267502934,0.12762815625000004,7.104166702864201,0.0
7,Green_Coalition,EP,4,1309.3148782895455,1310.283797773121,-1.010026594404529,0.12762815625000004,7.104166702864201,0.0
8,Green_Coalition,VRES_solar,1,25881.000000000015,25881.0,1.0042022154266305e-9,0.13400956406250006,6.933431845133017,0.0
8,Green_Coalition,VRES_wind,2,16339.703746400188,16346.484365148286,-5.93388925580264,0.13400956406250006,6.933431845133017,0.0
8,Green_Coalition,H2,3,1744.595052151411,1745.7531710525902,-1.5115840030967973,0.13400956406250006,6.933431845133017,0.0
8,Green_Coalition,EP,4,1308.4462891145286,1309.3148782894405,-1.1336880016479747,0.13400956406250006,6.933431845133017,0.0
9,Green_Coalition,VRES_solar,1,25881.000000000004,25881.0,1.0061523112426584e-9,0.14071004226562506,6.882085276532175,0.0
9,Green_Coalition,VRES_wind,2,16332.962143602741,16339.70374639972,-6.842557018309305,0.14071004226562506,6.882085276532175,0.0
9,Green_Coalition,H2,3,1743.4883049949935,1744.5950521513782,-1.6667830121763703,0.14071004226562506,6.882085276532175,0.0
9,Green_Coalition,EP,4,1307.6162287463985,1308.4462891135138,-1.2500872583273255,0.14071004226562506,6.882085276532175,0.0
10,Green_Coalition,VRES_solar,1,25881.0,25881.0,1.0066642113943658e-9,0.14774554437890633,7.067854994311862,0.0
10,Green_Coalition,VRES_wind,2,16326.020193985212,16332.962143602666,-7.7911682328103256,0.14774554437890633,7.067854994311862,0.0
10,Green_Coalition,H2,3,1742.4258068882423,1743.4883049949797,-1.8225134513286216,0.14774554437890633,7.067854994311862,0.0
10,Green_Coalition,EP,4,1306.819355166219,1307.6162287462346,-1.3668850876671348,0.14774554437890633,7.067854994311862,0.0
11,Green_Coalition,VRES_solar,1,25881.000000000004,25881.00000000017,1.0066642113943658e-9,0.15513282159785166,7.213430280846112,2.6525386111094224e-11
11,Green_Coalition,VRES_wind,2,16318.92133948647,16326.020193985192,-8.816810358092031,0.15513282159785166,7.213430280846112,2.6525386111094224e-11
11,Green_Coalition,H2,3,1741.4013566050103,1742.4258068882368,-1.9794928125100952,0.15513282159785166,7.213430280846112,2.6525386111094224e-11
11,Green_Coalition,EP,4,1306.0510174541096,1306.8193551661761,-1.4846196085476886,0.15513282159785166,7.213430280846112,2.6525386111094224e-11
12,Green_Coalition,VRES_solar,1,25881.0,25881.0,9.807031952005288e-10,0.16288946267774426,7.213947489999559,2.7851655416648937e-11
12,Green_Coalition,VRES_wind,2,16311.809402851133,16318.921339486293,-9.918075686591546,0.16288946267774426,7.213947489999559,2.7851655416648937e-11
12,Green_Coalition,H2,3,1740.434251006233,1741.4013566049557,-2.138418675533747,0.16288946267774426,7.213947489999559,2.7851655416648937e-11
12,Green_Coalition,EP,4,1305.3256882547537,1306.051017453715,-1.603814005760613,0.16288946267774426,7.213947489999559,2.7851655416648937e-11
13,Green_Coalition,VRES_solar,1,25881.00000000002,25881.0,9.807031952005288e-10,0.17103393581163148,7.082241257716008,0.0
13,Green_Coalition,VRES_wind,2,16304.80946389819,16311.809402851095,-11.076535223690843,0.17103393581163148,7.082241257716008,0.0
13,Green_Coalition,H2,3,1739.5729976350608,1740.4342510062256,-2.2959499868623436,0.17103393581163148,7.082241257716008,0.0
13,Green_Coalition,EP,4,1304.6797482274644,1305.325688254669,-1.7219624892439125,0.17103393581163148,7.082241257716008,0.0
14,Green_Coalition,VRES_solar,1,25881.0,25881.0,9.8381428436941e-10,0.17958563260221305,6.988923380041562,0.0
14,Green_Coalition,VRES_wind,2,16297.882731179394,16304.809463897634,-12.27376233324746,0.17958563260221305,6.988923380041562,0.0
14,Green_Coalition,H2,3,1738.8287723520525,1739.5729976350258,-2.443253540663699,0.17958563260221305,6.988923380041562,0.0
