Metric,Value,Unit
case,market_exposure,-
gamma,0.5,-
beta,0.6,-
expected_social_welfare,3.9953053329606255e10,EUR
social_CVaR,-3.737445044613485e10,EUR
alpha_social,-3.9615805156061874e10,EUR
social_CVaR_recomputed,-3.737445044613485e10,EUR
sum_private_CVaR,2.3128346285903754e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,1.726837234394226e8,EUR
SP_social_CVaR_benchmark,-3.754713416957427e10,EUR
expected_welfare_demand,5.5085596357569496e10,EUR
expected_welfare_ex_demand,-1.5132543027963242e10,EUR
share_demand_of_E_SW,1.378758111504575,-
welfare_ex_demand_CVaR,1.7827890747259674e10,EUR
welfare_ex_demand_min,-1.9518068367612064e10,EUR
welfare_ex_demand_spread,7.799660655128025e9,EUR
expected_welfare_group_conventional,-8.074935472391875e9,EUR
expected_welfare_group_elec_demand,5.471177598578538e10,EUR
expected_welfare_group_gc_demand,3.738203717841132e8,EUR
expected_welfare_group_h2_producer,-4.536189386174972e8,EUR
expected_welfare_group_offtaker_green,-2.072019176361307e8,EUR
expected_welfare_group_offtaker_grey,-1.3051140584947278e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-5.091672640823011e9,EUR
