Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,1.1257029387425976e9,7.25850460527771e8
Gen_VRES_Wind,VRES,3.3994773315528274e8,-4.9644726825793564e7
Prod_H2_Green,GreenProducer,1.3824160392704052e8,3.557779560509567e7
Offtaker_Green,GreenOfftaker,7.617356692709854e7,6.2777059518449806e7
