periods,weights,selected_periods
29,15.96931644253334,true
211,113.26120028586095,true
235,25.978438934960977,true
271,79.52692771482607,true
293,36.43799714138726,true
309,25.3432994157277,true
352,18.293256130585263,true
355,50.18956393411847,true
