period,time_step,SOLAR,LOAD_E,WIND
31,1,0.0,0.539385,1.0
31,2,0.0,0.553286,1.0
31,3,0.0,0.57369,1.0
31,4,0.0,0.597834,1.0
31,5,0.0,0.628,1.0
31,6,0.0,0.660497,1.0
31,7,0.0,0.68971,1.0
31,8,0.0,0.709279,1.0
31,9,0.0,0.715643,1.0
31,10,0.0,0.707395,1.0
31,11,0.005,0.686922,1.0
31,12,0.027,0.660939,1.0
31,13,0.028,0.64522,1.0
31,14,0.04,0.635006,1.0
31,15,0.072,0.642622,1.0
31,16,0.092,0.670102,1.0
31,17,0.151,0.723932,1.0
31,18,0.123,0.789995,1.0
31,19,0.061,0.844133,1.0
31,20,0.004,0.867209,1.0
31,21,0.0,0.847617,1.0
31,22,0.0,0.79492,1.0
31,23,0.0,0.724817,1.0
31,24,0.0,0.654397,1.0
53,1,0.0,0.588741,0.13449
53,2,0.0,0.601644,0.147012
53,3,0.0,0.620786,0.157572
53,4,0.0,0.646752,0.160289
53,5,0.0,0.67844,0.157572
53,6,0.0,0.711826,0.168626
53,7,0.0,0.742372,0.174341
53,8,0.0,0.763435,0.171468
53,9,0.0,0.771165,0.160289
53,10,0.002,0.762459,0.160289
53,11,0.067,0.735314,0.163036
53,12,0.168,0.702582,0.177247
53,13,0.183,0.675379,0.118183
53,14,0.218,0.661285,0.168626
53,15,0.236,0.669552,0.208098
53,16,0.136,0.708002,0.195361
53,17,0.117,0.767655,0.242337
53,18,0.104,0.834844,0.201663
53,19,0.063,0.889877,0.136935
53,20,0.026,0.914823,0.149606
53,21,0.0,0.894932,0.154886
53,22,0.0,0.843493,0.171468
53,23,0.0,0.770565,0.201663
53,24,0.0,0.699509,0.218006
270,1,0.0,0.383439,0.045892
270,2,0.0,0.392467,0.022894
270,3,0.0,0.406578,0.008453
270,4,0.0,0.422201,0.009659
270,5,0.0,0.443047,0.008453
270,6,0.0,0.464934,0.016811
270,7,0.0,0.486727,0.022894
270,8,0.0,0.504146,0.021433
270,9,0.003,0.511073,0.020036
270,10,0.069,0.507544,0.010974
270,11,0.183,0.488105,0.007007
270,12,0.32,0.462776,0.006351
270,13,0.421,0.440473,0.001882
270,14,0.506,0.426923,0.005737
270,15,0.509,0.431181,0.003675
270,16,0.488,0.453028,0.003053
270,17,0.417,0.491092,0.003675
270,18,0.343,0.534648,0.006674
270,19,0.218,0.572948,0.008074
270,20,0.086,0.595615,0.015053
270,21,0.004,0.592505,0.052086
270,22,0.0,0.559888,0.091501
270,23,0.0,0.513684,0.095313
270,24,0.0,0.468226,0.118183
273,1,0.0,0.38953,0.516755
273,2,0.0,0.40015,0.396365
273,3,0.0,0.415021,0.308814
273,4,0.0,0.434082,0.284121
273,5,0.0,0.457128,0.313064
273,6,0.0,0.481406,0.343908
273,7,0.0,0.50392,0.330452
273,8,0.0,0.520656,0.284121
273,9,0.002,0.527774,0.284121
273,10,0.074,0.521058,0.284121
273,11,0.21,0.500593,0.218006
273,12,0.346,0.475293,0.221377
273,13,0.456,0.453046,0.120427
273,14,0.526,0.44032,0.118183
273,15,0.549,0.443664,0.125
273,16,0.512,0.464417,0.13449
273,17,0.447,0.502164,0.163036
273,18,0.322,0.546004,0.163036
273,19,0.174,0.585088,0.141914
273,20,0.059,0.605881,0.211367
273,21,0.002,0.598226,0.2922
273,22,0.0,0.566009,0.362411
273,23,0.0,0.516161,0.381565
273,24,0.0,0.468803,0.343908
304,1,0.0,0.462993,0.432378
304,2,0.0,0.47161,0.432378
304,3,0.0,0.485042,0.437694
304,4,0.0,0.505473,0.411544
304,5,0.0,0.529768,0.39139
304,6,0.0,0.556566,0.437694
304,7,0.0,0.58053,0.406442
304,8,0.0,0.597002,0.396365
304,9,0.0,0.603047,0.416688
304,10,0.004,0.596071,0.516755
304,11,0.064,0.576748,0.578704
304,12,0.147,0.550306,0.585158
304,13,0.216,0.527204,0.334898
304,14,0.29,0.512543,0.411544
304,15,0.306,0.517187,0.464928
304,16,0.283,0.543517,0.528772
304,17,0.151,0.592138,0.559627
304,18,0.051,0.651028,0.618148
304,19,0.008,0.695744,0.695041
304,20,0.0,0.712301,0.817886
304,21,0.0,0.69459,0.936575
304,22,0.0,0.648353,0.842421
304,23,0.0,0.589809,0.732004
304,24,0.0,0.53439,0.638525
343,1,0.0,0.521558,0.981596
343,2,0.0,0.531887,0.972479
343,3,0.0,0.546394,1.0
343,4,0.0,0.567409,0.972479
343,5,0.0,0.593288,0.884395
343,6,0.0,0.621112,0.834189
343,7,0.0,0.648627,0.809815
343,8,0.0,0.667815,0.732004
343,9,0.0,0.674577,0.631683
343,10,0.0,0.665191,0.522741
343,11,0.002,0.649699,0.453903
343,12,0.038,0.62655,0.411544
343,13,0.094,0.603885,0.189192
343,14,0.14,0.592162,0.171468
343,15,0.144,0.600543,0.171468
343,16,0.117,0.635031,0.118183
343,17,0.072,0.690925,0.057424
343,18,0.044,0.757594,0.058813
343,19,0.003,0.815278,0.063115
343,20,0.0,0.840509,0.060225
343,21,0.0,0.822471,0.063115
343,22,0.0,0.773114,0.063115
343,23,0.0,0.70736,0.058813
343,24,0.0,0.642316,0.054712
354,1,0.0,0.561461,0.168626
354,2,0.0,0.573217,0.211367
354,3,0.0,0.58827,0.304603
354,4,0.0,0.610252,0.362411
354,5,0.0,0.638123,0.357724
354,6,0.0,0.668838,0.313064
354,7,0.0,0.696045,0.276193
354,8,0.0,0.714995,0.211367
354,9,0.0,0.720617,0.214669
354,10,0.0,0.713144,0.23521
354,11,0.0,0.697236,0.268413
354,12,0.042,0.669419,0.264579
354,13,0.123,0.640962,0.211367
354,14,0.179,0.625785,0.224783
354,15,0.203,0.632547,0.2922
354,16,0.17,0.668096,0.367138
354,17,0.136,0.726006,0.357724
354,18,0.062,0.796813,0.362411
354,19,0.004,0.857212,0.401383
354,20,0.0,0.878537,0.443053
354,21,0.0,0.857667,0.559627
354,22,0.0,0.802459,0.754798
354,23,0.0,0.730828,0.92774
354,24,0.0,0.659855,1.0
361,1,0.0,0.561637,0.19226
361,2,0.0,0.575969,0.238755
361,3,0.0,0.595051,0.367138
361,4,0.0,0.619351,0.547145
361,5,0.0,0.646203,0.7625
361,6,0.0,0.674291,1.0
361,7,0.0,0.697792,1.0
361,8,0.0,0.713552,1.0
361,9,0.0,0.715065,1.0
361,10,0.0,0.699552,1.0
361,11,0.0,0.680075,1.0
361,12,0.008,0.651293,1.0
361,13,0.027,0.625551,1.0
361,14,0.04,0.611976,1.0
361,15,0.022,0.622129,1.0
361,16,0.011,0.657856,1.0
361,17,0.016,0.71235,1.0
361,18,0.005,0.773679,1.0
361,19,0.001,0.824781,0.78592
361,20,0.0,0.84338,0.591659
361,21,0.0,0.826339,0.565939
361,22,0.0,0.776861,0.578704
361,23,0.0,0.709219,0.565939
361,24,0.0,0.64482,0.572297
