Gen_Conv_Coal_EP,Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_Conv_Coal_H2_GC,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,Gen_Conv_Coal_H2,jy,Cons_Elec_01_H2,Offtaker_Green_H2_GC,Gen_Conv_Coal_elec_GC,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_Conv_CCGT_EP,Gen_Conv_CCGT_H2_GC,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Gen_Conv_Biomass_EP,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_Biomass_elec,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,Gen_Conv_CCGT_elec_GC,jd,Gen_VRES_Wind_H2,Prod_H2_Green_H2_GC,Gen_Conv_Biomass_H2_GC,Gen_Conv_CCGT_H2,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Gen_Conv_Biomass_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,Gen_Conv_Coal_elec,Gen_Conv_Biomass_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec,Gen_Conv_CCGT_elec
0.0,9.394890039818152e-20,0.0,0.0,0.0,0.0,0.0,1,0.0,-1272.4943798573026,0.0,-10554.541150703863,-9.999842928315866e-9,0.0,0.0,14678.434442463136,9.394890039818152e-20,0.0,0.0,-438.2045151081227,1283.0241712165694,-9.99980134236504e-9,0.0,0.0,14678.434442463136,0.0,1710.6988949554257,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1710.6988949654253,0.0,0.0,-1710.6988949554257,489.97582879343065,0.0,0.0,0.0,0.0,0.0,-12112.3861,0.0,-4123.893291759275,-9.999791547730622e-9,0.0,1,0.0,0.0,0.0,0.0,-2566.0483424331387,-9.999786651368768e-9
0.0,1.7858769453114024e-19,0.0,0.0,0.0,0.0,0.0,1,0.0,-1272.4912029284292,0.0,-10554.541150703912,-9.999842928315866e-9,0.0,0.0,14917.172942463136,1.7858769453114024e-19,0.0,0.0,-438.20769203699615,1283.0241712165694,-9.99980134236504e-9,0.0,0.0,14917.172942463136,0.0,1710.6988949554257,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,1710.6988949654253,0.0,0.0,-1710.6988949554257,489.97582879343054,0.0,0.0,0.0,0.0,0.0,-12351.1246,0.0,-4362.631791759224,-9.999791547730622e-9,0.0,2,0.0,0.0,0.0,0.0,-2566.0483424331387,-9.999786651368768e-9
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-1209.2793988454864,0.0,-10554.54115070394,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-462.82351874936387,1254.0771881886378,-9.997115012915673e-9,0.0,0.0,15191.995265548077,0.0,1672.1029175848505,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,1672.1029175948502,0.0,0.0,-1672.1029175848505,518.9228118213621,0.0,0.0,0.0,0.0,0.0,-12710.899599999999,0.0,-4637.454114854136,-9.990917132420017e-9,0.0,3,0.0,0.0,0.0,0.0,-2508.1543763772756,27.058710839187412
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-850.1929407536683,0.0,-10554.541150703953,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-593.7189279457803,1082.9339015170865,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1443.9118686894487,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,1443.9118686994484,0.0,0.0,-1443.9118686894487,690.0660984929133,0.0,0.0,0.0,0.0,0.0,-13202.6701,0.0,-4637.454114854122,-9.990917132420014e-9,0.0,4,0.0,0.0,0.0,0.0,-2165.867803034173,176.54263749608413
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-592.7893354401178,0.0,-10554.541150703964,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-659.9291310750664,939.5388498788884,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1252.7184665051846,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1,0.0,1252.7184665151842,0.0,0.0,-1252.7184665051846,833.4611501311114,0.0,0.0,0.0,0.0,0.0,-13792.311099999999,0.0,-4637.454114854111,-9.990917132420014e-9,0.0,5,0.0,0.0,0.0,0.0,-1879.0776997577768,479.393534219688
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-502.59572923514247,0.0,-10554.54115070397,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-665.7152542851527,876.2332376327214,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1168.3109835102953,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,1,0.0,1168.310983520295,0.0,0.0,-1168.3109835102953,896.7667623772785,0.0,0.0,0.0,0.0,0.0,-14529.1186,0.0,-4637.4541148541075,-9.990917132420014e-9,0.0,6,0.0,0.0,0.0,0.0,-1752.4664752654433,1089.5898097273562
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-478.4998332894826,0.0,-10554.541150703968,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-664.0574304655674,856.9179478087876,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1142.5572637450502,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,1,0.0,1142.55726375505,0.0,0.0,-1142.5572637450502,916.0820522012122,0.0,0.0,0.0,0.0,0.0,-15191.085099999998,0.0,-4637.454114854107,-9.990917132420014e-9,0.0,7,0.0,0.0,0.0,0.0,-1713.8358956175757,1712.9257300794866
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-470.0448905483194,0.0,-10554.541150703972,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-663.0582058241544,849.8273222718556,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1133.1030963624742,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,1,0.0,1133.1030963724738,0.0,0.0,-1133.1030963624742,923.1726777381443,0.0,0.0,0.0,0.0,0.0,-15645.4546,0.0,-4637.454114854105,-9.990917132420014e-9,0.0,8,0.0,0.0,0.0,0.0,-1699.6546445437111,2153.1139790056222
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-467.7282489916489,0.0,-10554.541150703972,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-662.747944437656,847.8571450644788,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1130.4761934193052,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,1,0.0,1130.4761934293049,0.0,0.0,-1130.4761934193052,925.1428549455211,0.0,0.0,0.0,0.0,0.0,-15811.0291,0.0,-4637.454114854105,-9.990917132420014e-9,0.0,9,0.0,0.0,0.0,0.0,-1695.7142901289578,2314.74812459087
0.0,9.999786664918094e-9,0.0,0.0,0.0,0.0,0.0,1,0.0,-470.27422200167825,0.0,-10554.541150703972,-9.999842928315866e-9,0.0,0.0,15191.995265548077,9.999786664918094e-9,0.0,0.0,-663.1017399158941,850.0319714306794,-9.997115012915671e-9,0.0,0.0,15191.995265548077,0.0,1133.3759619075724,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,1,0.0,1133.3759619175723,0.0,0.0,-1133.3759619075724,922.9680285793205,0.0,0.0,0.0,0.0,0.0,-15628.021599999998,0.0,-4637.454114854105,-9.990917132420014e-9,0.0,10,0.0,0.0,0.0,0.0,-1700.063942861359,2136.09027732327
