Contract_Price_Gen_VRES_Wind,EP_Price,H2_Price,Elec_GC_Price,Elec_Price,Contract_Price_Gen_VRES_Solar,Time,H2_GC_Price
0.0,106.8242990928626,62.981728739394725,20.852236524050948,-19.819813621100437,55.0000000002054,1,32.46685537525615
0.0,106.94073158922515,63.10906089305307,20.629116761886966,-19.453757457859684,55.000000000202654,2,32.29032848513264
0.0,106.82429909285995,62.98172873939312,20.662147323193192,-19.499049202652394,55.0000000002028,3,32.46685537524618
0.0,106.82429909286296,62.98172873939517,20.802871746689167,-19.66782192697526,55.000000000203855,4,32.4668553752561
0.0,106.94073158913675,63.10906089333396,20.550651948108282,-19.707901507853443,55.00000000020638,5,32.290328485039645
0.0,106.72123635402139,62.74567966015229,20.80223700220594,-16.62011576003981,55.00000000022525,6,32.307672487609864
57.6056936347746,109.41282707757766,67.00835570672704,19.80419065352351,44.82942382770116,65.12933043708435,7,32.92181286783928
67.47623209786397,113.74557129526019,71.96888948673713,19.60561992363077,49.11054184197024,68.70599131895376,8,33.0846970674944
63.03797046286115,112.81911421136911,69.20701044969981,19.24521704294118,43.9996997069516,62.33550801351041,9,32.23583625333088
51.99622539707619,108.47453784937123,64.9446070338452,20.112603029875366,36.578621450666084,57.32815341295766,10,32.30299449303616
39.05307890702708,107.28539405522758,63.51253686111777,19.153300381142987,24.22274386507756,43.7664733715835,11,32.54273920331912
37.2017287337706,106.72123763556426,62.74568179411146,21.028706302023018,19.731798929568203,38.88996862095997,12,32.30767277828755
19.46572294691691,106.82429909346031,62.98172874015639,21.59729672226618,-0.06735192414952773,18.623929860470227,13,32.46685537484921
41.452189349908956,106.8497530365297,62.959649324044456,19.429762115658615,22.90550223398812,39.972832745640794,14,32.336786508623774
55.379041413942495,108.2644070083334,64.7085334229724,18.961032444727753,36.48075838804149,54.68340485560351,15,32.117456080893476
64.86680963845215,112.98841549176764,69.65350260986725,19.33434027246866,46.44505786683024,66.04920949084126,16,32.59422506833498
64.39705517166061,111.09079840168407,72.5982244911367,19.885617656036747,51.4763984658699,71.32312803264952,17,33.598279616860154
57.23454223254381,112.6198910905602,70.38096165429299,19.655874346779896,42.866493722219,67.21103855625796,18,31.98949194106655
38.96037887622513,107.72709837993385,64.1266017149495,18.064936313657665,25.224970874621096,57.79170558388277,19,32.35343981535033
2.278798123401523,106.72123635403868,62.745679660298585,20.952077319206673,-11.28283645005026,55.00000000023382,20,32.30767248762823
0.0,106.94073158995297,63.109060892879334,21.676943128834587,-21.335867454628833,55.0000000002095,21,32.290328485329724
0.0,106.72123635403786,62.74567966030245,21.207014009544014,-21.223312603784763,55.00000000020916,22,32.30767248763133
0.0,106.97081826968956,62.82859903975124,20.851295376994113,-20.953781870778283,55.00000000020908,23,31.97246491420749
0.0,106.82429909370137,62.981728740345496,20.7164265863196,-21.017963447809464,55.00000000020958,24,32.46685537475185
0.0,106.94076329112022,63.10904074491834,21.461051655207825,-21.4224360459131,55.00000000041556,25,32.29034806688096
0.0,106.82429800419926,62.98174222800921,20.320708871585435,-20.041956498822294,55.000000000404185,26,32.46684803794252
0.0,106.82429800424431,62.98174222809494,20.359185428826706,-19.38456333326144,55.00000000039948,27,32.466848038071
0.0,106.94076329135258,63.10904074493136,20.227664707104196,-19.59845211347852,55.00000000040266,28,32.29034806743535
0.0,106.82429800424144,62.98174222806013,21.46105165535753,-21.422436045497594,55.00000000041556,29,32.46684803811226
39.21173240350473,106.89989828311393,63.187151468735095,20.312214225097275,25.972349269495943,47.104417940350224,30,32.32139438093372
64.24641968367067,110.17184243444584,66.95562254627583,19.45707773986468,45.0878857453656,64.18055358454454,31,32.54733355006114
63.56839412147277,109.84410788748895,66.59180457523264,19.17311978931914,44.18639210854043,62.53631861661335,32,32.461335821658416
47.32729653313269,108.02768235933189,64.44110003214796,21.30387781905098,29.270567699234306,48.744690986197924,33,32.76329489554435
8.55097668194315,106.94076329366455,63.10904074484701,22.94997345602211,-11.11999790904626,3.8020525154107263,34,32.29034806804275
2.7939520086147844,106.82429800416423,62.98174222801662,22.96905602160705,-17.19092997122788,0.0,35,32.46684803789119
0.0,106.94076329559904,63.109040744646975,21.452007541746756,-21.54384283506881,0.0,36,32.29034806907864
0.0,106.94076329570028,63.10904074466984,20.92172363291012,-20.885808739909486,0.0,37,32.29034806910057
