EP_dual,EP_primal,H2_GC_dual,H2_GC_primal,H2_dual,H2_primal,elec_GC_dual,elec_GC_primal,elec_dual,elec_primal,iter,ppa_Gen_VRES_Solar_dual,ppa_Gen_VRES_Solar_primal,ppa_Gen_VRES_Wind_dual,ppa_Gen_VRES_Wind_primal,ppa_cap_Gen_VRES_Solar_dual,ppa_cap_Gen_VRES_Solar_primal,ppa_cap_Gen_VRES_Wind_dual,ppa_cap_Gen_VRES_Wind_primal
Inf,0.0016635422010768096,Inf,35.32154689561394,Inf,148.45918508164186,Inf,324.44919834200937,Inf,337.1013003135642,1,Inf,455.2547550452102,Inf,1048.11375472501,Inf,44.75527869227219,Inf,115.77234012958121
89.74870584550544,38.86318013830561,33.01238959555069,60.59815669928862,50.27261735653896,128.58013640060054,78.92415922195894,430.87512855550915,225.57337340870382,306.7023742053338,2,80.07795695146532,255.61352759051275,94.71828975803939,526.7575354734197,3.3488635376983855,14.918426820908607,8.66279389518807,38.59078425749026
74.82352285041569,52.27279456769805,18.811386984160578,60.47552070092725,18.04508446762825,52.907896201926256,45.58569896012361,207.8596132642384,196.767371986601,200.30582837408787,3,86.92455417014162,139.1728462717807,170.98527696900615,322.3513142031055,1.1721022587096406,4.972809356376985,3.031978284349458,12.863595394204125
116.74842847989494,16.72184187719319,56.90629785473982,53.00965069517339,38.452401315291986,40.06915830932908,64.77687188512112,149.94424166453555,162.14260293424599,139.64107748191157,4,56.076571879985266,87.19329800760572,84.33379972539248,148.38420333716434,0.41023798788849797,1.657585778085604,1.0611776665891093,4.287984842512756
105.23307783172085,32.69634585244443,59.95944691190471,41.836110349442954,33.64416021416831,88.92567010591779,61.712903048672594,198.63870537464658,107.15651228828806,84.2084021869938,5,41.097631324601316,64.25303739102813,61.899279903130186,118.48144088219527,0.14358103902935818,0.5525286205621214,0.37142753749259555,1.4293298168791324
49.53678964132811,38.316701245666124,28.655851911453045,42.72887856477597,10.527401123067508,92.4534935124569,34.581759322474376,126.41131904201988,85.49585302189688,60.310895251649896,6,38.61474549842056,57.14542434726636,41.25393789589061,99.090116133473,0.050253551351679714,0.1841748590182064,0.12999996135961303,0.47644243904005634
37.11468133788731,44.722604312763714,19.028071144643793,37.41831006271566,10.09919149355753,81.96589058648236,39.29080451764243,84.3607926896613,52.932941479658126,58.178328600057476,7,33.57827047744303,69.41129147925298,41.42519750887609,86.4064281093527,0.017588600947058417,0.061391263287241316,0.04549989822115001,0.15881392918787185
51.56187898419772,46.4615716668076,13.620612795692205,32.421715944758574,10.5119539700713,69.53756624400846,27.73092553447826,90.12651089353179,36.467940756066724,42.33206948765893,8,39.884952500753144,66.16471178121014,41.75315353720147,89.33944959828273,0.006155938806626818,0.020463873647074138,0.01592482049124048,0.052938715928334545
108.96171534598653,15.326850175410058,21.6051654060283,52.49325626318635,8.36904520134491,82.05187483538501,18.86173013401927,72.33794997336744,25.842587672723283,45.408695510617946,9,40.94368080687952,73.19509462202055,45.43003676834293,71.78257316979342,0.0021546973715082366,0.006820658391909262,0.005573854977991007,0.01764591568507967
95.59873335554467,8.650617149607099,40.015708525485614,22.54449398285722,11.80506305409834,38.739428466543465,27.198260998406752,55.20535071915184,37.049373624013896,46.700472555193485,10,39.94903856370884,65.64873077368262,46.35168162913506,75.55807708055758,0.0007539921308914821,0.0022738364031411606,0.0019507678261287925,0.005882139913595097
89.74116559613164,5.415312011259877,21.999910347922807,19.65512767125666,10.777858717774732,44.65662848863238,24.008807326374235,65.34615523629978,43.517475423501686,52.96506283802114,11,37.913781553682156,64.20859325216362,45.33933065256348,60.164512456522694,0.00026396097171309,0.0007578631359876908,0.000682768701758406,0.0019608816901097725
80.74537277185097,7.82923705268754,22.670472202393352,18.02709111640994,12.844557189273555,60.880418648944975,24.502884826244404,62.87226162797299,57.06698384815266,49.15342290237651,12,36.00473921160225,54.137074502475556,41.97548912172209,60.43053104091807,9.240171508618823e-5,0.00025245493223735593,0.00023889269486056426,0.0006542158368318951
63.747947805801296,11.698884735537364,19.235410685505784,15.118275894186208,10.683678073738172,62.57478571859942,29.188419432260567,63.00773980336834,44.942055944949146,39.806791386512565,13,32.93992366904064,53.814737093382405,40.90502139487223,63.89951031856517,3.224336377756434e-5,8.450771554890935e-5,8.354347311903657e-5,0.00021903579185789113
