Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,64.88673118303063,-4.318520094893832,-5.313214351252701,4.318368546458195,82.93018349320492,123.22769160728438,9.078975888186168e-11,12239.359999999999,11015.423999999999,281.0847458682684,374.7796611576809,0.0,7.220587871081819e-9,-5.985283505596639e6,-32250.68799755528,25511.98414969063,0.0
2,2,1,1,64.88673118303063,-4.318520094886982,-5.313214351249647,4.318368649156257,82.93018349320485,123.22769160728387,9.078975888186793e-11,12514.160000000002,11262.744,281.0847458682684,374.77966115768083,0.0,7.220587871081694e-9,-6.115367400798632e6,-32278.408804543258,25511.984149690747,0.0
3,3,1,1,64.88673118303063,-4.318520094871018,-5.313214351239798,4.318403078826223,82.93018349320485,123.22769160728387,9.078975888188561e-11,12890.18,11363.166555562455,281.0847458682684,374.77966115768083,0.0,7.220587871081651e-9,-6.293060575816005e6,-32280.54357450521,25511.984149690747,0.0
4,4,1,1,64.88673118303063,21.42319108030649,8.778992923043928,4.318403078760694,82.93018349317771,123.22769160713534,1.2906029207896773e-10,13376.999999999998,11363.166555677695,281.08474586829095,374.77966115771096,0.0,6.94204363899847e-9,-6.17824181166874e6,-32280.543575249816,25511.98414972437,0.0
5,5,1,1,64.88673118303063,78.29025920295297,46.30021344405602,4.318403078747733,82.93018349148714,123.22769159949081,584.9798728377116,13961.980000000001,11363.166555704876,281.0847458697064,374.7796611595982,0.0,-900.2317982400345,-5.644231859913055e6,-32280.54357539709,25511.984151368008,0.0
6,6,1,1,64.88673118303063,81.36168800188567,48.59010690530384,4.318403078745277,82.93018334486474,123.22768112202591,1168.707441262183,14565.04,11363.166555715712,290.7509619144963,387.6679492193181,0.0,-3593.341260438916,-5.832308272033015e6,-32280.543575425007,26389.318103006037,0.0
7,7,1,1,64.88673118303063,81.36168800402204,48.59010690695531,4.318403078742003,82.93018334493522,123.22768112217935,1168.7074416770454,15134.98,11363.16655572118,575.7209617070574,767.6279489427328,0.0,-3593.3412629356753,-6.049747954792386e6,-32280.54357546221,52253.940956915176,0.0
8,8,1,1,64.88673118303063,81.36168800414588,48.59010690705766,4.31840307873832,82.93018334500243,123.2276811222728,1168.7074417018414,15560.66,11363.166555723888,788.5609616946601,1051.41461559287,0.0,-3593.3412630804087,-6.211620761396907e6,-32280.543575504053,71571.856288057,0.0
9,9,1,1,64.88673118303063,81.361688005295,48.59010690792558,4.3184030787400935,82.93018334582398,123.22768112342123,1168.7074419213732,15739.66,11363.166555724789,878.0609615849158,1170.7479487798773,0.0,-3593.3412644233613,-6.2795535726260785e6,-32280.543575483913,79695.11047010994,0.0
10,10,1,1,64.88673118303063,81.36168802763103,48.59010690701431,4.3184030787386725,82.93018334500238,123.22768116936194,1168.7074416913865,15500.98,11363.166555723668,724.475962314303,965.9679497523937,0.0,-3593.3412905276928,-6.188953624916952e6,-32280.543575500065,65755.33402081727,0.0
11,11,1,1,64.88673118303063,-4.318520094823497,-5.3132143512249455,4.318403078740936,82.93018349320471,123.22769160728387,9.078975888193442e-11,15075.220000000001,11363.166555722855,281.0847458682683,374.7796611576807,0.0,7.220587871081218e-9,-7.318634817943386e6,-32280.54357547433,25511.98414969069,0.0
12,12,1,1,64.88673118303063,-4.318520094875013,-5.313214351250745,4.318403078743013,82.93018349320478,123.22769160728387,9.07897588818822e-11,14486.16,11363.166555716234,281.0847458682683,374.7796611576808,0.0,7.2205878710817426e-9,-7.043327733625574e6,-32280.543575450734,25511.984149690717,0.0
13,13,1,1,64.88673118303063,89.53001090636786,54.716347389482046,4.318403078754353,89.05641408941213,131.39601945193462,2040.5436011459103,13917.980000000001,11363.166555693713,886.4999987053449,1181.9999982737804,0.0,-16899.631400181912,-5.4707753897048915e6,-32280.543575321877,80461.0323720377,0.0
14,14,1,1,64.88673118303063,-4.3185200947787115,-5.313214351193019,4.318403078754946,82.93018349320485,123.22769160728387,9.078975888197753e-11,13567.039999999999,11363.166555690537,281.0847458682684,374.77966115768083,0.0,7.220587871080581e-9,-6.6120288169146655e6,-32280.543575315132,25511.984149690747,0.0
15,15,1,1,64.88673118303063,-4.318520094839392,-5.3132143512239995,4.318403078751999,82.93018349320492,123.22769160728456,9.078975888191756e-11,13674.740000000002,11363.16655569579,281.0847458682684,374.7796611576809,0.0,7.220587871081321e-9,-6.662676496897205e6,-32280.543575348624,25511.98414969058,0.0
16,16,1,1,64.88673118303063,101.82466621724836,63.93733657502872,4.318403078755282,98.27740494729086,143.69067540291005,3374.4249065912913,14279.44,11363.166555688027,886.4999987433761,1181.9999983244827,0.0,-49604.864464427985,-5.430842779838775e6,-32280.543575311305,80461.03106896176,0.0
17,17,1,1,64.88673118303063,83.48228285777901,50.18054874249789,4.318403078741291,84.52061743634799,125.34829237078104,1433.9593192405105,15233.18,11363.166555720309,886.4999987373842,1181.9999983165014,0.0,-6393.257728946526,-6.0548271422760375e6,-32280.5435754703,80461.03078846674,0.0
18,18,1,1,64.88673118303063,87.81474537763553,53.42989697880049,4.318403078735939,87.76996463201134,129.6807543722312,1868.5032044327095,16369.58,11363.166555727175,886.4999987128252,1181.9999982837548,0.0,-13547.119319516903,-6.412345563640665e6,-32280.54357553112,80461.03160722605,0.0
19,19,1,1,64.88673118303063,113.99965521256762,73.06858033221953,4.318403078746204,107.40864715342292,155.865663636294,6264.855187034763,17341.88,11363.16655571003,886.4999987113746,1181.9999982817972,0.0,-108283.68521396548,-6.318045656844278e6,-32280.54357541447,80461.03228480846,0.0
20,20,1,1,64.88673118303063,127.2753272162142,83.02533637756551,4.948355060792387,117.36539539241609,169.14132674320203,9416.595512400778,17841.4,10103.285193386282,933.7596362900424,1118.9871465616454,0.0,-212374.30889313063,-6.252035534554636e6,-25519.116591816397,69959.38400740057,0.0
21,21,1,1,64.88673118303063,132.53236686780284,90.91089446036551,6.348464736560852,117.3653947821612,179.65546633076877,10664.654181791084,17561.72,7303.065763235493,1569.9999999999661,270.666639398979,0.0,-265158.1620878265,-6.067846170432369e6,-13333.709780133933,-87927.93475188233,0.0
22,22,1,1,64.88673118303063,146.9599394950474,112.55224958697391,8.481100402236285,117.36539619447801,208.51060985493862,14089.862721149488,16721.66,3037.7972233800824,1569.999999999991,270.6666390918736,0.0,-443731.6620547122,-5.553898466698746e6,-2307.0559880858054,-133230.50973860716,0.0
23,23,1,1,64.88673118303063,139.38341566968222,101.18746433684868,8.208299734136189,117.3653960138255,193.35756242464592,12291.14174205323,15468.539999999999,3583.3982025403143,1569.9999999999852,270.6666391314964,0.0,-343793.66069332487,-5.279117397212394e6,-3210.1898426950975,-109440.22531729349,0.0
24,24,1,1,64.88673118303063,134.83354981821438,94.36266544660991,8.271534385820011,117.3653960557221,184.25783066823416,11210.97096264995,14261.900000000001,3456.9289819301293,1569.9999999999766,270.66663912322264,0.0,-290328.02273071953,-4.953715156335109e6,-2987.5933794013436,-95153.6464493575,0.0
