AgentID,Slot,Role,Unit,Existing_MW,Capacity_MW,Investment_MW
Green_Coalition,VRES_solar,Solar,MW,25881.0,25881.000000000004,3.637978807091713e-12
Green_Coalition,VRES_wind,Wind,MW,11782.0,14623.693194726313,2841.693194726313
Green_Coalition,H2,Electrolyzer,MW_H2,533.3333333333334,1264.284037511588,730.9507041782546
Green_Coalition,EP,EP plant,MW_EP,400.0,948.213028134055,548.213028134055
