iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Green_Coalition,cap_dual_Green_Coalition
1,22370.775526070465,Inf,0.0,Inf,1214.5442474424058,Inf,78.22509398966241,Inf,95045.81186377835,Inf,0.0,Inf,0.0,Inf
2,57628.966923151966,25633.934258843918,0.0,0.0,332.34361252844894,71.03125389740349,47045.96373796855,35202.25226400585,17950.35337832055,188853.0086574269,0.0,Inf,0.0,Inf
3,90409.11439721852,44519.45043596568,0.0,0.0,2783.250120791277,739.3946410965713,29662.764946185605,13606.418009074803,18656.695988113825,3291.2574456116313,0.0,Inf,0.0,Inf
4,127767.70052599513,42928.475390793144,0.0,0.0,1083.1407657584891,215.96181336905235,24571.907683006517,4219.931426628221,19687.42356911441,3860.355483165211,0.0,Inf,0.0,Inf
5,148291.29435946472,61250.146134319846,0.0,0.0,13877.137156622035,3317.2471528893293,22909.03034316803,1526.5347639072374,21081.14880758963,7647.834333876686,0.0,Inf,0.0,Inf
6,117260.34926941848,48424.562778125735,0.0,0.0,8275.344021366656,1523.699160769153,18985.199879511125,4264.114474611467,12546.511319642548,24757.688274871452,0.0,Inf,0.0,Inf
7,129246.28747376535,51240.55974646014,0.0,0.0,8625.909507345666,134.81299674508236,8849.404380146902,6422.817676983783,7805.871800568439,44998.222161294856,0.0,Inf,0.0,Inf
8,103327.11929959171,46229.675541700555,0.0,0.0,4136.331529753503,1346.1149666821739,917.900324314735,4872.01125611269,12927.891792724082,38705.67885367542,0.0,Inf,0.0,Inf
9,83848.31637450184,40872.805644628286,0.0,0.0,3970.2103284266746,68.30221916273912,6549.488191338506,2411.308984485072,12271.858163407223,22430.160898495447,0.0,Inf,0.0,Inf
10,73878.47129925858,36945.79334592118,0.0,0.0,842.0258900032884,1041.373858114056,8905.613040402108,4096.734270231163,6153.198252038698,12542.483144114198,0.0,Inf,0.0,Inf
11,71090.59818699019,37432.013403087534,0.0,0.0,1661.6089178809764,302.86384073552864,9070.005461763581,4356.777505439106,5853.535660792019,11189.136263929851,0.0,Inf,0.0,Inf
12,74385.20053927583,38643.01286608225,0.0,0.0,880.1221434527193,831.8033779724539,9015.547242586841,2577.658569751294,7963.097065014077,7902.66008543503,0.0,Inf,0.0,Inf
13,52529.62611098245,34699.65089847131,0.0,0.0,1289.4739917724596,707.9918706742247,9876.08335621738,1112.7647800556745,7225.712401969808,6914.1962715938225,0.0,Inf,0.0,Inf
14,36250.06395519722,27402.08564801339,0.0,0.0,1062.3273782711306,800.3153969658065,11403.542540756263,2010.51110219028,4293.654730621249,8662.235026422091,0.0,Inf,0.0,Inf
15,27303.664609033298,24462.68407912599,0.0,0.0,1722.8258887254221,258.1132436164493,12793.465018921092,1349.3413479918675,2621.6173684481105,6971.252128855788,0.0,Inf,0.0,Inf
16,24151.2148492747,22493.08692205265,0.0,0.0,2744.649436587225,407.56438751506056,12838.236665269984,1315.4477460486185,1945.004015724941,4370.273511879932,0.0,Inf,0.0,Inf
17,23819.235299381307,22494.297246095914,0.0,0.0,3286.7812283578464,224.7771480285175,11607.515133051129,1224.776979046708,2751.852898123454,3065.793894391536,0.0,Inf,0.0,Inf
18,24018.363372850676,21931.95007355867,0.0,0.0,3504.9336695257575,97.32245587784756,10215.98593628594,1324.4397861123425,3241.6109875626016,2771.1730901955066,0.0,Inf,0.0,Inf
19,24327.236048659135,22539.2116245283,0.0,0.0,3519.680968812809,21.15600487798729,8786.134580858077,1321.1600253712768,4029.1911080696163,1959.4801391762837,0.0,Inf,0.0,Inf
20,23636.2031545199,21204.119323642713,0.0,0.0,3404.8703392806447,55.44799653742819,7553.772791638523,1391.1587541746862,4194.583160463686,1629.5651616346006,0.0,Inf,0.0,Inf
21,24679.760561330502,22447.989295948344,0.0,0.0,3202.9713013005435,103.50334778361284,6394.923071424696,1363.3417599306263,4298.418861271691,1467.6490030224163,0.0,Inf,0.0,Inf
22,16161.598302585497,19239.639834724334,0.0,0.0,2961.0589451076303,125.0108960655756,5325.545091761271,1269.024580664809,4289.851578232936,1711.2932370324563,0.0,Inf,0.0,Inf
23,10177.926623113095,18650.98775764897,0.0,0.0,2696.062307583433,143.53529752221053,4419.292526772422,1201.3146110595346,4115.881279831995,1709.411819561847,0.0,Inf,0.0,Inf
24,7424.284965341387,16963.960628241282,0.0,0.0,2426.7916608728096,153.32813798355053,3694.478235703303,1194.809731575616,3741.216949059201,1585.3931131648558,0.0,Inf,0.0,Inf
25,6468.914573325163,16863.033560013784,0.0,0.0,2163.3739990642425,157.5265738795557,3108.117030537642,1219.562725755555,3251.234130975491,1404.1523189235925,0.0,Inf,0.0,Inf
26,4019.5602703138943,15480.665209560264,0.0,0.0,1912.2818136758353,158.03473270327456,2611.401527141809,1232.967289567597,2744.66258424727,1209.904590728231,0.0,Inf,0.0,Inf
27,2269.23122652277,15078.551955147159,0.0,0.0,1677.6540259009112,155.1127575447481,2173.6407411236128,1210.6500718706,2280.8139665900985,1047.1222978270898,0.0,Inf,0.0,Inf
28,2143.2188187714382,14412.330632901261,0.0,0.0,1461.6874699104965,150.02305678570673,1781.8057145649773,1145.928602601604,1886.7129137846214,910.0061783619911,0.0,Inf,0.0,Inf
29,2209.5460096362626,13936.443534246882,0.0,0.0,1265.4486614471293,143.36679787611624,1436.535302895392,1048.4858785779913,1556.9679951010103,811.1731811563665,0.0,Inf,0.0,Inf
30,1292.5871463431436,13766.909436516022,0.0,0.0,1089.022784020829,135.5319120520993,1140.5789583571132,926.8151641854124,1287.3623219492808,727.4219115364084,0.0,Inf,0.0,Inf
31,2277.8896321740694,13308.713123072006,0.0,0.0,931.8986383583482,126.97445151184559,846.2740355993129,647.5395898840104,1033.256747810257,629.2582210334973,0.0,Inf,0.0,Inf
32,783.4419594305825,13185.90767951529,0.0,0.0,793.1949021982812,117.9973562650193,619.2706753854185,379.4363213458804,778.5108747044605,700.8356055246842,0.0,Inf,0.0,Inf
33,1169.6791698715308,13140.629480888345,0.0,0.0,671.8878658521825,108.7957615055091,524.8955138371031,236.44241759584685,698.8354904661144,666.4197536860397,0.0,Inf,0.0,Inf
34,493.6623599987932,13114.83589929155,0.0,0.0,566.5966214867149,99.60668495984162,455.5266134464661,205.24783414847417,681.1406975426305,543.7916686606083,0.0,Inf,0.0,Inf
35,564.0146037972429,13105.100620651847,0.0,0.0,475.968661550941,90.56682642330371,395.7423859525812,194.6460962769508,613.9226084505369,612.2260338676566,0.0,Inf,0.0,Inf
36,307.72012833882127,13073.674614961072,0.0,0.0,398.60529387467744,81.79725685882273,342.4835297417804,185.7787719556999,530.2484186057587,770.5839300609807,0.0,Inf,0.0,Inf
37,270.745736697502,13052.165897150107,0.0,0.0,333.13553920094984,73.39420792815234,278.9535134038446,134.0137727822865,499.23084059988474,821.1843218042663,0.0,Inf,0.0,Inf
38,209.9276294931506,13034.065012740408,0.0,0.0,275.59487136797907,63.5748080933892,212.31718509360363,86.96288295881523,502.69373759408575,805.8651466701208,0.0,Inf,0.0,Inf
39,115.8373471791134,13017.54817041607,0.0,0.0,205.9092267748113,50.781187061162214,162.03392410450977,68.27759959338262,493.99945996347583,757.8385882979844,0.0,Inf,0.0,Inf
40,115.37600979582302,12995.267476049803,0.0,0.0,151.4935861937284,75.8525737365057,132.69820746942347,42.946622150182,459.1846711568929,704.5541598254986,0.0,Inf,0.0,Inf
41,396.7898890669848,12966.481629092277,0.0,0.0,133.46447685465904,80.73292228699135,117.10796169272325,24.843768608107315,409.5779495131114,670.8330104970611,0.0,Inf,0.0,Inf
42,554.5487546717937,12937.192130798714,0.0,0.0,119.70648415885753,67.20544861473067,106.3865485729552,59.67567927715852,361.55442466299587,661.0964485365059,0.0,Inf,0.0,Inf
43,555.6262459394161,12909.164404793004,0.0,0.0,105.29917429687558,53.4930858147136,95.01343358071315,112.79976487061961,326.5610365902841,667.4118209977878,0.0,Inf,0.0,Inf
44,688.4276515834106,12874.107731297221,0.0,0.0,107.63976212162939,45.767087040288395,108.73555783355611,175.521765872042,309.17828510543035,667.949157993017,0.0,Inf,0.0,Inf
45,1038.810299970976,12823.313054249207,0.0,0.0,113.30319273089685,42.29836650597927,124.91331452453618,220.0198762809711,306.4794247982242,688.4689065640046,0.0,Inf,0.0,Inf
46,1556.2576739848948,12755.82720343804,0.0,0.0,113.01807690640334,41.34193547916467,129.479794239816,256.475447758929,302.9391151576417,704.5979195422318,0.0,Inf,0.0,Inf
47,1818.7352610045084,12677.615087789018,0.0,0.0,108.11581117857055,42.55608406948892,130.098276505702,296.32498743534836,296.95163905249467,704.3924236550803,0.0,Inf,0.0,Inf
48,2412.941860908137,12560.586479497468,0.0,0.0,100.40637664270108,44.34136738285813,136.22332318789168,333.5313441901013,285.3624234299004,704.396573653506,0.0,Inf,0.0,Inf
