case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
green_social_planner,1,0.06666666666666667,4.321679406493219e10,-4.321679406493219e10,5.484425208334895e10,-1.1627458018416756e10
green_social_planner,2,0.06666666666666667,4.012364110579135e10,-4.012364110579135e10,5.478609962463422e10,-1.466245851884287e10
green_social_planner,3,0.06666666666666667,3.720090417533822e10,-3.720090417533822e10,5.478132543898843e10,-1.758042126365021e10
green_social_planner,4,0.06666666666666667,4.3265885975232086e10,-4.3265885975232086e10,5.576252590889549e10,-1.2496639933663403e10
green_social_planner,5,0.06666666666666667,3.964506876859869e10,-3.964506876859869e10,5.576252964006649e10,-1.61174608714678e10
green_social_planner,6,0.06666666666666667,3.610372810981064e10,-3.610372810981064e10,5.572933890281906e10,-1.9625610793008423e10
green_social_planner,7,0.06666666666666667,4.294912536744043e10,-4.294912536744043e10,5.497552330211161e10,-1.2026397934671185e10
green_social_planner,8,0.06666666666666667,3.957328108846034e10,-3.957328108846034e10,5.493105006765857e10,-1.5357768979198223e10
green_social_planner,9,0.06666666666666667,3.635280120483595e10,-3.635280120483595e10,5.4926284661828445e10,-1.8573483456992496e10
green_social_planner,10,0.06666666666666667,4.298637586032158e10,-4.298637586032158e10,5.479593010548113e10,-1.1809554245159555e10
green_social_planner,11,0.06666666666666667,3.974042562311923e10,-3.974042562311923e10,5.474472061311937e10,-1.5004294990000143e10
green_social_planner,12,0.06666666666666667,3.6652229885814804e10,-3.6652229885814804e10,5.473974663175651e10,-1.8087516745941704e10
green_social_planner,13,0.06666666666666667,4.330270368233104e10,-4.330270368233104e10,5.491748677335588e10,-1.1614783091024857e10
green_social_planner,14,0.06666666666666667,4.011694406969454e10,-4.011694406969454e10,5.485196423025641e10,-1.473502016056187e10
green_social_planner,15,0.06666666666666667,3.711483827303213e10,-3.711483827303213e10,5.484868991091674e10,-1.7733851637884613e10
