iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Green_Coalition,cap_dual_Green_Coalition
1,22370.77552607545,Inf,0.0,Inf,1214.5442474431109,Inf,78.22509396264108,Inf,95045.81186377082,Inf,0.0,Inf,0.0,Inf
2,57628.31500222401,25634.798691932298,0.0,0.0,332.370883715629,71.0379223962479,47045.96381195922,35202.25235964505,17950.56326964142,188853.5927040003,0.0,Inf,0.0,Inf
3,90405.96566273339,44519.818468602665,0.0,0.0,2784.8100241604034,739.7067795602463,29663.060448765315,13606.415092180343,18656.921196130214,3297.5085493045754,0.0,Inf,0.0,Inf
4,127752.34659201647,42934.1811718415,0.0,0.0,1081.896595436909,216.81126427342275,24575.721797985567,4223.189019459729,19686.775351739292,3893.2352467585165,0.0,Inf,0.0,Inf
5,148286.05150047716,61249.19652893602,0.0,0.0,13875.505181064918,3317.089651032497,22913.79675193924,1531.2315745100454,21080.319686204155,7663.70618798903,0.0,Inf,0.0,Inf
6,117234.07212308224,48488.584933821905,0.0,0.0,8252.021264933224,1535.9019377380616,19086.080277402958,4253.825610549697,12438.818193795516,25094.38330024706,0.0,Inf,0.0,Inf
7,129160.78456203405,51235.09704102967,0.0,0.0,8643.598111729649,145.45348013888577,9029.508339612903,6408.544627732151,7837.18757296897,45001.280975800364,0.0,Inf,0.0,Inf
8,103239.0345880593,46193.92198428598,0.0,0.0,4152.816618226827,1347.412183771081,1521.5028704296421,4844.895759753731,12958.083202201513,38683.11911386001,0.0,Inf,0.0,Inf
9,83770.12880148181,40852.25797275557,0.0,0.0,3973.810832532736,71.36068083029886,6533.495555563122,2488.05053897135,12277.23154455101,22489.42602114987,0.0,Inf,0.0,Inf
10,73795.8006105494,36924.13190509856,0.0,0.0,907.9110167458512,1051.2140434755665,8862.365224118856,4105.958247621543,6306.189351053018,12574.294909988472,0.0,Inf,0.0,Inf
11,71074.47271334434,37337.29250752522,0.0,0.0,1519.2965339738287,400.2554233731554,8909.434135077618,4218.911122488518,6183.955171851219,11415.89418955885,0.0,Inf,0.0,Inf
12,74460.12663013226,38667.82449422955,0.0,0.0,1142.1480676763374,884.9920162347836,9122.18461479706,2622.4087849365887,7924.518706205953,8424.118029680965,0.0,Inf,0.0,Inf
13,52609.61756796372,34752.378145991286,0.0,0.0,1154.6749128685408,805.8203910917401,10302.425198665534,1285.0997689769079,6850.012209587686,8007.817864262082,0.0,Inf,0.0,Inf
14,36345.829439545516,27410.684006512667,0.0,0.0,1266.3056375479373,863.8949200338308,12073.84099763315,2116.0818552329306,3716.5558635072643,9283.893584635238,0.0,Inf,0.0,Inf
15,27454.2045266483,24489.427073075545,0.0,0.0,1766.9981624887373,292.14086278196476,13382.471228818804,1501.3126260526199,2217.2237621365016,7232.535639648716,0.0,Inf,0.0,Inf
16,24384.820145887028,22508.431584614056,0.0,0.0,2748.0807096834196,432.22521341683523,13311.029704742998,1408.680241196008,1670.2927942898004,4530.872737882413,0.0,Inf,0.0,Inf
17,24181.94363473504,22558.418016783533,0.0,0.0,3238.571450664719,227.02800625973862,11955.577951809983,1354.8491189325825,2479.227066743717,3197.2631562926645,0.0,Inf,0.0,Inf
18,24507.478574730187,22003.901358558167,0.0,0.0,3410.519874486909,116.68854515219796,10497.369594645583,1596.3833426253964,2919.711851295245,2804.3473286283165,0.0,Inf,0.0,Inf
19,24980.16985277634,22671.376474976973,0.0,0.0,3379.8962392514522,58.81935123649579,9151.291182733561,1762.6888510290883,3393.5215285860677,1858.54550414396,0.0,Inf,0.0,Inf
20,24350.45908468598,21311.40261082568,0.0,0.0,3218.0913740789924,92.80735212120454,7996.634289753733,2027.5522338622227,3168.7350582508448,1376.4916195308806,0.0,Inf,0.0,Inf
21,25500.06165348054,22628.157492439426,0.0,0.0,2974.772340117672,137.30383036048707,6941.9062795808095,2220.6581853630955,2851.246285600608,1058.2795527770274,0.0,Inf,0.0,Inf
22,16713.933411355454,19305.4821095738,0.0,0.0,2691.5781868165354,165.4545883528163,6009.8587674302435,2361.896877911731,2333.5532065523535,1198.0286259648112,0.0,Inf,0.0,Inf
23,10201.984816080578,18669.415800829447,0.0,0.0,2393.3092895250593,183.06329910730167,5133.536331130708,2351.047622171506,1915.5983665215285,1129.9120939935533,0.0,Inf,0.0,Inf
24,6836.553405797607,16905.924512927926,0.0,0.0,2098.065532911405,190.68846753680512,4320.585137976862,2208.215343189128,1596.501421034399,980.0501604770421,0.0,Inf,0.0,Inf
25,5426.2517711095325,16771.826265810563,0.0,0.0,1818.063377576911,190.93150053520154,3513.822563602958,1773.5032132562337,1341.2296090955156,882.6090609798339,0.0,Inf,0.0,Inf
26,2530.4777404942574,15533.953243720098,0.0,0.0,1561.0534572967188,185.57617166849533,2824.7791500582443,1324.7829315030494,1187.9119945218376,929.416209313029,0.0,Inf,0.0,Inf
27,2127.867619672295,15001.777482575184,0.0,0.0,1331.3185582052959,176.17920893785785,2393.243029175268,949.7116576758485,1131.8362900980314,884.0344005443012,0.0,Inf,0.0,Inf
28,2199.4568138047907,14511.614966931718,0.0,0.0,1130.6023154371974,164.0291424384786,2108.4050266301792,813.4951253408854,1061.8848345360268,948.3888362779331,0.0,Inf,0.0,Inf
29,2399.738829014958,14012.271965735707,0.0,0.0,958.7966346414199,150.17841400900664,1873.997634755714,776.8870174711459,969.0818775846972,1050.1135705375978,0.0,Inf,0.0,Inf
30,1478.3350824586962,13694.13898143693,0.0,0.0,814.4518561026437,135.47994489302417,1656.3100143909248,730.5012115963909,900.8575119716826,1001.6404801769224,0.0,Inf,0.0,Inf
31,2465.231336771246,13264.855298573213,0.0,0.0,661.2100388495796,95.40744932613093,1457.9064101193248,686.3918535011295,843.1137001199628,862.2109496474385,0.0,Inf,0.0,Inf
32,717.1372963972602,13222.077445916011,0.0,0.0,540.1387399383075,91.41294981988281,1283.1619807822335,652.9256554129961,787.5186251085147,700.7135467411096,0.0,Inf,0.0,Inf
33,1318.6223560744202,13164.148820164282,0.0,0.0,478.65758614083376,99.6336223834266,1132.0809228493174,631.7026568847928,729.0940510832172,623.9784642154584,0.0,Inf,0.0,Inf
34,403.039285424017,13134.903120188796,0.0,0.0,435.5317560452088,91.27072852348253,997.5585946699221,611.5074611057449,660.1509845973751,692.3041701715068,0.0,Inf,0.0,Inf
35,674.6182707389303,13114.29688534822,0.0,0.0,394.45272592795385,77.70736045296195,871.8527803939961,577.6833122927267,590.3139569688165,806.6780467390529,0.0,Inf,0.0,Inf
36,246.42222133273017,13090.055802956054,0.0,0.0,356.23175456453725,67.18459341949985,723.5108254170281,446.458220156102,597.559748007772,814.0795282150692,0.0,Inf,0.0,Inf
37,348.8032001953149,13071.516257726154,0.0,0.0,321.7159929638699,61.87103287317182,594.5708972600296,353.0722614270686,604.6389674873876,786.5265558901215,0.0,Inf,0.0,Inf
38,169.43912138512923,13051.489126926102,0.0,0.0,290.2733507040395,60.610481023344924,504.97226629015455,326.07142379945515,571.763941142341,752.5914815404703,0.0,Inf,0.0,Inf
39,255.73618064181426,13029.66749534226,0.0,0.0,270.2150689865226,62.214251081173,449.27870796902397,335.84054700765927,517.3503050251429,737.4742386099854,0.0,Inf,0.0,Inf
40,294.3439431425295,13006.885855107032,0.0,0.0,261.2147666404942,70.54604475300728,405.30664095994285,353.5207151428494,466.94875357889777,772.1084905238807,0.0,Inf,0.0,Inf
41,366.13463313005116,12981.431043445467,0.0,0.0,246.60056545500504,58.780899723012965,338.47506477212124,243.17852715317179,451.2441203747499,826.6950805464484,0.0,Inf,0.0,Inf
