iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Green_Coalition
1,1.0,103.82049016031853,-0.682639298407157,0.5,84.18498092299777,0.0,0.3,6.999067830992385,-0.6129833657700331,1.0,116.95551017179265,-0.5343136117875175,3.0,210.69438728075806,-0.7744305831369442,0.1
2,1.0,104.19985863074042,-0.3793684704218958,0.5,84.18498092299777,0.0,0.3,7.070876372388486,-0.23936180465367582,1.0,118.17596192362895,-1.2204517518363012,3.0,212.3939809884171,-0.5665312358863318,0.1
3,0.9523809523809523,104.00428963280618,0.24158523274228852,0.5,84.18498092299777,0.0,0.3,7.025397763757467,0.1783474848275314,1.05,119.93427558617508,-1.9700993417883454,2.9702970297029703,212.8812315052119,-0.19298942037756273,0.10500000000000001
4,0.9070294784580498,103.82714206900155,0.22307845698986797,0.5,84.18498092299777,0.0,0.3,6.989614567606458,0.13623908681137492,1.1025,121.98815486437509,-2.5784485128326087,2.9408881482207625,213.46622457148914,-0.22720404603442101,0.11025000000000001
5,0.863837598531476,103.78909868458051,0.04883752739394654,0.5,84.18498092299777,0.0,0.3,7.010380465390588,-0.07676019725807363,1.1576250000000001,124.12981226444664,-3.012487987551391,2.9117704437829333,214.78360627965583,-0.5017196613699821,0.11576250000000002
6,0.8227024747918819,103.83861744634487,-0.0648031881994059,0.5,84.18498092299777,0.0,0.2857142857142857,7.049576792293692,-0.1521318127903227,1.2155062500000002,126.25572777146677,-3.3505268353087923,2.8829410334484487,216.61901786256834,-0.685436312960708,0.12155062500000002
7,0.7835261664684589,103.86988661164949,-0.0505490802813076,0.5,84.18498092299777,0.0,0.27210884353741494,7.066756999058453,-0.08237082748570022,1.2762815625000004,128.33117233996575,-3.664966545726908,2.854397062820246,218.05183244973696,-0.6358081389083486,0.12762815625000004
8,0.7462153966366274,103.83674184324053,0.06618846845495042,0.5,84.18498092299777,0.0,0.2591512795594428,7.070975787627638,-0.021238414979436293,1.3400956406250004,130.31073442712562,-3.9166952278565432,2.8261357057626197,219.06977570624863,-0.5367377068762306,0.13400956406250006
9,0.7106813301301212,103.75657201346229,0.19776465591352937,0.5,84.18498092299777,0.0,0.24681074243756454,7.077771899887918,-0.03487762951328096,1.4071004226562505,132.14791826189207,-4.0728183613666085,2.7981541641214056,220.07853500608545,-0.5215671584532158,0.14071004226562506
10,0.6768393620286869,103.65299505254158,0.26828116260718715,0.5,84.18498092299777,0.0,0.23505784994053763,7.093166493086271,-0.08295526065375843,1.477455443789063,134.11782357592287,-4.159091540677488,2.770449667446936,221.13162312531205,-0.5339142940531848,0.14774554437890633
11,0.644608916217797,103.55116953410744,0.26886589709697767,0.5,84.18498092299777,0.0,0.22386461899098822,7.108555480019964,-0.10243682739967978,1.5513282159785162,136.19155803291704,-4.169816776405909,2.743019472719739,222.2644652356632,-0.5631970461053144,0.15513282159785166
12,0.6139132535407591,103.46367462337147,0.23551249682714412,0.5,84.18498092299777,0.0,0.2132043990390364,7.119545733514829,-0.09036997695303756,1.628894626777442,138.3384626500799,-4.111376785005304,2.7158608640789494,223.46550042054358,-0.585505344233765,0.16288946267774426
13,0.5846792890864372,103.38732113439522,0.21579896148198452,0.5,84.18498092299777,0.0,0.20305180860860608,7.126569993579598,-0.06064658394684283,1.7103393581163142,140.59629744512458,-3.9979758564181513,2.6889711525534152,224.4693162567689,-0.581475771975877,0.17103393581163148
14,0.5568374181775592,103.31116405842265,0.2260060284209591,0.5,84.18498092299777,0.0,0.1933826748653391,7.129692780506925,-0.028309839852096324,1.79585632602213,142.91313704415109,-3.7933022551453215,2.6623476757954605,225.5638965611078,-0.6403930118764221,0.17958563260221305
15,0.5303213506452944,103.22980740198608,0.2535082827251268,0.5,84.18498092299777,0.0,0.1841739760622277,7.131460366298271,-0.016825379199565553,1.8856491423232367,145.2386195875762,-3.5205299372061347,2.6359877978172874,226.78079284625807,-0.7190745099656864,0.18856491423232372
16,0.5050679529955184,103.14475016594862,0.27829129815481274,0.5,84.18498092299777,0.0,0.17540378672593115,7.133951931795898,-0.024902673029245183,1.9799315994393987,147.53338148626716,-3.2122257901596263,2.6098889087299875,228.07443412930218,-0.7720680290161258,0.1979931599439399
17,0.48101709809096993,103.06028313465806,0.29017827204863095,0.5,84.18498092299777,0.0,0.16705122545326775,7.137144933675909,-0.03350905122470262,2.0789281794113688,149.76907580512767,-2.8937055260453044,2.584048424485136,229.3662514043081,-0.7786892230016144,0.2078928179411369
18,0.45811152199139993,102.97731858370429,0.2992674793074332,0.5,84.18498092299777,0.0,0.15909640519358834,7.1396553796102795,-0.02766324537271323,2.1828745883819374,151.92191001779204,-2.5764752399868303,2.5584637866189466,230.59182203869125,-0.7461442497486378,0.21828745883819375
19,0.43629668761085705,102.89958585657017,0.2944151555547154,0.5,84.18498092299777,0.0,0.15152038589865555,7.140410903149643,-0.00874157232645355,2.2920183178010345,153.9660555634872,-2.2620420698239982,2.533132461998957,231.7231150347189,-0.6956341947877445,0.22920183178010345
20,0.4155206548674829,102.83281392485205,0.2655458370968371,0.5,84.18498092299777,0.0,0.14430512942729098,7.1390449084451095,0.016595099860367665,2.406619233691086,155.87165259713257,-1.9498150003676291,2.508051942573225,232.76303848453148,-0.6458453975524306,0.24066192336910863
21,0.3957339570166504,102.77968823676929,0.2218397790480158,0.5,84.18498092299777,0.0,0.13743345659741998,7.136210709844567,0.036153507093625685,2.5269501953756404,157.60957421864325,-1.6442430000708765,2.4832197451220046,233.72702137927652,-0.6046692717263117,0.25269501953756407
22,0.37688948287300034,102.73803830116972,0.18261585847487827,0.5,84.18498092299777,0.0,0.13088900628325711,7.132669191906526,0.04743499928483832,2.6532977051444226,159.1583847694211,-1.3549010833168358,2.4586334110118857,234.62292934125452,-0.5675881782081076,0.2653297705144423
23,0.3589423646409527,102.70637012526893,0.14579294295345163,0.5,84.18498092299777,0.0,0.12465619646024487,7.1291069837586365,0.05009772958912237,2.785962590401644,160.51000200007496,-1.0932927983756786,2.434290505952362,235.44593210068695,-0.5266142542294872,0.27859625904016444
24,0.3418498710866216,102.68777431621788,0.08989133518379132,0.5,84.18498092299777,0.0,0.1187201871049951,7.1260268758744285,0.04548351072039439,2.9252607199217264,161.67376619585238,-0.8704047163435493,2.410188619754814,236.17921912062155,-0.47389997984860116,0.2925260719921727
25,0.3418498710866216,102.68945579065448,-0.009562558314128063,0.5,84.18498092299777,0.0,0.11306684486190009,7.118864498281449,0.10781950603733272,3.071523755917813,162.6842655956568,-0.6988207309585943,2.386325366093875,236.7010507322015,-0.4007241580384913,0.3071523755917813
26,0.3418498710866216,102.70795850421884,-0.12379420849143659,0.5,84.18498092299777,0.0,0.1076827093922858,7.107484733526645,0.17463266581545053,3.225099943713704,163.54907686461806,-0.5529992426493131,2.3626983822711636,237.0916919365598,-0.3564475541653106,0.3225099943713704
27,0.35894236464095275,102.7414019598099,-0.250707786261678,0.5,84.18498092299777,0.0,0.10255496132598647,7.090210416849488,0.2702372113580331,3.386354940899389,164.268708941219,-0.4254878722713258,2.33930532898135,237.47258664923373,-0.3510297354310881,0.3386354940899389
28,0.3768894828730004,102.78220170610608,-0.342693537576028,0.5,84.18498092299777,0.0,0.10255496132598647,7.0746180349572105,0.2368206190934802,3.5556726879443583,164.86908859176495,-0.3282283674147563,2.3161438900805447,237.85232363445513,-0.35346241024210906,0.3555672687944359
29,0.39573395701665043,102.82423507807484,-0.3955801204941964,0.5,84.18498092299777,0.0,0.10255496132598647,7.065354063897408,0.13660513159273435,3.7334563223415764,165.3974648051238,-0.2670956919705727,2.2932117723569747,238.2178411373803,-0.34362906333517684,0.37334563223415773
30,0.41552065486748296,102.86531160264852,-0.4331374087491293,0.5,84.18498092299777,0.0,0.09767139173903473,7.057436835933982,0.12413465540599691,3.9201291384586554,165.906076794055,-0.2377298380130662,2.2705067053039354,238.55277778873204,-0.31802829283986833,0.3920129138458656
31,0.4362966876108571,102.90487080845269,-0.46738131038788056,0.5,84.18498092299777,0.0,0.09302037308479498,7.0473114598671005,0.1722498986211809,4.116135595381588,166.4349843329747,-0.22858637208611807,2.2480264408949857,238.85186115427763,-0.28682481148360545,0.4116135595381589
32,0.4581115219914,102.94205984917102,-0.4923007858307241,0.5,84.18498092299777,0.0,0.09302037308479498,7.0384732360907885,0.1542698098129196,4.116135595381588,166.98184803465608,-0.22946288558891795,2.225768753361372,239.12487321180186,-0.26444031117260586,0.4321942375150669
33,0.48101709809097,102.97977112039855,-0.5226601629089582,0.5,84.18498092299777,0.0,0.08859083150932855,7.029431184278299,0.1716038106103195,4.116135595381588,167.54920171693365,-0.23112664014217368,2.2037314389716554,239.38927192611894,-0.2586583746919901,0.4538039493908203
34,0.5050679529955185,103.02147002102785,-0.5504064734514776,0.5,84.18498092299777,0.0,0.08859083150932855,7.022533521702948,0.13378407165009543,4.116135595381588,168.1130839627343,-0.22971245799367296,2.1819123158135203,239.66316682062765,-0.2706278679055036,0.47649414686036135
35,0.5303213506452945,103.06769760583262,-0.5811267042588278,0.5,84.18498092299777,0.0,0.0843722204850748,7.015524686851389,0.14698990771273077,4.116135595381588,168.66987407885185,-0.22682328999086693,2.160309223577743,239.95517586311524,-0.2914112092758918,0.5003188542033794
36,0.5568374181775593,103.11778150867356,-0.5996232916585886,0.5,84.18498092299777,0.0,0.0843722204850748,7.009827370754959,0.12163745490324064,3.9201291384586554,169.22071151150146,-0.22875555442104967,2.1389200233443,240.26384972372443,-0.3111223284319127,0.5253347969135485
