period,time_step,SOLAR,LOAD_E,WIND
169,1,0.0,0.513819,0.070251
169,2,0.0,0.525021,0.049019
169,3,0.0,0.530326,0.146728
169,4,0.0,0.550355,0.126749
169,5,0.0,0.575506,0.113648
169,6,0.0,0.600177,0.146728
169,7,0.002941,0.623597,0.207498
169,8,0.050005,0.639923,0.19277
169,9,0.123541,0.64613,0.113648
169,10,0.129424,0.64033,0.126749
169,11,0.208844,0.624424,0.584291
169,12,0.233846,0.603282,0.505383
169,13,0.245612,0.583847,0.200043
169,14,0.413275,0.573833,0.630602
169,15,0.279439,0.579988,0.256142
169,16,0.260319,0.605635,0.283084
169,17,0.432395,0.647878,0.380729
169,18,0.383861,0.696209,0.364016
169,19,0.250024,0.734846,0.292467
169,20,0.423571,0.749115,0.364016
169,21,0.272085,0.732692,0.230967
169,22,0.138249,0.690755,0.111141
169,23,0.035298,0.636703,0.137927
169,24,0.0,0.584944,0.185675
206,1,0.0,0.501409,0.019487
206,2,0.0,0.510837,0.020277
206,3,0.0,0.52567,0.063173
206,4,0.0,0.545086,0.005108
206,5,0.0,0.56943,0.006127
206,6,0.0,0.595618,0.030417
206,7,0.0,0.619478,0.009977
206,8,0.038239,0.636332,0.000909
206,9,0.176488,0.644046,3.0e-6
206,10,0.370624,0.647434,0.0
206,11,0.577997,0.639797,0.0
206,12,0.754485,0.625333,0.0
206,13,0.928031,0.61169,4.6e-5
206,14,1.0,0.60622,8.0e-5
206,15,1.0,0.608108,3.0e-6
206,16,0.805961,0.636926,0.002155
206,17,0.858907,0.682897,0.013893
206,18,0.775075,0.733288,0.051959
206,19,0.733895,0.775151,0.02938
206,20,0.532405,0.787222,0.02192
206,21,0.304441,0.764136,0.024548
206,22,0.111776,0.713805,0.043475
206,23,0.011766,0.653898,0.099159
206,24,0.0,0.596088,0.113648
281,1,0.0,0.558053,0.001247
281,2,0.0,0.57602,0.000639
281,3,0.0,0.596663,0.0
281,4,0.0,0.626603,1.6e-5
281,5,0.0,0.652802,0.000127
281,6,0.0,0.679089,0.000722
281,7,0.0,0.704998,0.004496
281,8,0.0,0.723514,0.008554
281,9,0.0,0.729189,0.022774
281,10,0.070595,0.711332,0.059819
281,11,0.245612,0.678089,0.047591
281,12,0.417688,0.643219,0.01155
281,13,0.576527,0.614609,0.015844
281,14,0.676536,0.598105,0.017969
281,15,0.691244,0.602712,0.016532
281,16,0.564761,0.629364,0.015174
