Iter,Year,Price,Balance
1,2021,699.4476121985213,1612.972380318197
2,2021,698.8971375816732,1607.3858811960963
3,2021,698.3485604246297,1601.8452985670704
4,2021,697.8018558178778,1596.3774517157417
5,2021,697.256994540234,1590.9949307198124
6,2021,696.7139478338471,1585.696382649823
7,2021,696.1726873987767,1580.4804704051471
8,2021,695.6331853913998,1575.3458615409868
9,2021,695.0954144172163,1570.291244615775
10,2021,694.5593475234297,1565.3153298567079
11,2021,694.0249581914594,1560.4168493532509
12,2021,693.492220329895,1555.5945557683913
13,2021,692.961108267615,1550.8472218572513
14,2021,692.4315967469151,1546.1736404437447
15,2021,691.9036609167833,1541.5726239843614
16,2021,691.3772763262607,1537.043004326836
17,2021,690.8524189179255,1532.5836323381382
18,2021,690.3290650215008,1528.193377560136
19,2021,689.8071913475571,1523.8711279158454
20,2021,689.2867749813357,1519.615789366506
21,2021,688.7677933766604,1515.4262856517796
22,2021,688.2502243499498,1511.3015579951548
23,2021,687.734046074321,1507.24056483626
24,2021,687.2192370736162,1503.2422820576035
25,2021,686.7057762190511,1499.3056953303021
26,2021,686.1936427184042,1495.4298218885542
27,2021,685.6828161148835,1491.6136822806332
28,2021,685.1732762805001,1487.8563163993217
29,2021,684.6650034105638,1484.156780213986
30,2021,684.157978018547,1480.51414468875
31,2021,683.6521809308911,1476.927495956372
32,2021,683.1475932818917,1473.3959350779915
33,2021,682.6441965087191,1469.9185776638265
34,2021,682.1419723466264,1466.4945533108098
35,2021,681.6409028232748,1463.123008186083
36,2021,681.140970258899,1459.8030879775883
37,2021,680.642157252109,1456.5339798275777
38,2021,680.1444466827763,1453.3148624508833
39,2021,679.6478217048909,1450.1449354247043
40,2021,679.1522657374577,1447.0234249051366
41,2021,678.6577624836648,1443.9495010760593
42,2021,678.164295878056,1440.9224883772545
43,2021,677.6717663132985,1438.186329092105
44,2021,677.1801451839434,1435.5336977164518
45,2021,676.6894117829953,1432.9415307682775
46,2021,676.1995610387512,1430.3641731932862
47,2021,675.7105759586856,1427.836433791124
48,2021,675.2224072566013,1425.4526100862536
49,2021,674.7350388092162,1423.1158663646397
50,2021,674.2484605192966,1420.8086065649782
51,2021,673.7626633974185,1418.5275958840461
52,2021,673.277639817594,1416.2688530879
53,2021,672.7933764854721,1414.0489297956374
54,2021,672.309841639858,1411.921749193436
55,2021,671.827006053983,1409.87991075473
56,2021,671.3448567446068,1407.8759833791132
57,2021,670.8633828962965,1405.9036370659578
58,2021,670.3825750156543,1403.9590114753
59,2021,669.9024247462463,1402.0387866711917
60,2021,669.4229218387213,1400.1484899727382
61,2021,668.9440333823809,1398.3542925138256
62,2021,668.4657245812069,1396.6616994284407
63,2021,667.9879860277537,1394.9965760839011
64,2021,667.5108086306738,1393.3579994726872
65,2021,667.0341830593787,1391.746668181674
66,2021,666.5580832162026,1390.211542074622
67,2021,666.0824658853206,1388.8026061748208
68,2021,665.607320806076,1387.423631394171
69,2021,665.1326143398587,1386.1428813551265
70,2021,664.658323475592,1384.929323658283
71,2021,664.1844342848743,1383.7564368952383
72,2021,663.7109329586194,1382.623872665178
73,2021,663.237813041223,1381.5101587974789
74,2021,662.765068173016,1380.4150151642639
75,2021,662.2926920989617,1379.3381362386156
76,2021,661.8206786647171,1378.2792279937216
77,2021,661.349021836016,1377.2379398074472
78,2021,660.8777156840796,1376.2139636549261
79,2021,660.406754375304,1375.2070216242382
80,2021,659.9361321697386,1374.216840250908
81,2021,659.4658434195837,1373.243150452416
82,2021,658.9958825677164,1372.2856874520085
83,2021,658.5262441462401,1371.3441907117171
84,2021,658.0569227750549,1370.418403860077
85,2021,657.5879131604536,1369.5080746359433
86,2021,657.119210093737,1368.612954812736
87,2021,656.6508084498489,1367.732800153052
88,2021,656.1827031860155,1366.8673703934858
89,2021,655.7148893395402,1366.0164317079743
90,2021,655.2473620299961,1365.179743868373
91,2021,654.7801139387825,1364.364426344346
92,2021,654.3131369725817,1363.572741306635
93,2021,653.8464265607191,1362.7944026383175
94,2021,653.3799782100793,1362.0291838677158
95,2021,652.9137874991626,1361.2768758771438
96,2021,652.4478500773523,1360.5372716869763
97,2021,651.9821616636424,1359.8101680323011
98,2021,651.5167180459534,1359.0953636515517
99,2021,651.051515079304,1358.392662616172
100,2021,650.5865447150809,1357.7134635313894
101,2021,650.1218008988484,1357.0519433994925
102,2021,649.6572797690329,1356.4016990611215
103,2021,649.1929775268344,1355.762547219615
104,2021,648.7288904337174,1355.134311901604
105,2021,648.265014810898,1354.5168186318936
106,2021,647.801347038348,1353.9098958462173
107,2021,647.3378835538447,1353.3133747499014
108,2021,646.8746208520504,1352.7270892392896
109,2021,646.4115554836085,1352.1508758506727
110,2021,645.9486840542525,1351.584573719343
111,2021,645.486003223932,1351.028024535617
112,2021,645.0235097059498,1350.4810725086152
113,2021,644.5612002661118,1349.943564326792
114,2021,644.0990717218928,1349.4153491191892
115,2021,643.637120941596,1348.8962784670875
116,2021,643.1753448434715,1348.386206522254
117,2021,642.7137403954956,1347.8849880902549
118,2021,642.2523046134924,1347.3924834493605
119,2021,641.7910345609662,1346.9085533769155
120,2021,641.3299238307254,1346.443332302627
121,2021,640.8689680538688,1345.9908684215338
122,2021,640.4081645107516,1345.5463459021846
123,2021,639.9475105248468,1345.109638841967
124,2021,639.4870034625578,1344.6806218839554
125,2021,639.0266407319317,1344.2591734284001
126,2021,638.5664197823361,1343.8451728191185
127,2021,638.1063381037475,1343.4385014787672
128,2021,637.6463932261132,1343.0390426916333
129,2021,637.1865827187141,1342.6466816057828
