Iter,PrimalRes,DualRes
76,3164.146165495653,3164.146165495653
77,3114.833264302919,3114.833264302919
78,3066.3098069466896,3066.3098069466896
79,3018.563170853915,3018.563170853915
80,2971.580909092368,2971.580909092368
81,2925.350802180961,2925.350802180961
82,2879.8608188088583,2879.8608188088583
83,2835.099116193626,2835.099116193626
84,2791.054043381768,2791.054043381768
85,2747.7141361843187,2747.7141361843187
86,2705.0681126489117,2705.0681126489117
87,2663.1048711645262,2663.1048711645262
88,2621.8134892103667,2621.8134892103667
89,2581.183275536554,2581.183275536554
90,2541.203487289401,2541.203487289401
91,2502.024532110751,2502.024532110751
92,2463.6893114544373,2463.6893114544373
93,2425.965713061349,2425.965713061349
94,2388.843699883487,2388.843699883487
95,2352.313718264397,2352.313718264397
96,2316.36630854231,2316.36630854231
97,2280.9921921440355,2280.9921921440355
98,2246.182205546988,2246.182205546988
99,2211.9273780707194,2211.9273780707194
100,2178.472568255602,2178.472568255602
101,2145.683718835861,2145.683718835861
102,2113.4151760253726,2113.4151760253726
103,2081.6586071151883,2081.6586071151883
104,2050.405909290527,2050.405909290527
105,2019.6490799571784,2019.6490799571784
106,1989.3802460303768,1989.3802460303768
107,1959.5916603327137,1959.5916603327137
108,1930.2756986605973,1930.2756986605973
109,1901.4248580435292,1901.4248580435292
110,1873.0317632557835,1873.0317632557835
111,1845.0891292704773,1845.0891292704773
112,1817.5898135070129,1817.5898135070129
113,1790.5267779687833,1790.5267779687833
114,1763.8930960426005,1763.8930960426005
115,1737.6819526244217,1737.6819526244217
116,1711.8866452147713,1711.8866452147713
117,1686.500540653612,1686.500540653612
118,1661.5171450494272,1661.5171450494272
119,1636.9301371104575,1636.9301371104575
120,1612.9579866737204,1612.9579866737204
121,1589.4653476077765,1589.4653476077765
122,1566.3428467605863,1566.3428467605863
123,1543.5846516410566,1543.5846516410566
124,1521.184990590088,1521.184990590088
125,1499.1382210768734,1499.1382210768734
126,1477.4387680788923,1477.4387680788923
127,1456.0811486776347,1456.0811486776347
128,1435.0599662856257,1435.0599662856257
129,1414.3699091551034,1414.3699091551034
130,1394.0057498192082,1394.0057498192082
131,1373.9623431547361,1373.9623431547361
132,1354.2346253458927,1354.2346253458927
133,1334.8176124342144,1334.8176124342144
134,1315.7064078844396,1315.7064078844396
135,1296.8961654223922,1296.8961654223922
136,1278.3821421622315,1278.3821421622315
137,1260.1596611204704,1260.1596611204704
138,1242.224119162548,1242.224119162548
139,1224.570985606415,1224.570985606415
140,1207.1957995028542,1207.1957995028542
141,1190.0941755936165,1190.0941755936165
142,1173.2617925288941,1173.2617925288941
143,1156.6943992706356,1156.6943992706356
144,1140.3877823349567,1140.3877823349567
145,1124.3378798231388,1124.3378798231388
146,1108.5405890353695,1108.5405890353695
147,1092.9919706736837,1092.9919706736837
148,1077.6880512677026,1077.6880512677026
149,1062.6249985936902,1062.6249985936902
150,1047.7990463499063,1047.7990463499063
151,1033.2085658326432,1033.2085658326432
152,1019.062506464019,1019.062506464019
153,1005.1431079480972,1005.1431079480972
154,991.4406560986281,991.4406560986281
155,977.9516858478755,977.9516858478755
156,964.6728596651146,964.6728596651146
157,951.6008709185326,951.6008709185326
158,938.732467617664,938.732467617664
159,926.0644948024692,926.0644948024692
160,913.5937978725506,913.5937978725506
161,901.3172880342308,901.3172880342308
162,889.2319069372479,889.2319069372479
163,877.4045055211855,877.4045055211855
164,865.9326056552127,865.9326056552127
165,854.636694749438,854.636694749438
166,843.5140684643329,843.5140684643329
167,832.5620920197152,832.5620920197152
168,821.778046922962,821.778046922962
169,811.1593360234046,811.1593360234046
170,800.7034529946013,800.7034529946013
171,790.4078477135963,790.4078477135963
172,780.2700376115617,780.2700376115617
173,770.2875788276724,770.2875788276724
174,760.4580650768066,760.4580650768066
175,750.779127456638,750.779127456638
176,741.2484334735418,741.2484334735418
177,731.8636870882128,731.8636870882128
178,722.6226326580781,722.6226326580781
179,713.5230347865954,713.5230347865954
180,704.5627072679672,704.5627072679672
181,695.7394929845013,695.7394929845013
182,687.0512675427944,687.0512675427944
183,678.4959365918357,678.4959365918357
184,670.0714569312986,670.0714569312986
185,661.7757832232492,661.7757832232492
186,653.6069273325611,653.6069273325611
187,645.562924814094,645.562924814094
188,637.6418437551483,637.6418437551483
189,629.8417752529549,629.8417752529549
190,622.1608480585901,622.1608480585901
191,614.5972160335341,614.5972160335341
192,607.1490619283686,607.1490619283686
193,599.8145969454199,599.8145969454199
194,592.5920599880292,592.5920599880292
195,585.4797169599979,585.4797169599979
196,578.4758607860031,578.4758607860031
197,571.578810766543,571.578810766543
198,564.7869122464854,564.7869122464854
199,558.0985361517778,558.0985361517778
200,551.512078536276,551.512078536276
201,545.0259603837685,545.0259603837685
202,538.6386221228959,538.6386221228959
203,532.3485429514831,532.3485429514831
204,526.154211133121,526.154211133121
205,520.0541431366846,520.0541431366846
206,514.04687849311,514.04687849311
207,508.1309790375444,508.1309790375444
208,502.30502908664585,502.30502908664585
209,496.56763484086787,496.56763484086787
210,490.91742410319966,490.91742410319966
211,485.3530454085658,485.3530454085658
212,479.8731693340351,479.8731693340351
213,474.47648614700574,474.47648614700574
214,469.1617067494017,469.1617067494017
215,463.92756186099905,463.92756186099905
216,458.7728024500957,458.7728024500957
217,453.6961983193787,453.6961983193787
218,448.6965387057262,448.6965387057262
219,443.7726313176627,443.7726313176627
220,438.92330257637786,438.92330257637786
221,434.1473973043021,434.1473973043021
222,429.4437856808663,429.4437856808663
223,424.81132484049067,424.81132484049067
224,420.24893572062956,420.24893572062956
225,415.7555255618672,415.7555255618672
226,411.33002582778226,411.33002582778226
227,406.9713907985051,406.9713907985051
228,402.6785724550118,402.6785724550118
229,398.4505570543979,398.4505570543979
230,394.2863427349639,394.2863427349639
231,390.1849406702386,390.1849406702386
232,386.1453780799302,386.1453780799302
233,382.16669735567666,382.16669735567666
234,378.24795569965863,378.24795569965863
235,374.3882249170356,374.3882249170356
236,370.58659088869626,370.58659088869626
237,366.84215420901364,366.84215420901364
238,363.1540289009181,363.1540289009181
239,359.5213428748648,359.5213428748648
240,355.9432375592278,355.9432375592278
241,352.4188675600435,352.4188675600435
242,348.9474007669114,348.9474007669114
243,345.52801775982425,345.52801775982425
244,342.1599116962652,342.1599116962652
245,338.8422886537446,338.8422886537446
246,335.5743665394348,335.5743665394348
247,332.35537559303884,332.35537559303884
248,329.1845587119751,329.1845587119751
249,326.0611686913917,326.0611686913917
250,322.98447089160254,322.98447089160254
251,319.95374251558496,319.95374251558496
252,316.9682715418903,316.9682715418903
253,314.0273570278523,314.0273570278523
254,311.1303089608318,311.1303089608318
255,308.2764478153658,308.2764478153658
256,305.4651047584148,305.4651047584148
257,302.6956211796487,302.6956211796487
258,299.9673489956922,299.9673489956922
259,297.27964972357404,297.27964972357404
260,294.6318951023359,294.6318951023359
261,292.02346651302287,292.02346651302287
262,289.45375479664835,289.45375479664835
263,286.9221603979713,286.9221603979713
264,284.428092960301,284.428092960301
265,281.97097156347354,281.97097156347354
266,279.5502238318104,279.5502238318104
267,277.1652865716169,277.1652865716169
268,274.8156052263439,274.8156052263439
269,272.5006338153753,272.5006338153753
270,270.2198349962291,270.2198349962291
271,267.97267942186227,267.97267942186227
272,265.7586462527943,265.7586462527943
273,263.5772225664796,263.5772225664796
274,261.4278176855305,261.4278176855305
275,259.3101069298873,259.3101069298873
276,257.22352035473887,257.22352035473887
277,255.16756963725948,255.16756963725948
278,253.1417804821549,253.1417804821549
279,251.1456859772543,251.1456859772543
280,249.17882640477637,249.17882640477637
281,247.24074917427424,247.24074917427424
282,245.33100875186756,245.33100875186756
283,243.44916645021112,243.44916645021112
284,241.59479045794887,241.59479045794887
285,239.76745560992913,239.76745560992913
286,237.966743346994,237.966743346994
287,236.19224163010222,236.19224163010222
288,234.44354470369672,234.44354470369672
289,232.7202532080546,232.7202532080546
290,231.02197392160997,231.02197392160997
291,229.34831983894037,229.34831983894037
292,227.6989098145059,227.6989098145059
293,226.07336865788966,226.07336865788966
294,224.4713271155706,224.4713271155706
295,222.8924230709381,222.8924230709381
296,221.33629522780393,221.33629522780393
297,219.8025927741146,219.8025927741146
298,218.29096890165783,218.29096890165783
299,216.80108158812345,216.80108158812345
300,215.33259496873507,215.33259496873507
301,213.8851778812632,213.8851778812632
302,212.45850427465666,212.45850427465666
303,211.052253342903,211.052253342903
304,209.66610914101057,209.66610914101057
305,208.29976060238732,208.29976060238732
306,206.95290159858632,206.95290159858632
307,205.6252307096347,205.6252307096347
308,204.31645112550723,204.31645112550723
309,203.0262706752319,203.0262706752319
310,201.75440180072655,201.75440180072655
311,200.50056133082762,200.50056133082762
312,199.26447042677592,199.26447042677592
313,198.04585470620168,198.04585470620168
314,196.84444396393064,196.84444396393064
315,195.65997121396867,195.65997121396867
316,194.49217664977732,194.49217664977732
317,193.3408014105553,193.3408014105553
318,192.20559166766452,192.20559166766452
319,191.0862975676646,191.0862975676646
320,189.9826731248677,189.9826731248677
321,188.89447617450514,188.89447617450514
322,187.82146829185785,187.82146829185785
323,186.7634147791341,186.7634147791341
324,185.72008456243657,185.72008456243657
325,184.69125115915267,184.69125115915267
326,183.67668852965926,183.67668852965926
327,182.6761773117596,182.6761773117596
328,181.6895003775453,181.6895003775453
329,180.7164441217874,180.7164441217874
330,179.756798130079,179.756798130079
331,178.8103553036026,178.8103553036026
332,177.87691167699177,177.87691167699177
333,176.95626669640842,176.95626669640842
334,176.04822264985705,176.04822264985705
335,175.15258497769446,175.15258497769446
336,174.2691621747117,174.2691621747117
337,173.39776571517905,173.39776571517905
338,172.53820995768183,172.53820995768183
339,171.69031217734027,171.69031217734027
340,170.85389243762802,170.85389243762802
341,170.0287736531236,170.0287736531236
342,169.21478144432876,169.21478144432876
343,168.41174415596106,168.41174415596106
344,167.61949283917966,167.61949283917966
345,166.83786107484048,166.83786107484048
346,166.06668511981206,166.06668511981206
347,165.3058037163055,165.3058037163055
348,164.55505811984585,164.55505811984585
349,163.81429208895224,163.81429208895224
350,163.08335174270633,163.08335174270633
351,162.36208566893401,162.36208566893401
352,161.6503447134928,161.6503447134928
353,160.94798210706813,160.94798210706813
354,160.25485334407222,160.25485334407222
355,159.5708162211531,159.5708162211531
356,158.89573060314706,158.89573060314706
357,158.22945856122988,158.22945856122988
358,157.5718644701019,157.5718644701019
359,156.92281464005737,156.92281464005737
360,156.28217754409252,156.28217754409252
361,155.64982364192656,155.64982364192656
362,155.0256254534288,155.0256254534288
363,154.40945743254633,154.40945743254633
364,153.80119603349885,153.80119603349885
365,153.2007196326058,153.2007196326058
366,152.60790840073514,152.60790840073514
367,152.02264446129175,152.02264446129175
368,151.44481176720547,151.44481176720547
369,150.8742960326108,150.8742960326108
370,150.31098478154763,150.31098478154763
371,149.7547672362316,149.7547672362316
372,149.20553440605363,149.20553440605363
373,148.66317893620544,148.66317893620544
374,148.12759520746295,148.12759520746295
375,147.59867913579455,147.59867913579455
376,147.07632836662833,147.07632836662833
377,146.56044202434896,146.56044202434896
378,146.05092089457958,146.05092089457958
379,145.5476673519306,145.5476673519306
380,145.0505850508489,145.0505850508489
381,144.5595793819366,144.5595793819366
382,144.07455714069692,144.07455714069692
383,143.59542643838995,143.59542643838995
384,143.12209702671953,143.12209702671953
385,142.65447988695178,142.65447988695178
386,142.1924874048782,142.1924874048782
387,141.736033371576,141.736033371576
388,141.28503288231968,141.28503288231968
389,140.8394022657767,140.8394022657767
390,140.39905909816844,140.39905909816844
391,139.96393394436927,139.96393394436927
392,139.53392690253168,139.53392690253168
393,139.1089686959458,139.1089686959458
394,138.68898206089216,138.68898206089216
395,138.2738909396221,138.2738909396221
396,137.8636205330322,137.8636205330322
397,137.4580970758352,137.4580970758352
398,137.05724804767397,137.05724804767397
399,136.66100197762808,136.66100197762808
400,136.26928858905467,136.26928858905467
401,135.88203860504746,135.88203860504746
402,135.49918393431562,135.49918393431562
403,135.12065744481424,135.12065744481424
404,134.7463930552858,134.7463930552858
405,134.37632574823874,134.37632574823874
406,134.0103911219403,134.0103911219403
407,133.64852450578564,133.64852450578564
408,133.29066103159948,133.29066103159948
409,132.9367308930714,132.9367308930714
410,132.58674384921142,132.58674384921142
411,132.24054970402267,132.24054970402267
412,131.89812392410204,131.89812392410204
413,131.5593874549868,131.5593874549868
414,131.22435420091097,131.22435420091097
415,130.3213862978928,130.3213862978928
416,121.90890059140565,121.90890059140565
417,111.94199609030511,111.94199609030511
418,101.8157948131875,101.8157948131875
419,91.59262051790756,91.59262051790756
420,80.7852682721059,80.7852682721059
421,70.12540635534242,70.12540635534242
422,59.40175449606613,59.40175449606613
423,48.66168203885445,48.66168203885445
424,37.91144562781665,37.91144562781665
425,27.291524331286382,27.291524331286382
426,24.53129513319911,24.53129513319911
427,24.51043943742156,24.51043943742156
428,24.48862795944646,24.48862795944646
429,24.378351445042398,24.378351445042398
430,25.38455959127441,25.38455959127441
431,35.29840887593673,35.29840887593673
432,44.98254938704849,44.98254938704849
433,54.4416906526003,54.4416906526003
434,63.68049329956011,63.68049329956011
435,72.70333811205455,72.70333811205455
436,81.54127969328783,81.54127969328783
437,90.25774274737796,90.25774274737796
438,98.7689354748245,98.7689354748245
439,107.15997366262764,107.15997366262764
440,115.49210993808265,115.49210993808265
441,123.62663348314254,123.62663348314254
442,131.5676153335762,131.5676153335762
443,139.31904704700173,139.31904704700173
444,146.88484371116556,146.88484371116556
445,154.2688440310858,154.2688440310858
446,161.4748117512354,161.4748117512354
447,168.6299123052113,168.6299123052113
448,175.6925037699766,175.6925037699766
449,182.5835387235893,182.5835387235893
450,189.3066117305916,189.3066117305916
451,195.86512256717742,195.86512256717742
452,202.26255639274586,202.26255639274586
453,208.50224282847103,208.50224282847103
454,214.5874562387089,214.5874562387089
455,220.521407068185,220.521407068185
456,226.30724041983376,226.30724041983376
457,231.94803626146222,231.94803626146222
458,237.44681726330782,237.44681726330782
459,242.80654287047673,242.80654287047673
460,248.03013486668624,248.03013486668624
461,253.12031990998548,253.12031990998548
462,258.080014070204,258.080014070204
463,262.9118848758644,262.9118848758644
464,267.7236321128912,267.7236321128912
465,272.50846863074366,272.50846863074366
466,277.16910922467923,277.16910922467923
467,281.70816312337865,281.70816312337865
468,286.12817568883656,286.12817568883656
469,290.43171193098715,290.43171193098715
470,294.6209976533246,294.6209976533246
471,298.8526882917058,298.8526882917058
472,303.0070284075646,303.0070284075646
473,307.050407904062,307.050407904062
474,310.98523520299295,310.98523520299295
475,314.81361321809436,314.81361321809436
476,318.53793837729063,318.53793837729063
477,322.16036931157487,322.16036931157487
478,325.68304951214395,325.68304951214395
479,329.1080827594278,329.1080827594278
480,332.43753092964744,332.43753092964744
481,335.6734131641224,335.6734131641224
482,338.8177081446347,338.8177081446347
483,341.87235353906544,341.87235353906544
484,344.8392479326185,344.8392479326185
485,347.72025124419997,347.72025124419997
486,350.5171848989439,350.5171848989439
487,353.23183358175174,353.23183358175174
488,355.86594514841,355.86594514841
489,358.4212323915326,358.4212323915326
490,360.8993740515798,360.8993740515798
491,363.3020157335259,363.3020157335259
492,365.6307296803061,365.6307296803061
493,367.8871457514397,367.8871457514397
494,370.07278650384706,370.07278650384706
495,372.18916480436474,372.18916480436474
496,374.2377633214064,374.2377633214064
497,376.22006606414925,376.22006606414925
498,378.1373824932007,378.1373824932007
499,379.9912270661971,379.9912270661971
500,381.84698524344003,381.84698524344003
501,383.6714301323209,383.6714301323209
502,385.4345386596524,385.4345386596524
503,387.1375175794319,387.1375175794319
504,388.78168509869283,388.78168509869283
505,390.3683043290721,390.3683043290721
506,391.8986166820032,391.8986166820032
507,393.3738389399705,393.3738389399705
508,394.7951635990439,394.7951635990439
509,396.1638312392415,396.1638312392415
510,397.4807495967807,397.4807495967807
511,398.74818152429816,398.74818152429816
512,400.0493853019225,400.0493853019225
513,401.3102154591352,401.3102154591352
514,402.5219277064716,402.5219277064716
515,403.6855668181952,403.6855668181952
516,404.80219257144654,404.80219257144654
517,405.8728292081123,405.8728292081123
518,406.8984807921188,406.8984807921188
519,407.8801581442385,407.8801581442385
520,408.818756806123,408.818756806123
521,409.7152704842283,409.7152704842283
522,410.5706183058992,410.5706183058992
523,411.38570405259725,411.38570405259725
524,412.16141414059985,412.16141414059985
525,412.89861712718994,412.89861712718994
526,413.5981632156727,413.5981632156727
527,414.26088569927833,414.26088569927833
528,414.8876005845832,414.8876005845832
529,415.47910706309995,415.47910706309995
530,416.03618782853755,416.03618782853755
531,416.55960967047304,416.55960967047304
532,417.0501233102477,417.0501233102477
533,417.5084640618643,417.5084640618643
534,417.9353520876921,417.9353520876921
535,418.3314926866942,418.3314926866942
536,418.69757641801334,418.69757641801334
537,419.034279975579,419.034279975579
538,419.3422657834908,419.3422657834908
539,419.6221825062139,419.6221825062139
540,419.87466564160786,419.87466564160786
541,420.1003375062801,420.1003375062801
542,420.2998075057776,420.2998075057776
543,420.47367251109245,420.47367251109245
544,420.6225168565825,420.6225168565825
545,420.74691309876926,420.74691309876926
546,420.8474217531448,420.8474217531448
547,420.9245918553397,420.9245918553397
548,420.9789612105942,420.9789612105942
549,421.01105643796564,421.01105643796564
550,421.02139367573545,421.02139367573545
551,421.0104788944882,421.0104788944882
552,420.97877948107543,420.97877948107543
553,420.9268216489081,420.9268216489081
554,420.8550616636512,420.8550616636512
555,420.76396383695374,420.76396383695374
556,420.6539830261918,420.6539830261918
557,420.5255657072794,420.5255657072794
558,420.3791587608912,420.3791587608912
559,420.2151388139009,420.2151388139009
560,420.03399345737944,420.03399345737944
561,419.8375781954437,419.8375781954437
562,419.798995575492,419.798995575492
563,419.74558214542503,419.74558214542503
564,419.6730029562159,419.6730029562159
565,419.58155271300075,419.58155271300075
566,419.47196709427317,419.47196709427317
567,419.3443916800661,419.3443916800661
568,419.19939251437427,419.19939251437427
569,418.7912849546092,418.7912849546092
570,418.32986792251177,418.32986792251177
571,417.8570021342575,417.8570021342575
572,417.37305261618167,417.37305261618167
573,416.87837252092777,416.87837252092777
574,416.3731926087794,416.3731926087794
575,415.8578012676144,415.8578012676144
576,415.3324714920145,415.3324714920145
577,414.7974697093887,414.7974697093887
578,414.25305672138165,414.25305672138165
579,413.69948848797776,413.69948848797776
580,413.13702485938666,413.13702485938666
581,412.5658598698483,412.5658598698483
582,411.9862958103822,411.9862958103822
583,411.39858962107155,411.39858962107155
584,410.9280947050247,410.9280947050247
585,410.4986122375949,410.4986122375949
586,410.05832895632193,410.05832895632193
587,409.60704548384183,409.60704548384183
588,409.1452268040075,409.1452268040075
589,408.6731014351453,408.6731014351453
590,408.1909286400678,408.1909286400678
591,407.69898850125264,407.69898850125264
592,407.1975315035925,407.1975315035925
593,406.68681132476377,406.68681132476377
594,406.1670805686399,406.1670805686399
595,405.63857279308195,405.63857279308195
596,405.1015310361536,405.1015310361536
597,404.55618910686917,404.55618910686917
598,404.00277414032735,404.00277414032735
599,403.4415091579194,403.4415091579194
600,402.87261279268114,402.87261279268114
601,402.29630293720675,402.29630293720675
602,401.71280752580515,401.71280752580515
603,401.12222650681906,401.12222650681906
604,400.52488904407255,400.52488904407255
605,399.92094900480424,399.92094900480424
606,399.3105745662451,399.3105745662451
607,398.7511202537489,398.7511202537489
608,398.3067652210375,398.3067652210375
609,397.85305224367494,397.85305224367494
610,397.39005605294096,397.39005605294096
611,396.91799970093234,396.91799970093234
612,396.436970479509,396.436970479509
613,395.9473377472659,395.9473377472659
614,395.44930189405477,395.44930189405477
615,394.9430881229173,394.9430881229173
616,394.4289169800504,394.4289169800504
617,393.9070044378277,393.9070044378277
618,393.37755413081504,393.37755413081504
619,392.8407904913511,392.8407904913511
620,392.2969344764733,392.2969344764733
621,391.7461384474236,391.7461384474236
622,391.1886237070994,391.1886237070994
623,390.6245771439708,390.6245771439708
624,390.054183591792,390.054183591792
625,389.4776273278576,389.4776273278576
626,388.89508655124064,388.89508655124064
627,388.3067260965754,388.3067260965754
628,387.71274786021104,387.71274786021104
629,387.1132857251314,387.1132857251314
630,386.5084905536896,386.5084905536896
631,385.89860644228565,385.89860644228565
632,385.28368506771176,385.28368506771176
633,384.61816638564824,384.61816638564824
634,383.77360394878497,383.77360394878497
635,382.9281848741407,382.9281848741407
636,382.0822609312181,382.0822609312181
637,381.23612683221063,381.23612683221063
638,380.38963385813986,380.38963385813986
639,379.5428977216775,379.5428977216775
640,378.69597968453445,378.69597968453445
641,377.84891581948887,377.84891581948887
642,377.0017942522427,377.0017942522427
643,376.15464122140156,376.15464122140156
644,375.30753777415293,375.30753777415293
645,374.4605129155534,374.4605129155534
646,373.613624289942,373.613624289942
647,372.76690651209265,372.76690651209265
648,371.920423885264,371.920423885264
649,371.0742112242024,371.0742112242024
650,370.2283272555669,370.2283272555669
651,369.3827693981998,369.3827693981998
652,368.5376362980578,368.5376362980578
653,367.69325809665816,367.69325809665816
654,366.86554820559877,366.86554820559877
655,366.1095184084111,366.1095184084111
656,365.35280442595376,365.35280442595376
657,364.59495185412516,364.59495185412516
658,363.8357685167016,363.8357685167016
659,363.0755552498749,363.0755552498749
660,362.3143145975241,362.3143145975241
661,361.55211535585386,361.55211535585386
662,360.78902523463057,360.78902523463057
663,360.02511080458817,360.02511080458817
664,359.2604370858603,359.2604370858603
665,358.49508827652426,358.49508827652426
666,357.7290727070108,357.7290727070108
667,356.9624943403751,356.9624943403751
668,356.1954039109555,356.1954039109555
669,355.42786594653126,355.42786594653126
670,354.65992359710344,354.65992359710344
671,353.89163964317413,353.89163964317413
672,353.12306880155484,353.12306880155484
673,352.35426497643584,352.35426497643584
674,351.58524529565875,351.58524529565875
675,350.8161149561074,350.8161149561074
676,350.0469007057618,350.0469007057618
677,349.27767450902866,349.27767450902866
678,348.50841374868105,348.50841374868105
679,347.8140812901538,347.8140812901538
680,347.219209350279,347.219209350279
681,346.6207271657454,346.6207271657454
682,346.01881525615,346.01881525615
683,345.41353799657645,345.41353799657645
684,344.80501010513217,344.80501010513217
685,344.1933931091103,344.1933931091103
686,343.578628616664,343.578628616664
687,342.96101529028874,342.96101529028874
688,342.3406122047054,342.3406122047054
689,341.7718637809221,341.7718637809221
690,341.23064435545666,341.23064435545666
691,340.68508388589953,340.68508388589953
692,340.1353504574099,340.1353504574099
693,339.5814959850268,339.5814959850268
694,339.02371849608244,339.02371849608244
695,338.4621260938138,338.4621260938138
696,337.89684076823596,337.89684076823596
697,337.32797745811195,337.32797745811195
698,336.75566393724876,336.75566393724876
699,336.18000992246016,336.18000992246016
700,335.601127916485,335.601127916485
701,335.01914476383763,335.01914476383763
702,334.4341285234782,334.4341285234782
703,333.8462096538642,333.8462096538642
704,333.25548999601597,333.25548999601597
705,332.66206968806955,332.66206968806955
706,332.0660469023792,332.0660469023792
707,331.46751774041877,331.46751774041877
708,330.86657680325015,330.86657680325015
709,330.2633151418354,330.2633151418354
710,329.65782291721143,329.65782291721143
711,329.0501888646504,329.0501888646504
712,328.440497495445,328.440497495445
713,327.8288334848812,327.8288334848812
714,327.21527924540396,327.21527924540396
715,326.59991319310575,326.59991319310575
716,325.9828176749015,325.9828176749015
717,325.36406762957176,325.36406762957176
718,324.7437380468946,324.7437380468946
719,324.1219023644362,324.1219023644362
720,323.49863229336097,323.49863229336097
721,322.8739978959061,322.8739978959061
722,322.24806773719774,322.24806773719774
723,321.62090879304105,321.62090879304105
724,320.99258647470833,320.99258647470833
725,320.36316479092693,320.36316479092693
726,319.73270625696205,319.73270625696205
727,319.10127195298037,319.10127195298037
728,318.46892155042406,318.46892155042406
729,317.8357134091211,317.8357134091211
730,317.2017058592155,317.2017058592155
731,316.5669519397202,316.5669519397202
732,315.93150734906703,315.93150734906703
733,315.29542523699956,315.29542523699956
734,314.6587575611952,314.6587575611952
735,314.02155503376935,314.02155503376935
736,313.38386723143003,313.38386723143003
737,312.7457425256921,312.7457425256921
738,312.10722821644595,312.10722821644595
739,311.4683704666563,311.4683704666563
740,310.82921439749043,310.82921439749043
741,310.18980404577087,310.18980404577087
742,309.55018242262486,309.55018242262486
743,308.91039422926997,308.91039422926997
744,308.2704748320921,308.2704748320921
745,307.63046738902585,307.63046738902585
746,306.99041080145616,306.99041080145616
747,306.3503432880307,306.3503432880307
748,305.71030210495246,305.71030210495246
749,305.07032360616085,305.07032360616085
750,304.43044328132737,304.43044328132737
751,303.79069553061254,303.79069553061254
752,303.151114600495,303.151114600495
753,302.51173349347937,302.51173349347937
754,301.8725842942272,301.8725842942272
755,301.23369839710176,301.23369839710176
756,300.59510647001844,300.59510647001844
757,299.9568384180129,299.9568384180129
758,299.318923452272,299.318923452272
759,298.6813900393727,298.6813900393727
760,298.04426590703315,298.04426590703315
761,297.40757817785516,297.40757817785516
762,296.77135323694574,296.77135323694574
763,296.1356168400457,296.1356168400457
764,295.50039407383065,295.50039407383065
765,294.8657095389949,294.8657095389949
766,294.2315869671047,294.2315869671047
767,293.59804969641436,293.59804969641436
768,292.965120392214,292.965120392214
769,292.332821204187,292.332821204187
770,291.7011737276616,291.7011737276616
771,291.07019906357664,291.07019906357664
