Time,Elec_Price,H2_Price
1,25.57271402630163,-0.258017990190249
2,25.91337279628329,-0.05891185586994695
3,25.69259397129627,-0.18432663515620312
4,25.44717309830606,-0.3385343953668847
5,25.010943493315033,-0.6341175455059146
6,24.677610762314956,-0.8752591390956193
7,24.698589760315148,-0.8596738324271372
8,23.823133437286625,-1.54596639496652
9,22.757867379193105,-2.4611341973663987
10,21.956337017077637,-3.1853146783739006
11,21.06223274989395,-4.023721114748299
12,20.07622051460061,-5.011095847178388
13,19.610020938423663,-5.494640997274672
14,19.80649077550386,-5.281596433379997
15,19.64731694843234,-5.478044027714287
16,19.60369395740408,-5.5597986223770715
17,19.58804294338866,-5.607394035075042
18,19.561736022372273,-5.653918742176623
19,19.712584813432326,-5.500341446446867
20,19.706257832429444,-5.508210937870555
21,19.44152307831745,-5.793752546639161
22,19.40988811230343,-5.828075861230014
23,18.99563644110708,-6.279907210985584
24,19.01628244011746,-6.2572617102929255
25,13.719255702901169,-12.396327306507528
26,13.491483892263066,-12.671826167325138
27,13.2876880705976,-12.918921943781006
28,13.27503404715898,-12.934285021021827
29,13.435539936505618,-12.73960352151775
30,13.856118600523097,-12.23113692521892
31,14.488485118320591,-11.471320716529476
32,15.070901659735284,-10.775290162868433
33,15.562409226917238,-10.184621765059791
34,15.637334185758242,-10.077640716305302
35,15.943027880884241,-9.692612396588968
36,16.35927754952905,-9.184999151733548
37,16.7965062157391,-8.663879183275716
38,17.305995786830184,-8.086683306074766
39,18.2363970711617,-7.053393898254102
40,18.939359487608108,-6.299827255850314
41,19.89806568515677,-5.286654034700064
42,20.786508970925233,-4.372287132360276
43,21.82879809947275,-3.3395776859742003
44,22.473818627208612,-2.7301199424891816
45,22.879745262599837,-2.3600118314771406
46,23.08054408677477,-2.181230611163572
47,22.841783254565403,-2.3941445130176677
48,23.105519072795722,-2.159206259737688
49,12.098879072629284,-14.369011217560306
50,12.060584126423837,-14.416089607788852
51,11.78086435479616,-14.760130599228624
52,11.617694477731607,-14.961449077213356
53,11.535776540161157,-15.062943448836997
54,11.430548672391167,-15.190230683004518
55,10.429551472164556,-16.411753910205036
56,9.837477898292258,-17.090099062224777
57,9.988326753236667,-16.774911289309728
58,26.163667459402244,61.843558271202156
59,37.2189452238538,90.27041503415042
60,42.315786952040455,103.07696976274187
61,42.422573204230986,102.68629760721714
62,39.410289884729075,94.27628702780194
63,31.558277650670252,72.7933883349156
64,19.670497817134287,41.345189536107966
65,12.617026617118098,-13.55654368765201
66,11.993651144080514,-14.415749837056591
67,10.808838130777344,-15.934636511453421
68,9.56208710911053,-17.503880288220994
69,10.345635478980983,-16.53455295404802
70,12.50713676359605,-13.869423823972173
71,14.863442818085735,-11.023100062397946
72,16.51878444822688,-9.077087556971911
