iter,EP_imb_mean,EP_price_mean,EP_rho,H2_GC_imb_mean,H2_GC_price_mean,H2_GC_rho,H2_imb_mean,H2_price_mean,H2_rho,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_Offtaker_Green,cap_rho_Prod_H2_Green,elec_GC_imb_mean,elec_GC_price_mean,elec_GC_rho,elec_imb_mean,elec_price_mean,elec_rho,hpa_Prod_H2_Green_imb_mean,hpa_Prod_H2_Green_price_mean,hpa_Prod_H2_Green_rho,hpa_cap_Prod_H2_Green_imb_mean,hpa_cap_Prod_H2_Green_rho,ppa_Gen_VRES_Solar_imb_mean,ppa_Gen_VRES_Solar_price_mean,ppa_Gen_VRES_Solar_rho,ppa_Gen_VRES_Wind_imb_mean,ppa_Gen_VRES_Wind_price_mean,ppa_Gen_VRES_Wind_rho,ppa_cap_Gen_VRES_Solar_imb_mean,ppa_cap_Gen_VRES_Solar_rho,ppa_cap_Gen_VRES_Wind_imb_mean,ppa_cap_Gen_VRES_Wind_rho
1,5.562006386042884,99.86968383394124,3.0,9.842561278592143,24.76862989987256,1.0,11.506620018429908,61.8767669398873,0.5,0.1,0.1,0.1,0.1,8.866579953405445,24.493906069929842,0.3,4.4598915138027815,11.099261583802713,1.0,-11.477093206842698,65.73854660342131,0.5,39.08333414545614,0.5,7.821562606454467,51.089218696772754,0.5,59.14489525229251,35.42755237385374,0.5,48.505890889661565,0.5,111.24838527091097,0.5
2,3.6461869822293855,88.93112288725303,3.0,7.532133225516458,17.23649676286512,1.0,12.817235668166745,55.46814910580394,0.5,0.1,0.1,0.1,0.1,12.879105176787,20.63017451689375,0.3,0.3660460217079733,10.733215562094749,1.0,-9.496792082528204,70.48694264468541,0.5,26.047678068112745,0.5,9.924994965159831,46.19814529227649,0.5,32.00845638220326,25.226327233508776,0.5,16.17210040063737,0.5,37.08364317816227,0.5
3,-1.0678698086740075,91.62722982994482,2.9702970297029703,2.431111940299873,14.713686559311899,1.05,8.730151930049423,51.05942238112898,0.505,0.1,0.10500000000000001,0.1,0.10500000000000001,7.65730009343341,18.218124987462215,0.315,-3.6221459485174647,14.536468808038084,1.05,-4.936085901672242,73.07838774306339,0.525,8.682602027149844,0.525,1.507437043473798,45.768021275705884,0.525,2.5392430680039175,26.679411606251414,0.525,5.391443521388453,0.525,12.361277155781977,0.525
4,-1.5001198024643092,95.48965965170012,2.9408881482207625,-6.524237434657933,20.536704032334367,1.05,-8.720845488450847,55.507489622513354,0.51005,0.10500000000000001,0.11025000000000001,0.1,0.11025000000000001,-0.03672834738239364,18.230272888358947,0.33075000000000004,-2.7493727358519515,17.423310180682634,1.05,0.5488715136490027,72.77582232116441,0.55125,2.8935296615640773,0.55125,0.28338677631823544,45.88071728864797,0.55125,1.384047452149087,27.93336190469903,0.55125,1.7971418703124655,0.55125,4.120659615350149,0.55125
5,-2.905266810738256,103.11811364403452,2.9117704437829333,-1.2367746378370525,21.73048683779191,1.1025,-9.687378139208867,60.49794731461587,0.5151505,0.11025000000000001,0.11576250000000002,0.1,0.11576250000000002,-3.649933376142047,19.497849125725885,0.3472875000000001,-1.5264585826167962,18.949768763299435,1.0,-5.250688641869761,75.35911190775826,0.5788125000000001,0.9642631876673029,0.5788125000000001,-0.25184999541507785,46.067885371229636,0.5788125000000001,1.4220553007037817,28.495801474633698,0.5788125000000001,0.5995198060322693,0.5788125000000001,1.3735962004017068,0.5788125000000001
6,-2.1717108091674957,108.93336314061422,2.8829410334484487,2.6440752537535936,19.10175802816769,1.1025,-6.75208010232818,64.01106812977781,0.520302005,0.11576250000000002,0.12155062500000002,0.1,0.12155062500000002,-3.361177754044214,20.723508895946388,0.3646518750000001,-0.28623566194543504,19.222374155628412,0.9523809523809523,-8.313430346311906,79.00955274709689,0.6077531250000001,0.3200755362991785,0.6077531250000001,-1.653771534878202,46.976726622736926,0.6077531250000001,-2.385576017181882,30.71327729838548,0.6077531250000001,0.19982125795375794,0.6077531250000001,0.45815987494329136,0.6077531250000001
7,0.9089116320229549,106.885100834558,2.854397062820246,-0.7180292065238163,19.843931469381452,1.1025,-6.456470603414188,66.8950397140323,0.52550502505,0.12155062500000002,0.12762815625000004,0.1,0.11576250000000002,-0.2831424654633647,20.8319197484159,0.38288446875000015,0.17217829409443705,19.06620336733414,0.9070294784580498,-8.809831660983146,82.4621099815201,0.6381407812500002,0.10662971428037338,0.6381407812500002,-2.2097272174111082,48.022714105095616,0.6381407812500002,-3.605213645095577,33.410697946910325,0.6381407812500002,0.06660673521693639,0.6381407812500002,0.15271888328653915,0.6381407812500002
8,1.6412215724300097,103.11331540036878,2.8261357057626197,-1.5207425185499688,21.16761392379833,1.1025,-4.5548885204289,69.01160734284659,0.5307600753005,0.12762815625000004,0.13400956406250006,0.1,0.11025000000000001,-0.2305157996372253,20.910692619054096,0.4020286921875002,-2.143599778762835,20.64016713966837,0.863837598531476,-9.900874497679832,85.92513043885013,0.6700478203125002,0.03591328458345444,0.6700478203125002,-2.208471927965881,49.156878707297814,0.6700478203125002,-2.355188917486532,35.26240315056403,0.6700478203125002,0.022203848717531116,0.6700478203125002,0.05090543970015915,0.6700478203125002
9,-1.2695506797802247,105.56874426333738,2.7981541641214056,-0.8060606328024361,21.926405251444784,1.1576250000000001,-1.771813692187853,69.8681146046458,0.5360676760535049,0.13400956406250006,0.14071004226562506,0.1,0.11025000000000001,0.690774927949409,20.65539952616717,0.4221301267968752,-1.4267757335225462,21.773175896764958,0.9070294784580498,-9.399786512197522,89.48083783751528,0.7035502113281252,0.012430182796812517,0.7035502113281252,-1.5913261154027818,50.02821061242708,0.7035502113281252,-1.358846632546082,36.39862691622035,0.7035502113281252,0.007393722137898351,0.7035502113281252,0.017037274271686442,0.7035502113281252
10,-2.299055150545544,110.10338154773412,2.770449667446936,-1.3112631407037085,23.26137377148114,1.2155062500000002,-1.2223057073554768,70.48279793279956,0.54142835281404,0.14071004226562506,0.14774554437890633,0.1,0.11025000000000001,1.194586238891128,20.177929041966227,0.443236633136719,-0.07169743915039077,21.83475136458919,0.9523809523809523,-7.616954605931368,92.5969703422459,0.7387277218945315,0.003522324547560629,0.7387277218945315,-0.308109094856386,50.209048642377425,0.7387277218945315,0.22547907000463321,36.37679468921708,0.7387277218945315,0.0025530939666182917,0.7387277218945315,0.005679148097243569,0.7387277218945315
11,-1.0481879341777163,111.84330392337988,2.743019472719739,-2.30617360102783,25.356843505368428,1.2762815625000004,-1.7680804598579216,71.24613072271528,0.5468426363421804,0.14774554437890633,0.15513282159785166,0.1,0.11025000000000001,-0.07275767669285681,20.20388374533973,0.465398464793555,0.8716671005248234,21.06368465088262,0.9523809523809523,-5.415318815021724,94.99296090307561,0.7756641079892581,0.002598288020685402,0.7756641079892581,0.23403660535092552,50.07561735853855,0.7756641079892581,0.2242837472788712,36.33605475079982,0.7756641079892581,0.0008474505220874562,0.7756641079892581,0.0018997401554514681,0.7756641079892581
12,-0.258449803662448,112.26806581857227,2.7158608640789494,-1.920576473837138,27.244172119837863,1.3400956406250004,-0.77362253358116,71.59358655301139,0.5523110627056023,0.15513282159785166,0.16288946267774426,0.1,0.11025000000000001,-2.0212538699964453,20.983686267289894,0.48866838803323276,0.8125493856049234,20.422180764462997,1.0,-4.275290031046857,97.03871381886738,0.814447313388721,0.0009262694944958128,0.814447313388721,0.29478403917213863,49.926837377412234,0.814447313388721,0.36541274368688115,36.19112868244377,0.7756641079892581,0.00048407306886844026,0.814447313388721,0.0006280949157257965,0.814447313388721
13,-0.2942955679854291,112.76131788798337,2.6889711525534152,-1.6356281125205385,28.89970462004591,1.3400956406250004,0.9505465040038243,71.16239997357269,0.5578341733326583,0.16288946267774426,0.17103393581163148,0.1,0.11025000000000001,-2.501473767537407,22.02741165545786,0.5131018074348944,1.5172934926637969,19.126656222408776,1.05,-3.7329231078945755,98.9705182804398,0.8551696790581571,0.0013276427900379417,0.8551696790581571,0.3615301320786675,49.768899791157644,0.8551696790581571,0.33748494454662337,36.10931946945611,0.814447313388721,0.0003118843398439708,0.8551696790581571,0.00021700251747347465,0.8551696790581571
14,-0.49470041693589006,113.60687572962756,2.6623476757954605,-1.9465680375041894,30.57442250456554,1.3400956406250004,2.7262722254840726,70.10070103100912,0.5634125150659849,0.17103393581163148,0.17958563260221305,0.1,0.11576250000000002,-3.3974650921544676,23.292595165141996,0.5387568978066392,0.8911554984172848,18.3037391656425,1.1025,-2.152297099369581,100.17511829658423,0.897928163011065,0.002245990415591592,0.897928163011065,-0.0856309169808527,49.870393233997476,0.897928163011065,-0.5774571014615835,36.60880981726344,0.8551696790581571,0.0001828810426118821,0.897928163011065,6.059107278133524e-5,0.897928163011065
