iter,EP_dual,EP_primal,H2_GC_dual,H2_GC_primal,H2_dual,H2_primal,cap_dual,cap_dual_Gen_VRES_Solar,cap_dual_Gen_VRES_Wind,cap_dual_Offtaker_Green,cap_dual_Prod_H2_Green,cap_primal,cap_primal_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_primal_Offtaker_Green,cap_primal_Prod_H2_Green,elec_GC_dual,elec_GC_primal,elec_dual,elec_primal,hpa_Prod_H2_Green_dual,hpa_Prod_H2_Green_primal,hpa_cap_Prod_H2_Green_dual,hpa_cap_Prod_H2_Green_primal,ppa_Gen_VRES_Solar_dual,ppa_Gen_VRES_Solar_primal,ppa_Gen_VRES_Wind_dual,ppa_Gen_VRES_Wind_primal,ppa_cap_Gen_VRES_Solar_dual,ppa_cap_Gen_VRES_Solar_primal,ppa_cap_Gen_VRES_Wind_dual,ppa_cap_Gen_VRES_Wind_primal
1,Inf,380.45813427566964,Inf,586.8699521470131,Inf,687.8622401918877,Inf,Inf,Inf,Inf,Inf,619.5467300304712,226.68008081402954,576.4943083084704,1.9623549848881704e-7,10.421331082584471,Inf,1214.9198384243384,Inf,1342.9959584266721,Inf,688.8297378992777,Inf,39.08333414545614,Inf,1503.025057601619,Inf,3274.861706916789,Inf,48.505890889661565,Inf,111.24838527091097
2,337.39912856146776,273.5778205207805,252.5813314159245,454.9962732601446,75.44124280025892,703.9162494353828,61.95467300240661,22.668008081246107,57.64943083022098,1.9621408372407298e-8,1.0421331082247658,205.1507639512341,25.27104178673173,203.47576036661437,7.898295435174851e-11,6.76944163253922,258.311882666807,1482.7848878471134,828.9383397966197,995.6646093589194,63.15707788294366,644.3512712135539,4.858194575333699,26.047678068112745,226.87292146888586,956.8639830600642,349.2739374235135,1752.6391941896372,3.8105739506993603,16.17210040063737,8.740398681643718,37.08364317816227
3,662.1124991453114,230.65647042756572,253.07425196201876,211.85994214436792,121.91397789129924,487.6219663442511,21.5256306563771,2.5271041787172948,21.364954838496402,0.0,0.7107913714166729,352.51891496271384,161.05909561178828,313.5627317184655,1.825351443594328e-11,2.822481967262833,232.04586432229144,910.4235324523062,639.991577439516,567.9292473415362,144.57224189119944,417.4553300786448,2.148818530567732,8.682602027149844,302.4033204864238,496.2852735255545,466.12549428342567,774.9375426299695,1.3340382559506563,5.391443521388453,3.0592367158354135,12.361277155781977
4,391.47048551642945,137.02156597934837,283.73968862757016,387.50776107872815,163.67994265919413,450.6939373818898,38.48624065479332,16.911205039274783,34.57029117196174,0.0,0.311178636890801,154.65596399345716,68.35705318300448,134.68839896943413,1.4574788662547188e-13,33.23876745506595,183.96674985685468,475.5418299467363,608.8922398182668,403.9298359037492,95.32515041140344,152.66192590912414,0.752179292315605,2.8935296615640773,190.38382989879025,232.89391180225462,322.08205137347653,447.4005805114183,0.4670107443486038,1.7971418703124655,1.0707106193381808,4.120659615350149
5,382.8572060965815,170.51988306595493,232.86711824803373,205.7977770418397,127.10623015988541,447.6118993506105,17.740029997858628,7.53636511342642,15.591865785708588,0.0,3.8478028175184584,77.99122544775122,32.21540182030247,67.0569218162558,3.8879090937781634e-13,23.41299572730854,175.8207338815807,413.4605839363422,429.38312954689934,292.17603039789867,59.021398632458066,257.3756838485325,0.2632048814288177,0.9642631876673029,87.41849379514676,143.864854970438,170.56249378489767,305.72923354614477,0.16338859797552893,0.5995198060322693,0.37477475988287245,1.3735962004017068
6,259.20138560945844,112.7308100817763,205.61669780806787,216.71130541528598,73.48296944189893,317.2170158597477,9.404392714723414,3.729335453250617,8.150810757343509,0.0,2.8458642637772043,37.98857074252772,12.140540472517307,35.93907108635134,6.016371403419597e-13,2.0302594773544507,100.06088867131669,325.7598359547379,270.84741750313765,162.17319697936566,70.59664848856409,387.5516041226285,0.09228136491704701,0.3200755362991785,58.510984282957004,196.95663211994764,96.0702023185158,303.645607797066,0.05725633268409769,0.19982125795375794,0.13113521208141848,0.45815987494329136
7,409.76140320688967,81.80899814689253,146.44995299550158,153.9133147645121,40.71919629126649,329.168495826418,4.824103759302498,1.4756902822894538,4.586837380105472,0.0,0.2350279126830407,15.850983842048363,2.019294842071103,15.721836314555095,1.786276739320632e-13,4.618813261490337e-11,110.15526955708673,213.66647912996103,160.55151209127015,123.51607184021023,48.28790801639061,411.35083741557764,0.03210474601379194,0.10662971428037338,41.61514468055362,216.04248770193655,73.37580797941327,305.88906650844564,0.020036959570714163,0.06660673521693639,0.04594175360869702,0.15271888328653915
8,225.51127875028192,125.23988043401565,115.83464199067673,190.06458581366164,37.1032706219548,247.81755679913732,2.1225803434626433,0.2577188776276123,2.106876430778122,0.0,0.0,7.580830791120265,2.7212129905296534,7.075591519001769,4.529677492236152e-11,5.099793485031728e-11,78.88920586337197,246.24145912356695,98.92285661671671,186.382775142794,35.06600617424366,457.70807071710067,0.011172005825586813,0.03591328458345444,39.63566258576422,206.57197564437837,50.35796822884729,225.4652586124486,0.007012628314323999,0.022203848717531116,0.016079579072917766,0.05090543970015915
9,300.19634199022687,74.43558836189416,74.339448065936,139.3658356651391,57.477996375689095,123.86483363588115,1.0602905390671378,0.36466856661015806,0.9956067816973597,0.0,0.0,21.425888834604145,13.61254975768837,16.54591192552628,1.0346146385972591e-12,3.2132638427335554e-11,50.89769171261756,214.32037969908603,87.38610377536776,161.75112375848528,29.699993677361693,433.12017089807597,0.003969301490123602,0.012430182796812517,36.52215615255189,153.0827345535779,41.88834622038584,138.44158939112197,0.0024559430982568444,0.007393722137898351,0.005616445455772475,0.017037274271686442
10,278.1645260552701,114.7938728450702,60.22867720692918,127.8250071232746,37.94985150584531,85.34630851465509,3.1056139232587445,1.915422451745072,2.4445847646767067,0.0,1.6866994118378588e-12,43.61014926098357,19.670595279763774,38.921880734427525,8.07451398504617e-13,4.855117985084303e-10,81.35135185388029,118.17908993932176,100.32433005554745,117.80927739718103,35.58807608602273,350.05016861065496,0.001811962421622667,0.003522324547560629,47.584840015999376,99.05817987401191,67.48742123909052,93.81911508832869,0.0008473005097777257,0.0025530939666182917,0.001977885922377113,0.005679148097243569
11,296.81189197482917,55.973945649246716,87.38454457124918,139.94907253537923,32.76870223503961,101.13570961330842,6.701076784692604,2.9062428078561866,6.038061180224191,0.0,1.6866994118378588e-12,28.199541995505516,12.498504350572398,25.278480131428037,2.444305739418088e-12,2.9335950859494124e-10,75.55921824563525,173.60712576006654,90.12146625219793,108.90054642406197,40.07096886061903,248.75495653648315,0.0012032990074353064,0.002598288020685402,45.62911413464571,66.54571576194436,66.6486379042656,69.25868653953555,0.00031185021057328674,0.0008474505220874562,0.0006910038565356588,0.0018997401554514681
12,291.418653953302,36.74737988836153,98.3177634878765,102.07777136798825,30.914559192907127,78.84782059461006,4.5512697579389165,1.9389282456538914,4.1175980459164405,0.0,0.0,16.468924591170286,3.442015570325414,16.10521673257739,1.4109507440694834e-12,9.849590490161799e-11,58.16748489608115,169.90563006105683,67.05240151527849,113.19024467087331,27.905063830584997,197.87357255550614,0.0006205366866301336,0.0009262694944958128,34.308722856447034,62.11681314458608,52.49431563879567,69.82874651912685,0.00014876913851318862,0.00048407306886844026,0.0002442142232096585,0.0006280949157257965
13,282.9803631142471,30.28003924116143,82.18328147135573,79.1638149236277,34.35581246964282,79.23395171504754,2.8110196738573077,0.5606680667595056,2.7545386048717857,0.0,0.0,14.244316033604727,6.41121608569793,12.681390917750218,2.3990999616077493e-12,0.9895311813677657,56.139626451586224,148.85313548836885,50.22144542899188,108.59216573340176,21.621881837651056,174.4559362057155,0.0006518120569720167,0.0013276427900379417,23.31066057876381,65.08913944704527,35.406137356231866,61.85901943558542,9.798961076005452e-5,0.0003118843398439708,8.301570868305038e-5,0.00021700251747347465
14,268.06649546666864,30.031253689603528,60.97625152445935,90.6047792258152,26.798666701121288,138.39872741847367,2.5302258306136594,1.0965355204607774,2.277395610239246,0.0,0.11455060338298709,7.225327555242026,0.719090682506805,4.130271453548272,7.101518297266944e-13,5.884651611682364,49.782382246571075,186.3588062899135,53.041141394217,67.92144784744374,25.747041517739255,107.3978120243138,0.00215716924400971,0.002245990415591592,25.15242783733355,63.75536194659548,45.55920584724831,67.22956586723343,9.341922078936053e-5,0.0001828810426118821,3.7164090567218024e-5,6.059107278133524e-5
