iter,rho,price_mean,imb_mean,primal_res,dual_res
1,1.0,23.21736206069319,-55.32374196003104,2699.8653572338967,Inf
2,0.9523809523809523,32.16746916164712,-21.339942832247093,1492.5111823645595,996.5807196423917
3,1.0,18.166341388808007,30.686356079306098,1440.5361943665948,1221.924692110121
4,1.0,5.426057023815123,27.420127158267142,1414.595317716176,487.327145827497
5,1.05,-1.723542902976537,7.883866117051641,761.0070367102313,518.642293007703
6,1.1025,7.11776904240895,-11.785902053361342,636.8764132767623,821.0800704607057
7,1.05,13.426267400918732,-7.341984566662802,703.1934159575324,301.0703954242025
8,1.1025,9.986880737820941,3.4594657047514206,280.3744441221762,567.5303468822997
9,1.05,5.900194345962706,4.190360746107697,438.01478189510595,306.21466930657226
10,1.1025,6.873498033361995,-0.9227880164789644,145.02312019536237,359.12457061236483
11,1.05,9.680169578295045,-2.7126717417818704,267.195088634248,226.84376452805708
12,1.05,9.859212034625466,-0.17051662507659224,100.52915456077538,155.31496224125732
13,1.0,8.725367418174589,1.333934842883384,178.44763317718895,153.70365162899066
14,1.0,7.9438088991257265,0.8926996219861356,130.2670090453041,128.0809199148239
