Time,Contract_Price_Gen_VRES_Wind,EP_Price,H2_Price,Elec_GC_Price,Elec_Price,HPA_Price_Prod_H2_Green,Contract_Price_Gen_VRES_Solar,H2_GC_Price
1,0.0,109.42688242624408,62.49676197492679,24.577343757203938,-25.041589433012664,98.70193929107442,55.00000000114794,36.691026030292264
2,0.0,109.42688222889575,62.49676179389802,24.576889734907443,-25.040735994800542,98.70193880778938,55.00000000114617,36.69102603029226
3,0.0,109.42688213850424,62.496761711367384,24.576672330512892,-25.04018766898231,98.70193858556026,55.00000000114613,36.691026030292264
4,0.0,109.42688233089393,62.4967618877384,24.575929779722014,-25.039004232940968,98.70193905694701,55.000000001146766,36.691026030292264
5,0.0,109.42688230735642,62.496761865900645,24.58017582165741,-25.042710605351246,98.7019389998653,55.00000000114839,36.691026030292264
6,0.0,109.42688218013862,62.496761749353546,24.56171884998884,-24.973734620557934,98.70193868798506,55.00000000117176,36.691026030292264
7,64.19614300645787,108.88869998361018,61.480834693144104,24.58346440853932,39.408756377659664,98.17520229788768,63.882188157496216,36.69102603092327
8,64.31872651724657,109.01101746868105,61.7002952389889,24.603983517803382,39.59342685451881,98.36470984007167,64.14200632502944,36.69102603046541
9,64.34437176514571,109.046154977306,61.793421977360794,24.652876571107416,39.68186747473308,98.38657931312663,64.32711544510975,36.69102603069018
10,64.46311101278388,109.12449747739164,61.928999936704344,24.665110362207106,39.90270287665312,98.60859765489504,64.71021169204151,36.691026035271896
11,54.586885962497014,109.42688221988904,62.49676179806619,24.766665289114588,30.35184610268124,98.70193875790912,54.117125900044705,36.69102603029225
12,45.76733508172529,109.42688131253554,62.49676097535582,24.767407413516505,21.535778798237597,98.70193651411014,45.457263526740945,36.691026030292264
13,17.276357322999576,109.42688313954592,62.49676263151709,24.747803492090497,-7.087989221752638,98.70194103275331,17.132652110586548,36.691026030292264
14,47.33995475363858,109.4268816250894,62.49676124797932,24.73083481590842,22.997620474348484,98.701937311303,46.896064927717745,36.691026030292264
15,64.49838840494874,109.14194804813998,61.939294542409876,24.633502114693034,39.855878359995195,98.62064045016058,64.53348589348427,36.69102603198168
16,64.31872651658163,109.01101746825984,61.70029523834828,24.60398351788019,39.59342685376919,98.36470983906298,64.14200632413947,36.69102603046541
17,64.54932965382018,109.1396655768066,61.90173378632926,24.57724275576303,39.76534465634652,98.61232629460012,64.23327578165663,36.69102603056793
18,64.53255921272624,109.02410597890893,61.78796559626128,24.709835255715245,39.72291590794465,98.33255438856722,68.25962742834413,36.691026030266656
19,63.48089473592439,109.36507945865979,62.30669942486148,24.80910213234569,38.53132073827952,98.77263355754847,67.40376346093105,36.69102603031744
20,0.0,109.42688236090477,62.49676191515143,24.5828998891647,-25.00387896407107,98.70193913070092,55.00000000123213,36.691026030292264
21,0.0,109.42688228306234,62.49676184388891,24.585590497123864,-25.01737254261086,98.70193893976034,55.000000001158504,36.691026030292264
22,0.0,109.42688241974038,62.4967619688694,24.59174003809887,-25.044910338041767,98.701939275359,55.0000000011539,36.691026030292264
23,0.0,109.42688322442113,62.496762708772934,24.58871389476219,-25.05082987536995,98.70194124194258,55.000000001150106,36.69102603029226
24,0.0,109.42688244259801,62.49676199000381,24.588525842547693,-25.050469897910393,98.70193933095587,55.00000000114985,36.691026030292264
25,0.0,109.41866744857309,62.48924900577209,24.591771054100118,-25.050771488289637,98.68177325509681,55.000000002241585,36.691026030851916
26,0.0,109.41866709355322,62.489248671292884,24.582921183722735,-25.055942953859972,98.68177240541364,55.00000000223072,36.69102603085191
27,0.0,109.41866709682294,62.48924867361395,24.580769559672746,-25.04962879503682,98.68177241490774,55.000000002228425,36.691026030851916
28,0.0,109.41866786846171,62.4892494079008,24.581372378733498,-25.055272993904275,98.68177424567972,55.00000000222949,36.6910260308519
29,0.0,109.41866744794409,62.48924900517314,24.591771054100118,-25.05077148828964,98.68177325360537,55.000000002241585,36.691026030851916
30,43.88456802908864,109.41866765401095,62.489249204158575,24.619432378380484,19.23429307855783,98.6817737362911,43.212260236249364,36.6910260308519
31,64.061372405073,108.85525806763081,61.408210662757085,24.570381741899336,39.38528467580653,98.1593612230071,63.98796250630787,36.69102603281491
32,64.16893026543664,108.94539043287062,61.58990692639267,24.614450499765184,39.56086374473448,98.29331771895798,64.26760627812926,36.69102603350381
33,65.1450930457067,109.72575657410606,63.00786701964501,24.76844863494795,40.53127393145281,99.29337813577506,65.19281923540485,36.69102603156194
34,0.16440021210377312,109.41866789450272,62.489249432337274,24.60153035068059,-23.909268126471236,98.68177430822058,0.5907144603130148,36.69102603085191
35,0.00144855278287098,109.418667425664,62.48924898398912,24.655327154791703,-24.16479756043687,98.68177320070588,0.4524497722754225,36.69102603085191
36,0.0,109.41866798288525,62.48924951667382,24.556765218469746,-24.73643890411026,98.68177451740384,0.0,36.69102603085191
37,0.0,109.41866706015425,62.489248638777674,24.5456512328858,-24.718259467881992,98.6817723277824,0.0,36.69102603085191
38,0.0,109.41866703909254,62.489248619234345,24.55413594397831,-24.727408346020194,98.68177227671595,0.0,36.691026030851916
39,0.0,109.41866713737669,62.48924871297243,24.626615517721948,-24.51705874756649,98.6817725094386,0.06260937362634335,36.691026030851916
40,60.83878466399535,109.42016481501814,62.4906247622058,24.788667506330334,36.23077235412668,98.68543526879023,60.135591503061015,36.69102603085228
41,64.31470838468319,109.007438024591,61.69339512785065,24.602882596364903,39.590525407683955,98.36228050616171,64.14120310962495,36.69102603119073
42,64.48444270281459,109.11469508321912,61.844285209288834,24.559453532237306,39.72736724775699,98.59383191582592,64.2198832379965,36.691026031413614
43,64.31015305853653,108.90188114560375,61.56490544588562,24.68687288226995,39.532444917635736,98.14149092662744,68.57864136283118,36.69102603076444
44,62.66558330515435,109.4186671682426,62.48924874245818,24.799015455470485,37.71609836142255,98.681772584295,62.86232439549426,36.69102603085185
45,64.32134600823068,108.8947913985419,61.53451511361678,24.672467816733697,39.56908688759583,98.20247347228533,68.66044602328907,36.69102603151908
46,64.1755096442773,108.82447027647183,61.39253081788988,24.64570678683681,39.461060433056154,98.11744482060263,68.74611904310377,36.691026031712006
47,64.59800478105711,109.1887849390384,62.019035705907555,24.66225071724729,39.8477239213809,98.595474676755,67.67647973743755,36.69102603125983
48,63.97399437815132,108.72749501087856,61.20022455740253,24.6121213539489,39.306753821501246,97.98945762596695,68.85215957523366,36.69102603197741
49,81.0491881641651,137.4093762938323,82.69566582930578,49.76001040800563,53.39508498336169,119.19931632545705,80.9945030378961,36.78383112561532
50,76.55325848648692,126.98120423445465,74.88499661866771,48.45001313579,48.33362140430032,111.4458212123199,76.49040450982669,36.77058228564391
51,78.45208669670933,131.70741856843838,78.4133580782273,49.76001040800578,50.56232696339144,114.945137238227,78.41114795467293,36.792095828120594
