Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,jy,Cons_Elec_01_H2,Gen_Conv_01_elec,Gen_Conv_01_H2_GC,Offtaker_Green_H2_GC,Gen_Conv_01_EP,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_01_elec_GC,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,jd,Gen_VRES_Wind_H2,Gen_Conv_01_H2,Prod_H2_Green_H2_GC,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec
4.066588806052174e-20,0.0,0.0,0.0,1,0.0,-9.731547240989331e-9,0.0,-1614.4406739887268,0.0,-11015.42409987913,-9.835599231398963e-9,15223.190605510814,4.066588806052174e-20,0.0,-374.77966302175093,1491.9152527505644,0.0,0.0,0.0,15223.190605510814,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.08474725927096,0.0,0.0,0.0,0.0,-12239.360099999954,0.0,-4207.766505631685,1,0.0,0.0,0.0,0.0,-2983.8305055011288
5.472245104305416e-20,0.0,0.0,0.0,1,0.0,-9.731547240989314e-9,0.0,-1614.4406739887265,0.0,-11262.744099581456,-9.835599231398963e-9,15497.990605510817,5.472245104305416e-20,0.0,-374.77966302175116,1491.9152527505644,0.0,0.0,0.0,15497.990605510817,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.0847472592711,0.0,0.0,0.0,0.0,-12514.160099999957,0.0,-4235.246505929363,2,0.0,0.0,0.0,0.0,-2983.8305055011288
9.955705486459806e-20,0.0,0.0,0.0,1,0.0,-9.731547240989261e-9,0.0,-1614.4406739887265,0.0,-11363.166554575915,-9.835599231398963e-9,15874.010605510815,9.955705486459806e-20,0.0,-374.77966302175116,1491.9152527505644,0.0,0.0,0.0,15874.010605510815,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.0847472592711,0.0,0.0,0.0,0.0,-12890.180099999956,0.0,-4510.844050934901,3,0.0,0.0,0.0,0.0,-2983.8305055011288
9.216866917098395e-9,0.0,0.0,0.0,1,0.0,-9.600098033477124e-9,0.0,-1614.4406739884505,0.0,-11363.166554691265,-9.835599231398963e-9,16360.830605501256,9.216866917098395e-9,0.0,-374.77966302188923,1491.915252750461,0.0,0.0,0.0,16360.830605501256,0.0,1989.2203370006146,0.0,0.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,1989.2203370103398,-1989.2203370006146,281.0847472593747,0.0,0.0,0.0,0.0,-13377.00009999995,0.0,-4997.664050819208,4,0.0,0.0,0.0,0.0,-2983.8305055009223
9.748835783057896e-9,0.0,0.0,0.0,1,0.0,584.9799999763278,0.0,-1614.4406739711512,0.0,-11363.16655471848,-9.835599231398963e-9,16360.830605501818,9.748835783057896e-9,0.0,-374.77966303053876,1491.9152527439737,0.0,0.0,0.0,16360.830605501818,0.0,1989.2203369919648,0.0,0.0,0.0,0.0,0.0,5,0.0,1,0.0,0.0,1989.22033700169,-1989.2203369919648,281.08474726586184,0.0,0.0,0.0,0.0,-13961.980099999946,0.0,-4997.664050793087,5,0.0,0.0,0.0,0.0,-2983.8305054879474
9.757727605462982e-9,0.0,0.0,0.0,1,0.0,1168.7075670069744,0.0,-1588.6640966787063,0.0,-11363.166554729349,-9.835599231398953e-9,16360.830605501827,9.757727605462982e-9,0.0,-387.66795167676133,1482.2490362593069,0.0,0.0,0.0,16360.830605501827,0.0,1976.3320483457424,0.0,0.0,0.0,0.0,0.0,6,0.0,1,0.0,0.0,1976.3320483554676,-1976.3320483457424,290.75096375052874,0.0,0.0,0.0,0.0,-14565.040099999946,0.0,-4997.664050782236,6,0.0,0.0,0.0,0.0,-2964.4980725186138
9.75772760546908e-9,0.0,0.0,0.0,1,0.0,1168.7075674219398,0.0,-828.7440972319945,0.0,-11363.16655473482,-9.835599231398788e-9,16360.830605501827,9.75772760546908e-9,0.0,-767.6279514001172,1197.2790364667899,0.0,0.0,0.0,16360.830605501827,0.0,1596.3720486223867,0.0,0.0,0.0,0.0,0.0,7,0.0,1,0.0,0.0,1596.3720486321117,-1596.3720486223867,575.7209635430457,0.0,0.0,0.0,0.0,-15134.980099999944,0.0,-4997.664050776765,7,0.0,0.0,0.0,0.0,-2394.5580729335798
9.757727605469444e-9,0.0,0.0,0.0,1,0.0,1168.7075674467471,0.0,-261.1707639317372,0.0,-11363.166554737518,-9.835599231398649e-9,16360.830605501827,9.757727605469444e-9,0.0,-1051.414618050246,984.4390364791934,0.0,0.0,0.0,16360.830605501827,0.0,1312.585381972258,0.0,0.0,0.0,0.0,0.0,8,0.0,1,0.0,0.0,1312.585381981983,-1312.585381972258,788.5609635306422,0.0,0.0,0.0,0.0,-15560.660099999945,0.0,-4997.664050774067,8,0.0,0.0,0.0,0.0,-1968.878072958387
9.75772760547267e-9,0.0,0.0,0.0,1,0.0,1168.7075676662976,0.0,-22.50409755780576,0.0,-11363.166554738435,-9.83559923139717e-9,16360.830605501827,9.75772760547267e-9,0.0,-1170.7479512372117,894.9390365889691,0.0,0.0,0.0,16360.830605501827,0.0,1193.2520487852923,0.0,0.0,0.0,0.0,0.0,9,0.0,1,0.0,0.0,1193.2520487950173,-1193.2520487852923,878.0609634208665,0.0,0.0,0.0,0.0,-15739.660099999945,0.0,-4997.66405077315,9,0.0,0.0,0.0,0.0,-1789.8780731779384
68.48999878135996,0.0,0.0,0.0,1,0.0,1168.707567436056,0.0,-432.064095612956,0.0,-11363.166554737301,-9.835599231398715e-9,16360.830605501827,68.48999878135996,0.0,-965.9679522096363,1048.5240358596504,0.0,0.0,0.0,16360.830605501827,0.0,1398.0320478128674,0.0,0.0,0.0,0.0,0.0,10,0.0,1,0.0,0.0,1398.0320478225924,-1398.0320478128674,724.475964150185,0.0,0.0,0.0,0.0,-15500.980099999944,0.0,-5066.154049545887,10,0.0,0.0,0.0,0.0,-2097.048071719301
1996.2738410539728,0.0,0.0,0.0,1,0.0,-9.731547240989184e-9,0.0,-1614.4406739887265,0.0,-11363.166554736496,-9.835599231398963e-9,16062.776764456843,1996.2738410539728,0.0,-374.779663021751,1491.9152527505644,0.0,0.0,0.0,16062.776764456843,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,11,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.084747259271,0.0,0.0,0.0,0.0,-15075.220099999955,0.0,-6695.88405077432,11,0.0,0.0,0.0,0.0,-2983.8305055011288
