AgentID,jy,cap
Gen_VRES_Solar,1,74.21097453032361
Gen_VRES_Solar,2,74.21097452032386
Gen_VRES_Solar,3,74.21097451032394
Gen_VRES_Solar,4,74.21097450032399
Gen_VRES_Solar,5,74.21097449032402
Gen_VRES_Solar,6,74.21097448032407
Gen_VRES_Solar,7,74.21097447032417
Gen_VRES_Solar,8,74.21097446032424
Gen_VRES_Solar,9,74.21097445032477
Gen_VRES_Solar,10,74.21097444032486
Gen_VRES_Wind,1,195.16635343226187
Gen_VRES_Wind,2,195.1663534222621
Gen_VRES_Wind,3,195.16635341226214
Gen_VRES_Wind,4,195.1663534022622
Gen_VRES_Wind,5,195.16635339226224
Gen_VRES_Wind,6,195.1663533822623
Gen_VRES_Wind,7,195.16635337226234
Gen_VRES_Wind,8,195.1663533622624
Gen_VRES_Wind,9,195.1663533522629
Gen_VRES_Wind,10,195.16635334226297
Prod_H2_Green,1,34.94456643045526
Prod_H2_Green,2,34.94456642045532
Prod_H2_Green,3,34.94456641045534
Prod_H2_Green,4,34.94456640045535
Prod_H2_Green,5,34.94456639045536
Prod_H2_Green,6,34.94456638045537
Prod_H2_Green,7,35.03878222418182
Prod_H2_Green,8,35.038782214181836
Prod_H2_Green,9,35.038782204181885
Prod_H2_Green,10,35.038782194181906
Offtaker_Green,1,29.999999990000003
Offtaker_Green,2,29.999999980000005
Offtaker_Green,3,29.999999970000008
Offtaker_Green,4,29.99999996000001
Offtaker_Green,5,29.999999950000014
Offtaker_Green,6,29.99999994000002
Offtaker_Green,7,29.999999930000023
Offtaker_Green,8,29.99999992000003
Offtaker_Green,9,29.999999910000042
Offtaker_Green,10,29.999999900000063
