AgentID,Group,Type,YearIndex,Capacity_MW,Investment_MW
Gen_VRES_01,power,VRES,1,157.24137984717657,57.241379847176574
Prod_H2_Green,H2,H2Prod,1,39.999999886115845,-1.1388415543933661e-7
Offtaker_Green,offtaker,GreenOfftaker,1,29.999999914586883,-8.541311657950246e-8
