Agent,Type,Total_Quantity,Objective_Value
Cons_Elec_01,PowerCons,5365.199999999411,-1.1011720624564046e8
Gen_Conv_01,PowerGen,4942.266676414288,-1.7025871091907257e6
Gen_VRES_01,PowerGen,6294.303448234727,5.42961061000824e-6
Prod_H2_Green,H2Prod,3914.2467497662283,152977.73010601848
Offtaker_Green,Offtaker,2935.6850623246733,47252.98100649519
Offtaker_Grey,Offtaker,3976.314937675176,-2.0431045310169715e6
Offtaker_Import,Offtaker,1.522121327996725e-10,9.961408651303175e-6
Demand_GC_Elec_01,GC_Demand,502.7419223879483,-26019.727639099656
