period,time_step,SOLAR,LOAD_E,WIND
12,1,0.0,0.574135,0.168626
12,2,0.0,0.585505,0.136935
12,3,0.0,0.602888,0.103251
12,4,0.0,0.627522,0.127329
12,5,0.0,0.658402,0.177247
12,6,0.0,0.690094,0.242337
12,7,0.0,0.718156,0.2922
12,8,0.0,0.738533,0.25702
12,9,0.0,0.747698,0.268413
12,10,0.0,0.742447,0.296296
12,11,0.0,0.722633,0.313064
12,12,0.026,0.694563,0.330452
12,13,0.093,0.66804,0.406442
12,14,0.115,0.655219,0.540974
12,15,0.097,0.66997,0.448456
12,16,0.095,0.708445,0.547145
12,17,0.123,0.768081,0.842421
12,18,0.053,0.840985,0.73955
12,19,0.013,0.901572,0.680612
12,20,0.0,0.925026,0.585158
12,21,0.0,0.903042,0.476131
12,22,0.0,0.842058,0.448456
12,23,0.0,0.76775,0.464928
12,24,0.0,0.697108,0.443053
33,1,0.0,0.534006,1.0
33,2,0.0,0.546554,1.0
33,3,0.0,0.564811,1.0
33,4,0.0,0.590743,1.0
33,5,0.0,0.62136,1.0
33,6,0.0,0.65513,1.0
33,7,0.0,0.683346,1.0
33,8,0.0,0.703563,1.0
33,9,0.0,0.712358,1.0
33,10,0.0,0.704935,1.0
33,11,0.009,0.686088,1.0
33,12,0.064,0.658528,1.0
33,13,0.151,0.634696,1.0
33,14,0.112,0.626082,1.0
33,15,0.056,0.642534,1.0
33,16,0.092,0.681036,1.0
33,17,0.081,0.74008,1.0
33,18,0.131,0.805719,1.0
33,19,0.068,0.863965,1.0
33,20,0.004,0.886542,1.0
33,21,0.0,0.868523,1.0
33,22,0.0,0.809815,1.0
33,23,0.0,0.740113,1.0
33,24,0.0,0.673625,0.884395
82,1,0.0,0.505423,0.028528
82,2,0.0,0.514848,0.04021
82,3,0.0,0.528928,0.043559
82,4,0.0,0.549918,0.053388
82,5,0.0,0.576986,0.063115
82,6,0.0,0.604072,0.099229
82,7,0.0,0.628631,0.122699
82,8,0.0,0.647204,0.141914
82,9,0.002,0.651527,0.109486
82,10,0.043,0.641075,0.082418
82,11,0.141,0.615339,0.045892
82,12,0.21,0.587878,0.063115
82,13,0.327,0.563928,0.017426
82,14,0.283,0.554288,0.034036
82,15,0.399,0.560104,0.056057
82,16,0.281,0.597975,0.093394
82,17,0.324,0.649053,0.109486
82,18,0.265,0.709147,0.103251
82,19,0.128,0.759572,0.057424
82,20,0.083,0.781288,0.049546
82,21,0.016,0.769022,0.043559
82,22,0.0,0.725396,0.042423
82,23,0.0,0.662178,0.030292
