period,time_step,SOLAR,LOAD_E,WIND
73,1,0.0,0.510947,0.553363
73,2,0.0,0.521066,0.611453
73,3,0.0,0.535917,0.376715
73,4,0.0,0.557184,0.421875
73,5,0.0,0.582609,0.481799
73,6,0.0,0.612062,0.618148
73,7,0.0,0.639141,0.631683
73,8,0.0,0.658031,0.695041
73,9,0.0,0.665456,0.732004
73,10,0.009,0.659295,0.859047
73,11,0.022,0.640214,1.0
73,12,0.039,0.615288,1.0
73,13,0.038,0.593774,1.0
73,14,0.032,0.579603,1.0
73,15,0.113,0.583007,1.0
73,16,0.103,0.609901,1.0
73,17,0.37,0.65882,1.0
73,18,0.314,0.720711,1.0
73,19,0.202,0.773843,1.0
73,20,0.105,0.796943,1.0
73,21,0.014,0.784474,0.91896
73,22,0.0,0.734862,0.618148
73,23,0.0,0.668507,0.78592
73,24,0.0,0.602837,0.910236
99,1,0.0,0.442107,0.168626
99,2,0.0,0.454677,0.218006
99,3,0.0,0.474348,0.168626
99,4,0.0,0.493755,0.201663
99,5,0.0,0.520546,0.19226
99,6,0.0,0.552003,0.183155
99,7,0.0,0.581103,0.201663
99,8,0.0,0.601706,0.224783
99,9,0.039,0.60572,0.264579
99,10,0.165,0.593935,0.204864
99,11,0.31,0.571379,0.238755
99,12,0.436,0.543922,0.245954
99,13,0.57,0.517975,0.221377
99,14,0.648,0.502926,0.218006
99,15,0.697,0.504944,0.189192
99,16,0.678,0.529289,0.168626
99,17,0.622,0.5745,0.177247
99,18,0.514,0.628595,0.211367
99,19,0.344,0.674332,0.218006
99,20,0.224,0.696379,0.228224
99,21,0.086,0.690739,0.280138
99,22,0.004,0.653337,0.300431
99,23,0.0,0.600015,0.386457
99,24,0.0,0.547466,0.487512
139,1,0.0,0.35981,0.008453
139,2,0.0,0.367851,0.003675
139,3,0.0,0.376886,0.037037
139,4,0.0,0.394783,0.026834
139,5,0.0,0.41584,0.043559
139,6,0.0,0.43747,0.052086
139,7,0.001,0.456895,0.056057
139,8,0.033,0.466401,0.030292
139,9,0.084,0.465885,0.02442
139,10,0.153,0.455804,0.009659
139,11,0.219,0.437396,0.018701
139,12,0.417,0.413628,0.042423
139,13,0.481,0.396351,0.049546
139,14,0.663,0.383715,0.045892
139,15,0.665,0.389425,0.022894
139,16,0.575,0.41123,0.012906
139,17,0.46,0.448782,0.004892
139,18,0.373,0.493865,0.016811
139,19,0.265,0.527964,0.018701
139,20,0.273,0.545618,0.050805
139,21,0.152,0.541161,0.080677
139,22,0.058,0.515575,0.066097
139,23,0.004,0.474978,0.044716
139,24,0.0,0.435215,0.061659
