iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_Prod_H2_Green,cap_dual_Prod_H2_Green,cap_primal_Offtaker_Green,cap_dual_Offtaker_Green
1,57.11524200230425,Inf,35.97247138489267,Inf,18.91519417453027,Inf,38.23566759620664,Inf,2.0785719017116437,Inf,1.5985147476339272,Inf,1.0139046935364604e-8,Inf,0.8821605236589676,Inf,1.3311311391710205,Inf,0.07163867133158419,Inf
2,96.9499912792399,84.63779405770762,59.48411693529341,12.886392964938022,58.46996900383185,20.98737738578591,36.00308241880532,45.23841461543487,12.066368101497673,18.933606375834003,3.933458394332411,0.1598514747772219,1.1155498214066029e-7,1.0139046935364604e-9,3.7967747864495323,0.08821605238736084,1.0157954759581571,0.13311311391835262,0.15733947994112896,0.007163867154190484
3,102.39985739068145,87.77882550760621,79.4903700820658,12.162629174887694,32.560715958396514,21.283519769564695,46.39890841374305,41.69802145589794,21.746194985016942,23.22831646965143,0.9779989025819121,0.41301313140857154,5.044421413913369e-8,5.444089765660465e-9,0.3047686436184449,0.3986613525802568,0.9134384901090016,0.10665852497684797,0.17096213646823344,0.016520645403774098
4,110.37177937639817,63.077602666146255,95.36688874614978,11.316904812089218,42.1104543758239,14.360075150385748,53.6215568583898,27.73256592935689,26.552723884444134,22.918168838830965,1.3072284746883918,0.10689212342234501,1.331500243395567e-9,5.584737664321438e-9,1.0240041954129993,0.03047686447207525,0.7898125253052513,0.10070659353534468,0.19093943459552065,0.01884857554817967
5,104.23416910591412,43.27441429504015,104.98311866839866,10.1899789388217,25.13064446600218,12.2709083236924,61.718219024378456,20.70716118062947,28.112741055055054,27.39208836437536,1.2820015265007987,0.14285931358492127,2.6986526791006327e-8,1.3980752555653455e-10,1.10007270407732,0.10752044137554549,0.6163492670063988,0.09143067246346555,0.23126076354424185,0.022103626336898625
6,86.4637887363099,45.39661295142625,108.94899826314082,9.170467551233264,30.307598929204087,15.475306538919028,68.98669710326779,19.056600421347145,29.256151374416827,31.116445256988307,1.0596705625033196,0.1453010476260159,2.656815922819078e-8,2.937562385341153e-9,0.9125607244895946,0.12128304056252001,0.46690759304283347,0.07491763862430154,0.26857387198697324,0.028109890360626163
7,77.90873520632942,38.694377060178,109.46708575064311,8.538333466036697,24.067189393181664,16.04175014775768,74.1786256825368,18.508683890185097,31.204798426759666,33.28774194583107,0.8294689310220092,0.12603913304413059,2.7939677238464355e-9,3.0844405046082107e-9,0.6785555704191211,0.10564031303802669,0.3788016442508706,0.05959055524051707,0.28998337831126264,0.034277588098795046
8,81.83098607627714,80.67245660362154,107.24367278534991,7.944865722080674,57.11370133394201,28.70120272395206,76.76630374674728,17.364620053712333,34.047302607358276,34.99560843748869,2.9553048023916713,0.10435415720794614,2.786691766232252e-9,3.2259440558846115e-10,2.924596245877183,0.08247885502153744,0.29956825375143126,0.05076304321322292,0.3013671099915882,0.03886054611877457
9,70.46102439710589,96.9303356391655,105.40717716095276,8.391757557396792,40.16515014022984,36.11235036061833,80.2760770655753,17.896348325784487,37.2588680458083,36.36883136116096,2.52276011246377,0.378019409574843,4.3655745685100555e-11,3.387241258678842e-10,2.4825532327013207,0.37326082663929816,0.3292670904527313,0.04215226164747525,0.3046821540347082,0.04240537878457762
10,65.73430873387906,89.3872472889367,104.14305785119598,8.798142637252052,51.592419153749496,31.80329088895747,82.97294092863874,19.131817273243936,40.861469145183705,37.26344198430172,0.5534616789502572,0.33922394465651234,4.489265847951174e-9,0.0,0.29759173167622066,0.33268587658643467,0.34785463804792016,0.04864774553198481,0.31105649341066055,0.04501543071986911
11,60.60713061857653,92.49663365311555,102.23888525777234,8.793098323200297,25.879824508937244,33.86714390513939,82.84612398446029,20.147444874541765,44.63518026891633,37.78841301255994,3.4607403891111086,0.08265019779394796,4.376488504931331e-9,5.319649130797189e-10,3.4328395426819043,0.039880138244673013,0.3028363418432036,0.053963671506661266,0.31721737828092955,0.048255071510522544
12,69.06287881249149,51.44631404528023,100.81973404262008,9.044497272449437,39.92089098783822,18.536246103497128,82.74659752285926,21.781673518919916,48.98043853458762,37.29323714866526,0.8946619496972327,0.4882889248386022,1.025910023599863e-9,5.58563158733705e-10,0.7729762601466064,0.48303499714751064,0.32042839878636187,0.04932884900528125,0.3166280889893187,0.051671368344148975
13,59.62192825275712,37.940596224249724,99.26894837722378,8.898974914554078,31.12511315711227,13.644366002677383,80.64665256538969,22.939964346452975,54.213902372986546,36.370434928850855,1.0767043643225946,0.13776310354656826,6.6465872805565596e-9,3.900191632055796e-11,0.9877834262933902,0.11420380133311708,0.29622904173220377,0.0548041301911838,0.3095554000915399,0.05415414826064748
14,41.69974475886155,36.52992328945276,97.85286210171795,8.701085256480043,11.555266385663758,11.790289125030522,77.49009783107444,23.789622363745263,60.33980062807757,35.222238414578314,1.037532427233605,0.17147095061556042,9.094947017729282e-10,9.168131717078157e-10,0.9519099870340142,0.15323763006344296,0.28798543923744546,0.053198479858014326,0.2956438751832593,0.055591702423471515
15,39.340384190995074,35.05503352020128,96.76666065713765,8.505823023423865,11.312138549843713,10.86057118661711,74.27948472542694,24.428721027664434,67.01840657476617,34.18821019644863,0.8871549265247405,0.1734910991090483,3.470631781965494e-9,1.4230824217463585e-10,0.7909069248726155,0.15505610632095637,0.2909683587517975,0.054303949654854695,0.2772138417376482,0.055748061980062644
16,42.06949731037398,29.138401850955105,95.9723549493421,8.272840062827644,15.79537914491683,10.138275681176669,71.78628095261648,24.72451001149827,73.50682015753831,33.306834494418865,0.7329298400192437,0.15693915472458628,9.458744898438454e-11,8.562297887532542e-10,0.6218227526878763,0.13527192536465193,0.2904354362417507,0.057609744807646336,0.2572350520542841,0.054886444565170514
