Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,1.2674108248377352e9,1.154214043524108e9
Gen_VRES_Wind,VRES,5.187623429274647e8,3.303007950451604e8
Prod_H2_Green,GreenProducer,2.078605520923256e8,1.901932438670386e8
Offtaker_Green,GreenOfftaker,8.26616300862545e7,7.497263223134905e7
