case,group,is_demand,scenario_year,probability,welfare
market_exposure,conventional,false,1,0.06666666666666667,-5.601320281625175e9
market_exposure,conventional,false,2,0.06666666666666667,-8.108853034512529e9
market_exposure,conventional,false,3,0.06666666666666667,-1.0488748837997585e10
market_exposure,conventional,false,4,0.06666666666666667,-6.470582148573261e9
market_exposure,conventional,false,5,0.06666666666666667,-9.566539415916777e9
market_exposure,conventional,false,6,0.06666666666666667,-1.2533761508488008e10
market_exposure,conventional,false,7,0.06666666666666667,-6.000675492732506e9
market_exposure,conventional,false,8,0.06666666666666667,-8.804982833128284e9
market_exposure,conventional,false,9,0.06666666666666667,-1.1481690395472965e10
market_exposure,conventional,false,10,0.06666666666666667,-5.784218403897001e9
market_exposure,conventional,false,11,0.06666666666666667,-8.458210211300623e9
market_exposure,conventional,false,12,0.06666666666666667,-1.0996804607318417e10
market_exposure,conventional,false,13,0.06666666666666667,-5.588717478609333e9
market_exposure,conventional,false,14,0.06666666666666667,-8.199981837828451e9
market_exposure,conventional,false,15,0.06666666666666667,-1.0642012143124935e10
market_exposure,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
market_exposure,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
market_exposure,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
market_exposure,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
market_exposure,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
market_exposure,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
market_exposure,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
market_exposure,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
market_exposure,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
market_exposure,elec_demand,true,10,0.06666666666666667,5.444320247305872e10
market_exposure,elec_demand,true,11,0.06666666666666667,5.4443203159760475e10
market_exposure,elec_demand,true,12,0.06666666666666667,5.44431967138442e10
market_exposure,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
market_exposure,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
market_exposure,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
market_exposure,gc_demand,true,1,0.06666666666666667,3.6399150849948555e8
market_exposure,gc_demand,true,2,0.06666666666666667,3.611430915987151e8
market_exposure,gc_demand,true,3,0.06666666666666667,3.585363117540486e8
market_exposure,gc_demand,true,4,0.06666666666666667,3.051972180949912e8
market_exposure,gc_demand,true,5,0.06666666666666667,3.004990369245333e8
market_exposure,gc_demand,true,6,0.06666666666666667,2.987319324993352e8
market_exposure,gc_demand,true,7,0.06666666666666667,3.300740583917987e8
market_exposure,gc_demand,true,8,0.06666666666666667,3.281214873648145e8
market_exposure,gc_demand,true,9,0.06666666666666667,3.2493418011712396e8
market_exposure,gc_demand,true,10,0.06666666666666667,3.419937063479805e8
market_exposure,gc_demand,true,11,0.06666666666666667,3.3910064647339827e8
market_exposure,gc_demand,true,12,0.06666666666666667,3.409865044157658e8
market_exposure,gc_demand,true,13,0.06666666666666667,3.6298166250965226e8
market_exposure,gc_demand,true,14,0.06666666666666667,3.596241019672085e8
market_exposure,gc_demand,true,15,0.06666666666666667,3.570968219182898e8
market_exposure,h2_producer,false,1,0.06666666666666667,-4.1868747081241524e8
market_exposure,h2_producer,false,2,0.06666666666666667,-4.186889503166008e8
market_exposure,h2_producer,false,3,0.06666666666666667,-4.1868897813099766e8
market_exposure,h2_producer,false,4,0.06666666666666667,-4.186883735101261e8
market_exposure,h2_producer,false,5,0.06666666666666667,-4.186890339385393e8
market_exposure,h2_producer,false,6,0.06666666666666667,-4.1868897339738053e8
market_exposure,h2_producer,false,7,0.06666666666666667,-4.186889695495565e8
market_exposure,h2_producer,false,8,0.06666666666666667,-4.18688950080599e8
market_exposure,h2_producer,false,9,0.06666666666666667,-4.186889674884004e8
market_exposure,h2_producer,false,10,0.06666666666666667,-4.186926655449496e8
market_exposure,h2_producer,false,11,0.06666666666666667,-4.1869266541889757e8
market_exposure,h2_producer,false,12,0.06666666666666667,-4.186908323596495e8
market_exposure,h2_producer,false,13,0.06666666666666667,-4.18688690515659e8
market_exposure,h2_producer,false,14,0.06666666666666667,-4.186891193325447e8
market_exposure,h2_producer,false,15,0.06666666666666667,-4.186887920634849e8
market_exposure,offtaker_green,false,1,0.06666666666666667,-1.9665115120129722e8
market_exposure,offtaker_green,false,2,0.06666666666666667,-1.9665601937412053e8
market_exposure,offtaker_green,false,3,0.06666666666666667,-1.9665611030838385e8
market_exposure,offtaker_green,false,4,0.06666666666666667,-1.9665393107126522e8
market_exposure,offtaker_green,false,5,0.06666666666666667,-1.9665629836727166e8
market_exposure,offtaker_green,false,6,0.06666666666666667,-1.966561176736786e8
market_exposure,offtaker_green,false,7,0.06666666666666667,-1.9665609235165066e8
market_exposure,offtaker_green,false,8,0.06666666666666667,-1.9665603979396096e8
market_exposure,offtaker_green,false,9,0.06666666666666667,-1.9665608940793747e8
market_exposure,offtaker_green,false,10,0.06666666666666667,-1.9666703234836957e8
market_exposure,offtaker_green,false,11,0.06666666666666667,-1.9666703659035283e8
market_exposure,offtaker_green,false,12,0.06666666666666667,-1.966671135331446e8
market_exposure,offtaker_green,false,13,0.06666666666666667,-1.96654988387244e8
market_exposure,offtaker_green,false,14,0.06666666666666667,-1.966565692439102e8
market_exposure,offtaker_green,false,15,0.06666666666666667,-1.966555506696447e8
market_exposure,offtaker_grey,false,1,0.06666666666666667,-7.721526622908525e8
market_exposure,offtaker_grey,false,2,0.06666666666666667,-1.30514492413692e9
market_exposure,offtaker_grey,false,3,0.06666666666666667,-1.8381460170616307e9
market_exposure,offtaker_grey,false,4,0.06666666666666667,-7.7214824071578e8
market_exposure,offtaker_grey,false,5,0.06666666666666667,-1.305144062257373e9
market_exposure,offtaker_grey,false,6,0.06666666666666667,-1.8381456799179275e9
market_exposure,offtaker_grey,false,7,0.06666666666666667,-7.72143223807964e8
market_exposure,offtaker_grey,false,8,0.06666666666666667,-1.3051446552706022e9
market_exposure,offtaker_grey,false,9,0.06666666666666667,-1.8381459172168505e9
market_exposure,offtaker_grey,false,10,0.06666666666666667,-7.721290875904068e8
market_exposure,offtaker_grey,false,11,0.06666666666666667,-1.305120607068576e9
market_exposure,offtaker_grey,false,12,0.06666666666666667,-1.8380351942822018e9
market_exposure,offtaker_grey,false,13,0.06666666666666667,-7.721462903104372e8
market_exposure,offtaker_grey,false,14,0.06666666666666667,-1.3051433071759446e9
market_exposure,offtaker_grey,false,15,0.06666666666666667,-1.8381478068454401e9
market_exposure,offtaker_import,false,1,0.06666666666666667,0.0
market_exposure,offtaker_import,false,2,0.06666666666666667,0.0
market_exposure,offtaker_import,false,3,0.06666666666666667,0.0
market_exposure,offtaker_import,false,4,0.06666666666666667,0.0
market_exposure,offtaker_import,false,5,0.06666666666666667,0.0
market_exposure,offtaker_import,false,6,0.06666666666666667,0.0
market_exposure,offtaker_import,false,7,0.06666666666666667,0.0
market_exposure,offtaker_import,false,8,0.06666666666666667,0.0
market_exposure,offtaker_import,false,9,0.06666666666666667,0.0
market_exposure,offtaker_import,false,10,0.06666666666666667,0.0
market_exposure,offtaker_import,false,11,0.06666666666666667,0.0
market_exposure,offtaker_import,false,12,0.06666666666666667,0.0
market_exposure,offtaker_import,false,13,0.06666666666666667,0.0
market_exposure,offtaker_import,false,14,0.06666666666666667,0.0
market_exposure,offtaker_import,false,15,0.06666666666666667,0.0
market_exposure,vres,false,1,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,2,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,3,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,4,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,5,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,6,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,7,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,8,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,9,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,10,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,11,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,12,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,13,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,14,0.06666666666666667,-4.63836500000001e9
market_exposure,vres,false,15,0.06666666666666667,-4.63836500000001e9
