risk,TRACC_EUR_per_MWh,elec_CWAP_EUR_per_MWh,EP_CWAP_EUR_per_MWh,share_exp_elec,share_exp_ep,exp_elec_EUR,exp_ep_EUR
RN,120.246,106.986,216.83,0.782328,0.217672,1.21037e+10,3.36769e+09
β=0.2,120.705,107.754,215.04,0.784946,0.215054,1.21906e+10,3.33989e+09
β=0.4,119.425,106.86,210.947,0.786778,0.213222,1.20895e+10,3.27632e+09
β=0.6,118.269,105.98,207.779,0.787928,0.212072,1.19899e+10,3.22712e+09
β=0.8,116.889,105.349,200.944,0.792483,0.207517,1.19185e+10,3.12095e+09
