case,tech,unit,RN,0.2,0.4,0.6,0.8
GH2-SP,VRES,GW,2.08471,1.1024,0.474836,0.0856446,4.05722e-10
GH2-SP,Electrolyzer,MW,479.218,465.501,465.525,465.521,465.54
GH2-SP,Green ammonia,MW,359.414,349.126,349.144,349.141,349.155
