risk,Solar_GW,Wind_GW,Electrolyzer_MW,Green EP plant_MW,Gen_VRES_Solar_MW_raw,Gen_VRES_Wind_MW_raw,Prod_H2_Green_MW_raw,Offtaker_Green_MW_raw
RN,3.70965e-11,2.08471,479.218,359.414,3.70965e-08,2084.71,479.218,359.414
β=0.2,9.82254e-14,3.12739,1004.78,753.443,9.82254e-11,3127.39,1004.78,753.443
β=0.4,8.73115e-14,2.51787,601.278,451.04,8.73115e-11,2517.87,601.278,451.04
β=0.6,5.09317e-14,2.45031,554.516,415.951,5.09317e-11,2450.31,554.516,415.951
β=0.8,7.27596e-15,2.49985,522.928,392.209,7.27596e-12,2499.85,522.928,392.209
