case,RN,0.2,0.4,0.6,0.8
SP,15.126,15.1647,15.1689,15.1879,15.1982
ME,15.126,15.1223,15.1309,15.1382,15.1407
G-SP,15.126,15.1227,15.1303,15.1368,15.1367
GH2-SP,15.126,15.1227,15.1315,15.1362,15.141
