risk,system_cost_bn_EUR,wmean_elec_EUR_per_MWh,wmean_H2_EUR_per_MWh,wmean_elec_GC_EUR_per_MWh,wmean_H2_GC_EUR_per_MWh,wmean_EP_EUR_per_MWh
RN,15.126,105.208,86.6636,7.37911,127.217,216.83
β=0.2,15.1647,106.039,87.112,7.14909,124.222,215.04
β=0.4,15.1689,105.169,87.0294,7.12712,119.882,210.947
β=0.6,15.1879,104.287,86.1896,7.06024,116.446,207.779
β=0.8,15.1982,103.643,86.4041,7.02935,109.027,200.944
