case,tech,unit,RN,0.2,0.4,0.6,0.8
ME,VRES,GW,2.08471,1.19398,0.4797,0.0771658,5.63887e-14
ME,Electrolyzer,MW,479.218,465.529,465.597,465.602,465.639
ME,Green ammonia,MW,359.414,349.146,349.194,349.201,349.226
