series,ammonia_EUR_per_MWh_EP,vs_grey,vs_RN
Grey expected MC,144.883,0,
RN,216.83,71.9467,0
β=0.2,215.04,70.1572,-1.78954
β=0.4,210.947,66.0643,-5.8824
β=0.6,207.779,62.8961,-9.05059
β=0.8,200.944,56.0606,-15.8862
