case,tech,unit,RN,0.2,0.4,0.6,0.8
G-SP,VRES,GW,2.08471,2.84169,2.60925,2.65512,2.62828
G-SP,Electrolyzer,MW,479.218,730.951,546.076,501.869,503.438
G-SP,Green ammonia,MW,359.414,548.213,409.557,376.402,377.578
