risk,TRACC_EUR_per_MWh,elec_CWAP_EUR_per_MWh,EP_CWAP_EUR_per_MWh,share_exp_elec,share_exp_ep,exp_elec_EUR,exp_ep_EUR
RN,120.246,106.986,216.83,0.782328,0.217672,1.21037e+10,3.36769e+09
β=0.2,120.057,106.332,220.029,0.778769,0.221231,1.20297e+10,3.41738e+09
β=0.4,119.683,105.687,221.626,0.776466,0.223534,1.19568e+10,3.44219e+09
β=0.6,120.171,105.817,224.729,0.774259,0.225741,1.19715e+10,3.49037e+09
β=0.8,120.09,105.404,227.065,0.771758,0.228242,1.19247e+10,3.52666e+09
