Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-5.275861884796549,-2.6821393655215164,5.275755866145386,83.7256003796948,132.60122498233616,0.0,0.0,0.0,12112.386,9448.423704004901,1013.5861698291336,572.0199641778894,0.0,0.0,0.0,0.0,-5.936708907365098e6,-22318.482635217617,369.40464547858573,0.0
2,2,1,1,15.96931644253334,83.3303066372169,53.74040913575217,5.275755866154389,83.72560037969474,132.60122949933017,3.2437681456394523,0.0,0.0,12351.1245,9448.423704004874,1013.5861718393882,572.020277882872,0.0,0.00048181374017985945,0.0,0.0,-4.955651412582433e6,-22318.482635132546,369.4262380004802,0.0
3,3,1,1,15.96931644253334,83.33030663718542,53.74027273731627,5.275755866154117,83.72560037969474,132.60122949933017,363.0187681456048,0.0,0.0,12710.8995,9448.423704004887,1013.5861718393882,572.0200048311611,0.0,0.05392107563238824,0.0,0.0,-5.094287889406677e6,-22318.48263513513,369.40337658204953,0.0
4,4,1,1,15.96931644253334,83.3303066372285,53.740272737748334,5.27575586615398,83.72560037969477,132.60122949933086,854.7892681456713,0.0,0.0,13202.67,9448.423704004887,1013.5861718393882,572.0201804642627,0.0,0.12696628233243246,0.0,0.0,-5.283264341558738e6,-22318.482635136425,369.418081568263,0.0
5,5,1,1,15.96931644253334,83.33030663722751,53.7402727379221,5.275755866154117,83.72560037969477,132.6012294993312,1444.4302681456709,0.0,0.0,13792.311,9448.423704004897,1013.5861718393885,572.02007961328,0.0,0.21454871895548422,0.0,0.0,-5.509053191733093e6,-22318.482635135115,369.40963775879936,0.0
6,6,1,1,15.96931644253334,83.33030663721382,53.74027274976401,5.275755866153844,83.7256003796946,132.60122949933086,2181.2377681456564,0.0,0.0,14529.1185,9448.423704004905,1013.586171839388,572.0198260325127,0.0,0.3239905880764127,0.0,0.0,-5.789974244742781e6,-22318.482635137698,369.3884065570892,0.0
7,7,1,1,15.96931644253334,83.33030663722167,53.74027274957294,5.275755866153707,83.72560037969448,132.60122949933086,2843.2042681456637,0.0,0.0,15191.085,9448.423704004905,1013.5861718393879,572.0201138928986,0.0,0.42231589221046306,0.0,0.0,-6.04120339945137e6,-22318.482635138986,369.41250784066506,0.0
8,8,1,1,15.96931644253334,83.33030663721428,53.74027274979582,5.275755866154117,83.72560037969477,132.60122949933017,3297.573768145656,0.0,0.0,15645.4545,9448.423704004907,1013.5861718393882,572.0199890071648,0.0,0.4898057776154019,0.0,0.0,-6.213011420896953e6,-22318.482635135122,369.4020517084864,0.0
9,9,1,1,15.96931644253334,83.33030663723042,53.74027274979888,5.275755866154663,83.72560037969471,132.60122949933017,3463.1482681456737,0.0,0.0,15811.029,9448.423704004903,1013.5861718393882,572.0199701451116,0.0,0.5143993630772457,0.0,0.0,-6.275490807631306e6,-22318.48263512997,369.40047247172333,0.0
10,10,1,1,15.96931644253334,83.33030663723429,53.740272749562344,5.275755866153298,83.72560037969474,132.60122949933086,3280.1407681456876,0.0,0.0,15628.021499999999,9448.423704004908,1013.5861718393879,572.0201027968287,0.0,0.4872162978281267,0.0,0.0,-6.206429106266131e6,-22318.482635142856,369.41157881569234,0.0
