case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
green_social_planner,1,0.06666666666666667,4.318552874330546e10,-4.318552874330546e10,5.4869313102147896e10,-1.1683784358842434e10
green_social_planner,2,0.06666666666666667,4.027682517317085e10,-4.027682517317085e10,5.486931310212106e10,-1.4592487928950216e10
green_social_planner,3,0.06666666666666667,3.747388453146889e10,-3.747388453146889e10,5.486931310212378e10,-1.7395428570654907e10
green_social_planner,4,0.06666666666666667,4.3125843663762085e10,-4.3125843663762085e10,5.578218703087891e10,-1.2656343367116821e10
green_social_planner,5,0.06666666666666667,3.963054508841269e10,-3.963054508841269e10,5.578218703062153e10,-1.6151641942208838e10
green_social_planner,6,0.06666666666666667,3.624733147851723e10,-3.624733147851723e10,5.578218703062233e10,-1.953485555210511e10
green_social_planner,7,0.06666666666666667,4.284943037068255e10,-4.284943037068255e10,5.4996985674586136e10,-1.214755530390358e10
green_social_planner,8,0.06666666666666667,3.963818924180466e10,-3.963818924180466e10,5.4996985674180176e10,-1.535879643237553e10
green_social_planner,9,0.06666666666666667,3.653703199716036e10,-3.653703199716036e10,5.499698567417997e10,-1.845995367701961e10
green_social_planner,10,0.06666666666666667,4.290069305381576e10,-4.290069305381576e10,5.481881981885222e10,-1.1918126765036463e10
green_social_planner,11,0.06666666666666667,3.982532002875694e10,-3.982532002875694e10,5.481881981909738e10,-1.4993499790340443e10
green_social_planner,12,0.06666666666666667,3.685549403522659e10,-3.685549403522659e10,5.481881981909811e10,-1.7963325783871513e10
green_social_planner,13,0.06666666666666667,4.3214611950510826e10,-4.3214611950510826e10,5.493885955937557e10,-1.1724247608864733e10
green_social_planner,14,0.06666666666666667,4.0227074927711914e10,-4.0227074927711914e10,5.49388595596249e10,-1.4711784631912983e10
green_social_planner,15,0.06666666666666667,3.734114397117957e10,-3.734114397117957e10,5.493885955962589e10,-1.759771558844632e10
