Metric,Value,Unit
case,market_exposure,-
gamma,0.5,-
beta,0.4,-
expected_social_welfare,3.992476213401832e10,EUR
social_CVaR,-3.811902907847152e10,EUR
alpha_social,-4.02059781412685e10,EUR
social_CVaR_recomputed,-3.811902907847152e10,EUR
sum_private_CVaR,1.3171147223780055e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,NaN,EUR
SP_social_CVaR_benchmark,NaN,EUR
expected_welfare_demand,5.505569562366612e10,EUR
expected_welfare_ex_demand,-1.5130933489647808e10,EUR
share_demand_of_E_SW,1.378986190045584,-
welfare_ex_demand_CVaR,1.6959827967346478e10,EUR
welfare_ex_demand_min,-1.9602838110426018e10,EUR
welfare_ex_demand_spread,7.968098208639402e9,EUR
expected_welfare_group_conventional,-8.483357679351591e9,EUR
expected_welfare_group_elec_demand,5.471169364665598e10,EUR
expected_welfare_group_gc_demand,3.4400197701014215e8,EUR
expected_welfare_group_h2_producer,-4.1867305850230956e8,EUR
expected_welfare_group_offtaker_green,-1.9665306929017466e8,EUR
expected_welfare_group_offtaker_grey,-1.3051401334215178e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-4.727109549082217e9,EUR
