Metric,Value,Unit
gamma,0.5,-
beta,0.4,-
expected_social_welfare,3.992476213401832e10,EUR
resource_cost,1.5130933489647808e10,EUR/year
elec_cwap,110.83705696080919,EUR/MWh
ep_cwap,231.86289944536327,EUR/MWh
h2_cwap,NaN,EUR/MWh
blended_cwap,125.44652337878475,EUR/MWh
elec_exp,1.2539357784426659e10,EUR
ep_exp,3.6012018151029415e9,EUR
h2_exp,0.0,EUR
total_exp,1.6140559599529598e10,EUR
elec_qty,1.1313326181928885e8,MWh
ep_qty,1.553160002621091e7,MWh
h2_qty,0.0,MWh
total_qty,1.2866486184549978e8,MWh
