Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,1.0609646437156528e9,6.848160614275621e8
Gen_VRES_Wind,VRES,9.449550333678817e8,9.245587690154511e8
Prod_H2_Green,GreenProducer,1.0225208770940176e8,-8.80415131427062e7
Offtaker_Green,GreenOfftaker,1.913227722614674e7,404151.68212829455
