iter,rho,price_mean,imb_mean,primal_res,dual_res
1,3.0,5418.913966682688,-1772.9713222275627,95147.62559269773,Inf
2,3.0,4829.998028840511,196.3053126140579,10534.84857481544,191333.40721935825
3,2.9702970297029703,4376.619332700734,152.63749436705794,8191.3875719782645,5771.570110355167
4,3.0,4033.584886768297,114.34481531081244,6136.556075524542,5112.964733869771
5,3.0300000000000002,3859.6091579266003,67.55027328351701,3628.5003531896964,6315.349117782499
6,3.0,3744.132331682086,43.96604844641729,2381.773624988944,3179.868574325516
7,2.9702970297029703,3720.9708155689505,10.478328920959543,639.169461187668,4427.186550679294
8,2.9408881482207625,3716.3326464386378,2.057575467123741,211.45677109976074,1163.2713004446848
9,2.9117704437829333,3739.163699192591,-12.034763982599598,648.9522535492514,1879.7830046443942
10,2.8829410334484487,3747.4676149997176,-4.292187904797422,292.69753523210863,1092.9164293203053
11,2.854397062820246,3755.9637998163616,-4.306296107176816,417.2792837772261,678.4071126295056
12,2.8261357057626197,3790.8982310062843,-21.039531392319077,1360.577300358778,5039.532548996089
13,2.7981541641214056,3885.1044019749515,-67.41618714808034,3701.4639119670987,8961.193013432967
14,2.770449667446936,3994.6555960527685,-76.8751717494684,4179.760129601439,8734.721849922953
15,2.743019472719739,4109.837777989646,-79.257146762687,4300.850807555053,7860.588847468803
16,2.7158608640789494,4180.739219625115,-47.84012958505621,2670.592457550652,6637.347109032927
17,2.6889711525534152,4232.531815369739,-34.268027617522186,1998.9559801503317,5994.1822973734315
18,2.6623476757954605,4250.064730550498,-11.716474085183364,1080.9147818328536,6094.449125053342
19,2.6359877978172874,4266.6501517037805,-13.169574898020652,1157.7556873647516,6729.74641996459
20,2.6098889087299875,4281.531806370293,-14.041028568198877,1260.6248572696577,7275.426661932798
21,2.584048424485136,4300.966814272788,-21.78887815195429,1693.5110948771387,7618.403227845161
22,2.5584637866189466,4320.542868053627,-22.166476864501874,1854.0159648298402,7520.6771158715155
23,2.533132461998957,4339.338516260907,-20.8695449400243,1933.7892597838024,7189.410858779368
24,2.508051942573225,4351.644951878471,-13.398991283089062,1723.2552256920192,6617.911185550956
25,2.4832197451220046,4355.391403782018,-3.9998539258060823,1458.4466696647885,6064.173632177806
26,2.4586334110118857,4350.074812429847,5.565976896148133,1301.412416146158,5610.059076573762
27,2.434290505952362,4336.305480956056,14.135303015758321,1362.1090082516318,5211.415286646335
28,2.410188619754814,4315.737964463437,20.704191271103667,1501.1598702823112,4926.362269035218
29,2.386325366093875,4289.944788444872,25.46040969855311,1628.4401586082517,4726.826146253138
30,2.3626983822711636,4260.157894568576,28.831678941907345,1730.2158842614908,4568.859238730438
31,2.33930532898135,4227.154662433435,31.324585883555454,1819.0789743739367,4432.972738466055
32,2.3161438900805447,4191.565065446607,33.12348955181849,1892.5640521186403,4319.139546292788
33,2.2932117723569747,4153.828860305562,34.43938492031385,1950.7512430437678,4231.9013593814725
34,2.2705067053039354,4115.480604485479,35.34794348443336,1990.5289756004188,4175.343878886068
35,2.2480264408949857,4076.640456590342,36.15936413789464,2026.4756978997077,4118.670858775062
36,2.225768753361372,4037.5494739767364,36.75681486682949,2052.345178532126,4073.3151096339593
37,2.2037314389716554,3995.860293031088,38.43870921517896,2140.7177751838035,3931.082254920578
38,2.1819123158135203,3949.943524811913,41.51460356940316,2307.7480208346474,3738.2457677068805
39,2.160309223577743,3898.524927898869,45.58625888312709,2530.3401217798123,3542.3887273929417
40,2.1389200233443,3841.1054198128973,49.9180196337859,2767.014036006595,3370.4246628436154
41,2.117742597370594,3777.854463659651,53.919905710965416,2984.9814994232393,3229.831171274762
42,2.117742597370594,3708.725227636483,57.21455990140097,3163.4714939556757,3125.9926760341978
43,2.117742597370594,3647.3526713247516,59.758555584598234,3300.226313234105,3040.3219098058153
44,2.117742597370594,3589.757914340338,65.97659573849512,3640.4399728855105,2655.5911407891367
45,2.1389200233443,3532.6259200589498,76.23353125983496,4203.26451580396,2143.1849123434095
46,2.160309223577743,3475.08857468307,89.42854702831144,4928.004178729439,1640.4675013944482
47,2.1819123158135203,3417.041861463726,105.09055560256196,5789.638981111788,1218.7510222979595
48,2.2037314389716554,3358.82820723784,122.76388306726912,6763.338883749585,1045.5601202223975
49,2.225768753361372,3300.9651911592673,142.13679638877002,7831.469216976722,1240.5302792440764
50,2.2480264408949857,3244.0694501625967,162.79644385002237,8969.791314094406,1677.673210466564
51,2.2705067053039354,3181.431205630831,183.91854818263488,10121.05636665843,2260.950585857893
52,2.2932117723569747,3111.536450473205,203.1931982911691,11160.180649796248,2649.099715837431
53,2.3161438900805447,3035.44373694364,219.02126160483013,12004.396280962595,2821.466837949654
54,2.33930532898135,2954.359203259139,231.07866732901607,12638.882913915195,2835.4938261658212
55,2.3626983822711636,2869.444905683857,239.59694619352288,13079.320347981899,2746.5992118641807
56,2.386325366093875,2781.720470546065,245.07536813497265,13355.301028076248,2599.990669742593
57,2.410188619754814,2692.0385521452095,248.0633470365183,13498.440944757158,2429.880702158012
58,2.434290505952362,2601.118186041289,248.9989475553581,13532.503813362757,2270.4388743796917
59,2.4586334110118857,2509.4796970413477,248.48082567468686,13491.639723691971,2099.31119068847
60,2.4832197451220046,2417.5716981946575,246.74416894231229,13384.323263835482,1964.013047784111
61,2.508051942573225,2325.7295887789496,244.12601630963755,13231.469972741495,1839.0922771147011
62,2.533132461998957,2234.1996339943366,240.8874023439599,13048.632027622369,1722.5479097939121
63,2.5584637866189466,2143.186704518404,237.15515003427834,12843.369076015462,1617.003428979731
64,2.584048424485136,2052.8561376855937,233.04663069748392,12622.471989409223,1521.662449524609
65,2.6098889087299875,1963.3461797320642,228.6430855457025,12390.557580404406,1434.0228683819478
66,2.6359877978172874,1874.7769306074304,224.00014951503834,12150.868439254657,1356.8966056883055
67,2.6623476757954605,1784.6188006979028,219.18540982081095,11907.293589784465,1286.0715956813528
68,2.6889711525534152,1693.510469991405,212.91498976080248,11587.883105020155,1182.868630817034
69,2.7158608640789494,1602.0543707675574,205.44814478204881,11207.21210589047,1063.7508041094165
70,2.743019472719739,1510.7647222020667,197.12989320923418,10784.171036133645,953.6603026066235
71,2.770449667446936,1421.2505101606603,185.80797320001116,10199.093772607266,867.378178370515
72,2.7981541641214056,1335.8702586510108,170.3613936831906,9386.74408950457,1121.0798440407805
73,2.8261357057626197,1256.7882859219142,151.6815124274996,8395.252121630077,1603.6777600438493
74,2.854397062820246,1185.8507895184032,130.7893599187745,7279.247004401429,2150.8163312565407
75,2.8829410334484487,1124.092176159482,109.45497230190237,6135.44269778778,2576.9423484934
76,2.9117704437829333,1071.6724046841932,89.30473453203518,5053.025792368638,2811.33709582578
77,2.9408881482207625,1028.1386909033763,71.29293260983083,4084.486506190244,2875.2968527470757
78,2.9702970297029703,992.4467839909794,56.18649166225898,3272.3433035584344,2763.8126067832204
79,2.9702970297029703,963.4498953680395,44.31761081124006,2634.3599755690493,2507.577780751631
80,2.9702970297029703,939.4990512435435,35.53927291164787,2160.8170744366394,2166.576206483422
81,2.9702970297029703,918.3907200607151,30.40915756643991,1881.3890007344369,1706.0178113398244
82,2.9702970297029703,898.5463934275291,27.75553682616809,1729.1024929561108,1283.0005038615452
83,3.0,878.7665216930683,26.59366154677516,1651.138285923645,928.2809642695372
84,3.0300000000000002,858.6091072854376,26.832931182233267,1648.4026470321003,608.2129851447118
85,3.0603000000000002,837.6473370376974,27.62739107037962,1677.8870039968601,377.0606926247802
86,3.0909030000000004,819.1077578874558,28.462398217841283,1712.679832479762,245.1471415370317
87,3.1218120300000005,802.512975789171,29.67582995369906,1774.4635794505336,231.17591442765126
88,3.1530301503000007,787.4864147737389,31.300452737598235,1864.7380257604123,362.845634874527
89,3.1845604518030006,771.6037272352619,33.249355819230644,1977.3656071711928,526.5609839757831
90,3.2164060563210306,754.7000541835632,35.03635788041286,2082.566222644981,631.8454974394716
91,3.248570116884241,737.0506764491843,36.21978716655937,2152.7936556757795,676.3588072446883
92,3.2810558180530833,718.8940054479104,36.89192749352603,2193.043502447139,686.719612462882
93,3.313866376233614,700.4693804733001,37.06571696583399,2203.7492568110215,664.5096385971561
94,3.3470050399959503,681.9470202965964,36.89340162397035,2193.7900920690045,634.9780229735686
95,3.38047509039591,663.4518957670917,36.474408744203785,2168.9576074956944,603.5343167241926
96,3.414279841299869,645.0715680631937,35.889125590635565,2134.1086180906927,574.4654462810175
97,3.4484226397128674,626.8709531411613,35.18635779042799,2092.2835358261054,549.0734869476624
98,3.482906866109996,608.3522851174914,34.41433651932934,2046.4719396104208,528.610819052642
99,3.517735934771096,589.5957184232811,33.50614024321774,1992.6909661701598,503.11575392099945
100,3.5529132941188073,570.6945580169288,32.45644323603754,1930.6394722149003,475.96417228754854
101,3.5884424270599955,551.7419326303593,31.284069197605216,1861.4416337172636,449.5536318225749
102,3.6243268513305953,532.8768107478655,29.93331915477901,1781.7621777488778,418.3630928942622
103,3.6605701198439013,514.2470389207723,28.41477347334541,1692.2395506611842,387.3167003497024
104,3.6971758210423404,495.99102479010674,26.76603411019019,1595.1054666051757,359.466255071358
105,3.734147579252764,478.2288567043427,25.033146495947513,1493.0732717003473,335.9552419824149
106,3.7714890550452917,461.44271702975294,22.741112118306955,1356.971121025941,328.39957753107643
107,3.8092039455957445,445.7708312176653,20.40908465264987,1218.5070357101572,315.6619987221705
108,3.847295985051702,431.6094327343562,17.727594671661215,1058.3758893203906,347.84113554272193
109,3.885768944902219,419.31168838942784,14.79825585376178,882.6976263657217,395.71948796103635
110,3.924626634351241,409.12625757533584,11.781643465659585,701.2358710206562,440.8763659168117
111,3.9638729006947533,400.99579543285535,9.04030549009433,535.9065739208855,435.51153218859815
112,4.003511629701701,394.4777565606076,6.96668576774795,410.8814104292903,360.035381661129
113,4.003511629701701,389.14144472495894,5.537493781999339,324.6841392002231,264.7040356732647
114,4.043546745998718,384.47884270443836,4.650951388382722,271.2480074049466,183.17970828343442
115,4.083982213458706,380.11618772567743,4.183172004633933,243.20771509764097,158.91527952731383
116,4.124822035593293,375.7915572413078,4.1056553139854275,238.97449154383105,204.21513321698995
117,4.124822035593293,371.97328429626657,4.264631643086952,248.9624159309135,271.6630734378713
118,4.124822035593293,368.4972412332191,4.5675233596218545,267.2852841726941,342.5957526043072
119,4.083982213458706,365.2722712751255,5.035281447393429,295.34676094370354,410.30274734626084
120,4.043546745998718,361.9514191858219,5.47514727030123,322.0406287344319,443.76727369293616
121,4.003511629701701,358.4876500657649,5.767884864476783,340.5643103927998,453.53115491242255
122,3.9638729006947533,354.93358819213194,5.9774231964063524,354.79427911278515,455.669237563923
123,3.924626634351241,351.3214923248595,6.135778344971316,366.5005376277771,452.29595383759226
124,3.885768944902219,347.66183445413276,6.2787364570881135,377.5599648755714,447.75505327899356
125,3.885768944902219,343.93016137520743,6.402290223356279,387.503447596694,444.30568557995446
126,3.885768944902219,340.10769026731697,6.558068964111001,399.08318377322223,440.7169521208751
127,3.885768944902219,336.19041584253733,6.720719425720217,410.73809645580394,436.8943336477395
128,3.885768944902219,332.18283615610204,6.875652744257707,421.6368108075657,432.3863675449952
129,3.885768944902219,328.09471386403897,7.013836643454809,431.30304269457685,427.16241959548483
130,3.885768944902219,323.9401636366743,7.12780453714324,439.38994052052044,421.6264612855122
131,3.885768944902219,319.746989725305,7.194069729528217,444.5256746253748,413.0879215790844
132,3.885768944902219,315.53494371457333,7.22644787592172,447.54712008180974,405.7945831283042
133,3.885768944902219,311.3286472884431,7.216583531295661,447.8623305373294,396.7531642330113
134,3.885768944902219,307.1405313952231,7.185391879282098,446.70536156860976,389.91206665406753
135,3.885768944902219,302.98746092002114,7.125265782380004,443.56826260783123,382.36947583555474
136,3.885768944902219,298.88738690607664,7.034341760204021,438.3011499148732,374.76482014834585
137,3.885768944902219,294.85730477152987,6.9142593425580525,431.0115530494186,367.6444686878252
138,3.885768944902219,290.79356731503,6.768932528416827,421.99892839989303,361.37163263484587
139,3.885768944902219,286.72315091694514,6.582580178609927,410.35403594907416,353.97074642993755
140,3.885768944902219,282.6772067146671,6.352431386466444,395.98398938301835,346.4002661419229
141,3.885768944902219,278.6860257139329,6.08393117779463,379.27121091163644,339.40869043166515
142,3.885768944902219,274.7759104698282,5.786756418690423,360.82985696321657,333.4577793846609
143,3.885768944902219,270.9675384963819,5.472021310892819,341.3254822705285,328.68395340274816
144,3.885768944902219,267.2757066513891,5.150069697974484,321.3686494107754,325.0725278633909
145,3.885768944902219,263.81332761423386,4.8299852514518555,301.5914532079598,322.91448749686447
146,3.885768944902219,260.56294322704156,4.534254766222044,283.3484468788742,323.4425539887482
147,3.885768944902219,257.5004890034045,4.2720940066592386,267.2070306809098,325.8698318287585
148,3.847295985051702,254.62015118251918,4.058223821029184,254.07334015985225,328.0501702277657
149,3.8092039455957445,251.91155677839618,3.8544100886852535,241.53896387051591,333.46721038244465
150,3.7714890550452917,249.34369284867608,3.690687918515142,231.45109867524337,339.5397121549452
151,3.734147579252764,246.89068007430114,3.5608731251773724,223.50492264428755,345.13072724772405
152,3.6971758210423404,244.5033884666205,3.5001248435065797,219.90670357514335,348.5438915618059
153,3.6605701198439013,242.17489920133605,3.448050975435912,216.75678603059745,353.8539708578755
154,3.6243268513305953,239.9011872256617,3.4006055606930583,213.71450312460618,357.13615823841604
155,3.5884424270599955,237.68152388205021,3.3529671241590373,210.54751445014733,359.16601815601666
156,3.5529132941188073,235.49390271321948,3.337610678267355,209.3801288669119,358.5253912405791
157,3.517735934771096,233.3472927577661,3.307791081742793,207.31563996433331,359.15655793684914
158,3.482906866109996,231.23619134807734,3.2856053899598274,205.85138265101978,355.5654436629815
159,3.4484226397128674,229.17693760984417,3.2369615699596825,202.83561081699983,352.8780685250626
160,3.414279841299869,227.1782656403061,3.1731498059683356,199.01339044403463,347.62429675649264
161,3.38047509039591,225.22929748562447,3.1251809683050054,196.55806834285474,340.7681049817237
162,3.3470050399959503,223.27468321396242,3.073375624144367,194.23795638638413,333.06716571598696
163,3.313866376233614,221.34195353816887,2.979955927510501,189.69121372708662,325.8038974645159
164,3.2810558180530833,219.44795446557575,2.863535932513498,183.86659664251513,318.5510235776283
165,3.248570116884241,217.58954158124152,2.755175272079352,178.66407394459793,309.9069033280094
166,3.2164060563210306,215.7723072277505,2.6418132346386267,173.19455579409063,301.3068239056843
167,3.1845604518030006,214.00217015880423,2.5233774588641813,167.15160446991757,292.36198172586535
168,3.1530301503000007,212.29818206904537,2.381913721810941,159.26085962140104,285.0887615099683
169,3.1218120300000005,210.65257075071472,2.255645706812515,152.13321847954373,276.9130691911928
170,3.0909030000000004,209.0620043837355,2.137861491257614,145.26098709321698,269.04451922675594
171,3.0603000000000002,207.53799183917562,2.00863238491317,137.3522641569029,262.8918025992982
172,3.0300000000000002,206.1158312041243,1.8931365739033315,130.33110090560498,260.1614040734597
173,3.0,204.7790956999244,1.7972154750790421,124.75582358509115,257.74462786448595
174,2.9702970297029703,203.47488879078819,1.7710162113331405,123.28010602941796,256.4861213790527
175,2.9408881482207625,202.24497916005575,1.6868272802694568,119.34963748387968,252.79618126810954
176,2.9117704437829333,201.04579714415374,1.6611310430993411,119.2708306393568,250.61058959417602
177,2.8829410334484487,199.91597991329073,1.5806960034680424,117.01860533849404,247.42380403693386
178,2.854397062820246,198.86561096138712,1.484237537432888,114.1788888814241,247.33207776483744
179,2.8261357057626197,197.85671217326214,1.4398939578257102,113.1294761195091,248.10494228781673
180,2.7981541641214056,196.92053998901594,1.349459999676192,109.17583845659992,247.48995423320486
181,2.770449667446936,196.06693356746078,1.2427487359130727,104.02970692740286,248.7030741909045
182,2.743019472719739,195.28738520385846,1.146278362224355,99.06493019354896,250.3011664592788
183,2.7158608640789494,194.56692280562154,1.069990011421061,94.78710188143361,252.2748599025701
184,2.6889711525534152,193.8848052066225,1.0231729088470356,91.79350717013185,254.67842649211548
185,2.6623476757954605,193.22180745606707,1.0044381663369946,90.02466278511545,257.0204771944258
186,2.6359877978172874,192.56812567164687,1.0002277710360845,88.73990077024192,258.38328273824493
187,2.6098889087299875,191.92142005874408,0.9994487507815099,87.57618562417792,257.9159109486011
188,2.584048424485136,191.28632266598444,0.9913239594423346,85.83454969698808,256.28823908817884
189,2.5584637866189466,190.66507525331937,0.9794025710968464,84.495260717895,254.3433629616144
