Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
54,6,3,1,102.1231293972412,140.71363336185962,103.18279936846355,9.806533238790914,117.36540113533668,196.01802074298382,0.0,386.9336431141944,12606.946308813498,12587.880000000001,386.9336438148074,1569.9999999999916,270.6666389803906,0.0,0.0,-58241.3164249452,-360353.57148149353,-4.324585265258915e6,-37.42938769272996,-113617.14350859696,0.0
55,7,3,1,102.1231293972412,143.1775443638444,106.87866591793991,9.840588298398805,117.36540113533431,200.9458428093203,0.0,318.8235054277283,13191.896446624038,13104.720000000001,318.8235060040401,1569.999999999993,270.66663898025604,0.0,0.0,-48785.777449381545,-392136.5445180035,-4.461391262976242e6,-25.412090607385835,-121353.82415276172,0.0
56,8,3,1,102.1231293972412,144.73234779379663,109.21087107145715,9.84687903604941,117.36540113533245,204.0554496808782,0.0,306.2420267150479,13561.017925359565,13461.26,306.2420272683962,1569.9999999999936,270.66663898018203,0.0,0.0,-47338.65571241717,-412934.27244413574,-4.555843334952777e6,-23.446029601155715,-126235.90694111687,0.0
57,9,3,1,102.1231293972412,138.89486105177753,100.45463986987016,9.127828572933476,117.36540113531416,192.38047474446486,1438.1013585633657,306.24202671504185,12175.156563887844,13513.5,1744.343388740833,1569.9999999999902,270.6666389805148,0.0,-212871.6310475003,-45330.76847048309,-337817.1093624814,-4.651525942364305e6,-760.6829981911869,-107906.19629091356,0.0
58,10,3,1,102.1231293972412,127.27532596997739,83.02533637776322,7.649278776256228,117.36540174885256,169.14134107219573,4553.983706018842,147.46016597825746,9416.595521909607,13172.22,4701.443881472571,1300.0902915632919,630.5462728159652,0.0,-614444.4515553804,-19896.00461043039,-212374.2971578217,-4.692727181091244e6,-5525.890271758901,-11443.625142350444,0.0
59,11,3,1,102.1231293972412,115.544563116966,74.22726281176438,6.063585152861039,108.56733475754832,157.41058505373005,7772.589263128248,100.2428089368885,6631.627896045372,12731.460000000001,7872.832087965448,886.4999987687158,1181.999998358262,0.0,-945210.1875509657,-12190.34237218108,-118245.59272911272,-4.692066424294373e6,-15495.361848774613,80461.0282015331,0.0
60,12,3,1,102.1231293972412,102.22000406515416,64.23384252703961,4.746202481892955,98.5739144718972,144.0860246732099,10374.879138905677,132.71905762954748,3468.2817662531975,12202.880000000001,10507.598217762932,886.499998768654,1181.9999983581931,0.0,-1.1097614648728347e6,-14196.454131131624,-50957.4469768065,-4.667923706425413e6,-27602.38836126522,80461.02820122057,0.0
61,13,3,1,102.1231293972412,-4.318523989064136,0.09122509923621117,4.318382326436265,82.93018204878345,123.22770772666348,14739.40269435633,42.387863021491995,5.7425964206715924e-11,11797.960000000001,10618.164,281.0847457880742,374.77966105075905,0.0,2.088022518932121,0.006004776065452688,4.567136712839381e-9,-5.77593994808002e6,-32141.996560474217,25511.979070160938,0.0
62,14,3,1,102.1231293972412,-4.318523988856874,0.09122509923321545,4.318382324001109,82.93018204878334,123.2277077266628,14505.334206531894,74.09635084505727,5.742596420670923e-11,11595.599999999999,10436.039999999999,281.08474578807414,374.77966105075893,0.0,2.0548960781889036,0.010496848855098051,4.567136712826947e-9,-5.679803452565188e6,-32065.856611031457,25511.979070161076,0.0
63,15,3,1,102.1231293972412,-4.318523988976429,0.0912250992330185,4.318382325369025,82.93018204878338,123.22770772666348,14353.150515567984,350.66004180945805,5.742596420671132e-11,11719.980000000001,10547.982,281.0847457880742,374.779661050759,0.0,2.0333190796445706,0.04967576649505645,4.567136712833978e-9,-5.738905600779825e6,-32114.619894808384,25511.97907016091,0.0
64,16,3,1,102.1231293972412,-4.318523990321827,0.09122509923491368,4.318382340519575,82.93018204878345,123.22770772666348,14959.525841443952,262.54471593888195,5.7425964206713e-11,12238.24,11014.416000000001,281.0847457880742,374.77966105075905,0.0,2.1190138772290084,0.037189407095183924,4.567136712911373e-9,-5.984752985167316e6,-32250.36049919974,25511.979070160938,0.0
65,17,3,1,102.1231293972412,76.88888905114847,45.28113279672298,4.318416743003638,82.9301820480526,123.2277077185012,15168.54247525319,588.482714975617,318.64526839065286,13091.839999999998,11363.166556781485,281.08474578870056,374.7796610515942,0.0,-1.2317964672394707e6,-47789.09578959779,-267.0986989785779,-5.325057623532612e6,-32280.388306181383,25511.979072238173,0.0
66,18,3,1,102.1231293972412,81.36169325794691,48.590106906992155,4.318416644656907,82.9301821167934,123.22770865437798,14483.736795288063,627.6996258654852,1168.7074516974367,14068.5,11363.166556822627,667.178039231137,889.5707189748427,0.0,-1.240968160420668e6,-53781.372929978075,-3593.3474032359372,-5.642209653088074e6,-32280.389423711676,60554.805164692356,0.0
67,19,3,1,102.1231293972412,113.94297413088293,73.02607013690378,4.814591022765359,107.36614208248302,155.80899482029488,9998.219511310735,372.6015555298795,6251.398896271396,14849.220000000001,10370.821087743267,886.4999987687004,1181.9999983582445,0.0,-1.1873642050349622e6,-44249.25350719036,-107928.96896265843,-5.457021541415712e6,-26888.46626118315,80461.02820154515,0.0
68,20,3,1,102.1231293972412,127.94341527864957,84.02746800185552,7.015823103086942,117.36540113556981,170.47757888607444,5820.895432886788,147.46016597825752,9575.204341744951,15137.560000000001,5968.355610903278,1569.999999999831,270.66663899315654,0.0,-785583.6143221294,-19901.111692070088,-218718.3922765425,-5.3455967211725265e6,-8905.311752068825,-73518.64979167725,0.0
69,21,3,1,102.1231293972412,140.7886441435357,103.29531376244893,8.647307502159011,117.36540113529209,196.16803993487753,2636.523086798154,68.86273589280705,12624.754124484212,14924.14,2705.385828144369,1569.9999999999916,270.6666389803859,0.0,-393991.33651152666,-10290.56847106776,-361299.8946585369,-5.0825081209671935e6,-1829.7769937151206,-113852.67363988265,0.0
70,22,3,1,102.1231293972412,148.61272313484054,115.03143420301102,9.940343479638443,117.36540113533108,211.81620052341745,102.72320965387699,16.58988220358472,14482.246860537576,14195.560000000001,119.31309208994033,1569.9999999999948,270.66663898001303,0.0,-16287.07990310425,-2630.3766981513277,-467343.3851585842,-4.736246767333984e6,-3.5589004216481044,-138420.28576392378,0.0
71,23,3,1,102.1231293972412,144.70499278979557,109.16983877416774,9.99972186909493,117.36540113533789,204.00073995116784,0.0,0.556268239434062,13554.523684392934,13149.08,0.5562681711924498,1569.9999999999936,270.66663898018317,0.0,0.0,-86.05731925544994,-412563.40016091964,-4.455679592349555e6,-7.735680034492987e-5,-126150.01266546996,0.0
72,24,3,1,102.1231293972412,140.85218689597707,103.39062993388455,10.355014434591608,117.36540113534323,196.295128163583,0.0,0.0,12639.839952633814,12233.84,0.0,1569.9999999999916,270.6666389803823,0.0,0.0,0.0,-362102.5842174536,-4.20667333043252e6,0.0,-114052.20215893685,0.0
73,1,4,1,137.42864955412188,127.275324765746,83.02533637768832,8.724706332172092,117.3654017489864,169.14134107213437,0.0,2550.5880434228175,9416.59552189102,10448.619999999999,2550.588048071317,1013.7182082729736,1012.3757172030046,0.0,0.0,-346880.0532234812,-212374.28581806202,-3.75799142126563e6,-1626.3739392018324,52191.63765778468,0.0
74,2,4,1,137.42864955412188,127.27532476576985,83.02533637770924,8.724706332172126,117.36540174898515,169.14134107213138,0.0,2550.5880434228175,9416.595521897325,10634.66,2550.588048071317,1106.738208269827,888.3490505405307,0.0,0.0,-346880.05322354217,-212374.28581828647,-3.822430203081958e6,-1626.373939201745,31521.49384543489,0.0
